ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.04106,0.03178,1.00070,-0.00025,0.00001,-0.00056,-0.44072,-0.29214,-1.15717,981.95000,27.13000,294.04000
-0.03900,0.03166,0.99766,-0.00025,0.00001,-0.00056,-0.44104,-0.29235,-1.17227,981.97000,27.13000,293.86000
-0.04008,0.03280,1.00172,-0.00025,0.00001,0.00044,-0.44605,-0.27900,-1.16615,982.06000,27.13000,293.08000
-0.04106,0.03081,1.00167,-0.00025,0.00001,0.00044,-0.43845,-0.30029,-1.16932,982.05000,27.14000,293.12000
-0.04004,0.03076,1.00065,0.00075,0.00001,-0.00056,-0.44099,-0.29496,-1.16627,982.01000,27.14000,293.45000
-0.04105,0.03275,0.99973,0.00075,0.00001,-0.00056,-0.44379,-0.28979,-1.17531,982.11000,27.13000,292.66000
-0.04010,0.03284,1.00272,0.00075,0.00001,-0.00056,-0.44383,-0.29508,-1.16936,982.06000,27.14000,293.11000
-0.03907,0.03179,1.00167,-0.00025,0.00001,0.00044,-0.43273,-0.29475,-1.16911,982.00000,27.13000,293.56000
-0.04002,0.02973,0.99962,-0.00025,0.00001,-0.00056,-0.44106,-0.30289,-1.15734,981.99000,27.14000,293.68000
-0.03904,0.03172,0.99967,-0.00025,0.00001,-0.00056,-0.43836,-0.30550,-1.15732,982.00000,27.13000,293.61000
-0.04008,0.03280,1.00172,0.00075,0.00001,0.00044,-0.43246,-0.29983,-1.14805,982.00000,27.14000,293.57000
-0.04204,0.03176,0.99972,0.00075,0.00001,-0.00056,-0.43536,-0.29210,-1.16611,982.08000,27.14000,292.88000
-0.04002,0.03170,0.99868,-0.00025,0.00001,0.00044,-0.44027,-0.28131,-1.15097,982.03000,27.14000,293.33000
-0.04010,0.03284,1.00272,0.00075,0.00001,-0.00056,-0.45527,-0.30616,-1.16978,982.00000,27.13000,293.57000
-0.03903,0.02975,1.00060,0.00075,0.00001,-0.00056,-0.45527,-0.30616,-1.16978,981.99000,27.13000,293.69000
-0.03702,0.03364,0.99770,0.00075,0.00001,-0.00056,-0.45469,-0.28735,-1.16948,982.02000,27.14000,293.45000
-0.04306,0.02982,1.00167,-0.00025,0.00001,-0.00056,-0.46026,-0.29806,-1.15468,981.97000,27.14000,293.88000
-0.03793,0.03152,0.99364,-0.00025,0.00001,-0.00056,-0.44669,-0.30574,-1.15751,981.97000,27.13000,293.83000
-0.03809,0.03379,1.00172,0.00075,0.00001,-0.00056,-0.45512,-0.29554,-1.17867,982.01000,27.14000,293.53000
-0.04210,0.03383,1.00178,0.00075,0.00001,-0.00056,-0.43863,-0.30042,-1.17838,982.02000,27.13000,293.39000
-0.04106,0.03081,1.00167,-0.00025,0.00001,-0.00056,-0.44982,-0.30344,-1.17867,981.97000,27.14000,293.82000
-0.03899,0.03065,0.99763,-0.00025,0.00001,0.00044,-0.44982,-0.30344,-1.17867,982.00000,27.13000,293.56000
-0.04115,0.03392,1.00477,-0.00025,0.00001,-0.00056,-0.45249,-0.30608,-1.16971,982.00000,27.14000,293.58000
-0.04208,0.03085,1.00269,-0.00025,0.00001,-0.00056,-0.45471,-0.29000,-1.16650,982.05000,27.14000,293.14000
-0.03997,0.02963,0.99661,0.00075,0.00001,-0.00056,-0.44963,-0.30331,-1.16961,982.05000,27.14000,293.15000
-0.03900,0.03263,0.99670,0.00075,0.00001,-0.00056,-0.44137,-0.29521,-1.18439,982.04000,27.13000,293.24000
-0.04012,0.03287,1.00372,0.00075,0.00001,-0.00056,-0.44661,-0.29517,-1.16942,982.04000,27.13000,293.24000
-0.04109,0.03184,1.00270,0.00075,0.00001,-0.00056,-0.44922,-0.29777,-1.15745,981.93000,27.14000,294.22000
-0.04003,0.03271,0.99871,-0.00025,0.00001,-0.00056,-0.44922,-0.29777,-1.15745,982.01000,27.13000,293.49000
-0.04110,0.03382,1.00177,-0.00025,0.00001,0.00044,-0.44611,-0.29483,-1.14526,981.98000,27.13000,293.73000
-0.04011,0.03187,1.00369,0.00075,0.00001,-0.00056,-0.46034,-0.30074,-1.15472,982.00000,27.13000,293.57000
-0.04000,0.02969,0.99862,-0.00025,0.00001,-0.00056,-0.44661,-0.30306,-1.15747,982.05000,27.13000,293.12000
-0.03905,0.03273,0.99970,-0.00025,0.00001,-0.00056,-0.45228,-0.30331,-1.16363,981.98000,27.14000,293.79000
-0.04110,0.03285,1.00274,-0.00025,0.00001,0.00044,-0.45525,-0.30352,-1.17275,981.99000,27.13000,293.68000
-0.03904,0.03075,1.00064,0.00075,0.00001,0.00044,-0.45469,-0.28735,-1.16948,981.93000,27.13000,294.17000
-0.04107,0.03278,1.00073,0.00075,0.00001,0.00044,-0.45469,-0.28735,-1.16948,981.98000,27.13000,293.74000
-0.04108,0.03379,1.00077,-0.00025,0.00001,0.00044,-0.46561,-0.28756,-1.16067,982.02000,27.13000,293.38000
-0.03808,0.03181,1.00265,-0.00025,0.00001,0.00044,-0.46861,-0.29306,-1.16384,981.95000,27.13000,294.03000
-0.04003,0.03073,0.99965,-0.00025,0.00001,-0.00056,-0.46331,-0.30095,-1.16384,982.05000,27.13000,293.17000
-0.04007,0.03277,1.00072,0.00075,0.00001,-0.00056,-0.46022,-0.29277,-1.16063,982.00000,27.13000,293.60000
-0.04107,0.03181,1.00170,0.00075,0.00001,-0.00056,-0.46579,-0.29558,-1.15778,982.05000,27.14000,293.16000
-0.04009,0.03183,1.00269,-0.00025,0.00001,-0.00056,-0.45179,-0.28719,-1.16338,981.99000,27.14000,293.68000
-0.04206,0.03179,1.00072,-0.00025,0.00001,-0.00056,-0.45179,-0.28719,-1.16338,982.01000,27.13000,293.50000
-0.04005,0.03177,1.00068,-0.00025,0.00001,-0.00056,-0.45446,-0.28983,-1.15442,982.03000,27.13000,293.35000
-0.03905,0.03273,0.99970,0.00075,0.00001,-0.00056,-0.45185,-0.29512,-1.15445,982.00000,27.13000,293.58000
-0.04008,0.03280,1.00172,0.00075,0.00001,-0.00056,-0.45222,-0.29537,-1.17256,981.99000,27.13000,293.62000
-0.04009,0.03183,1.00269,-0.00025,0.00001,-0.00056,-0.44976,-0.30339,-1.17565,982.01000,27.14000,293.49000
-0.04004,0.03076,1.00065,-0.00025,0.00001,-0.00056,-0.44990,-0.30612,-1.17871,982.06000,27.13000,293.06000
-0.03905,0.03273,0.99970,0.00075,0.00001,0.00044,-0.44684,-0.30058,-1.17252,982.00000,27.13000,293.62000
-0.04011,0.03384,1.00275,0.00075,0.00001,0.00044,-0.44684,-0.30058,-1.17252,982.01000,27.13000,293.49000
-0.04005,0.02979,1.00162,0.00075,0.00001,0.00044,-0.45266,-0.30356,-1.18175,982.03000,27.13000,293.33000
-0.04006,0.03374,0.99975,0.00075,0.00001,0.00044,-0.44417,-0.29794,-1.18148,982.03000,27.13000,293.30000
-0.04109,0.03282,1.00174,0.00075,0.00001,-0.00056,-0.44671,-0.30050,-1.16648,982.07000,27.13000,292.97000
-0.04006,0.03080,1.00165,-0.00025,0.00001,0.00044,-0.44437,-0.30071,-1.18756,981.91000,27.13000,294.36000
-0.04004,0.03076,1.00065,-0.00025,0.00001,-0.00056,-0.44338,-0.28425,-1.16315,982.03000,27.13000,293.33000
-0.04005,0.03274,0.99972,-0.00025,0.00001,-0.00056,-0.45241,-0.29550,-1.18162,981.99000,27.13000,293.67000
-0.04109,0.03282,1.00174,-0.00025,0.00001,-0.00056,-0.45241,-0.29550,-1.18162,981.97000,27.13000,293.84000
-0.04106,0.03178,1.00070,-0.00025,0.00001,-0.00056,-0.44930,-0.29256,-1.16944,982.10000,27.14000,292.74000
-0.04002,0.03170,0.99868,-0.00025,0.00001,0.00044,-0.44354,-0.29752,-1.15128,982.05000,27.13000,293.11000
-0.04007,0.03180,1.00169,0.00075,0.00001,0.00044,-0.46068,-0.30360,-1.16684,982.01000,27.14000,293.49000
-0.04007,0.03180,1.00169,0.00075,0.00001,0.00044,-0.46013,-0.29797,-1.14864,981.99000,27.14000,293.65000
-0.04107,0.03181,1.00170,0.00075,0.00001,-0.00056,-0.46299,-0.30074,-1.14874,981.95000,27.13000,293.98000
-0.03908,0.03279,1.00170,0.00075,0.00001,0.00044,-0.44619,-0.28962,-1.15726,981.93000,27.14000,294.19000
-0.03908,0.03279,1.00170,0.00075,0.00001,-0.00056,-0.44644,-0.28979,-1.16933,981.97000,27.13000,293.81000
-0.04005,0.03274,0.99972,0.00075,0.00001,-0.00056,-0.45485,-0.29273,-1.16956,982.00000,27.13000,293.60000
-0.04007,0.03277,1.00072,0.00075,0.00001,0.00044,-0.44648,-0.29508,-1.16338,982.00000,27.13000,293.56000
-0.04004,0.03173,0.99968,0.00075,-0.00099,0.00044,-0.46324,-0.29302,-1.17277,981.98000,27.13000,293.71000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.45794,-0.30091,-1.17277,982.00000,27.13000,293.57000
-0.04007,0.03180,1.00169,-0.00025,0.00001,-0.00056,-0.46343,-0.30104,-1.16988,982.05000,27.13000,293.19000
-0.03906,0.03276,1.00070,-0.00025,0.00001,-0.00056,-0.45483,-0.29797,-1.16059,982.01000,27.13000,293.53000
-0.03906,0.03276,1.00070,-0.00025,0.00001,0.00044,-0.45496,-0.30595,-1.15468,982.01000,27.13000,293.51000
-0.04005,0.03177,1.00068,0.00075,0.00001,-0.00056,-0.45496,-0.30595,-1.15468,982.08000,27.14000,292.86000
-0.04005,0.03177,1.00068,0.00075,0.00001,-0.00056,-0.45748,-0.29797,-1.15461,982.05000,27.13000,293.17000
-0.04007,0.03180,1.00169,0.00075,0.00001,-0.00056,-0.45233,-0.30071,-1.16963,981.95000,27.13000,293.97000
-0.03905,0.03176,1.00067,-0.00025,0.00001,0.00044,-0.43803,-0.29475,-1.15715,982.04000,27.14000,293.26000
