ax,ay,az,gx,gy,gz,mx,my,mz,pressure,temperature,altitude
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.091,0.450,-0.569,982.55,26.55,288.90
-0.038,-0.036,0.999,0.001,-0.002,-0.000,0.087,0.450,-0.562,982.48,26.55,289.52
-0.038,-0.035,0.999,0.001,-0.002,-0.000,0.087,0.450,-0.562,982.54,26.55,288.93
-0.038,-0.035,1.000,0.002,-0.002,-0.000,0.087,0.451,-0.561,982.53,26.55,289.07
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.085,0.455,-0.563,982.51,26.55,289.21
-0.038,-0.036,1.000,0.002,-0.002,-0.001,0.089,0.453,-0.564,982.54,26.55,289.00
-0.039,-0.035,1.000,0.002,-0.002,-0.001,0.091,0.453,-0.563,982.45,26.55,289.75
-0.038,-0.035,1.001,0.002,-0.002,-0.000,0.090,0.453,-0.561,982.54,26.55,288.98
-0.039,-0.035,0.998,0.001,-0.002,-0.000,0.088,0.452,-0.563,982.43,26.55,289.94
-0.039,-0.036,0.999,0.002,-0.002,-0.001,0.088,0.452,-0.563,982.50,26.55,289.31
-0.040,-0.036,0.999,0.002,-0.002,-0.001,0.091,0.455,-0.560,982.57,26.55,288.71
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.088,0.451,-0.562,982.62,26.55,288.33
-0.038,-0.036,0.999,0.002,-0.002,-0.001,0.090,0.451,-0.557,982.54,26.55,288.99
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.091,0.453,-0.566,982.51,26.56,289.19
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.455,-0.562,982.52,26.55,289.18
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.091,0.447,-0.558,982.50,26.55,289.31
-0.039,-0.035,0.999,0.002,-0.002,0.000,0.091,0.447,-0.558,982.49,26.55,289.41
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.088,0.449,-0.562,982.41,26.55,290.12
-0.038,-0.036,0.999,0.002,-0.002,0.000,0.085,0.449,-0.563,982.45,26.55,289.71
-0.038,-0.035,0.999,0.002,-0.002,-0.000,0.093,0.450,-0.560,982.52,26.55,289.16
-0.038,-0.036,0.998,0.002,-0.002,-0.000,0.090,0.449,-0.562,982.48,26.55,289.52
-0.038,-0.035,1.000,0.002,-0.002,-0.001,0.090,0.451,-0.563,982.49,26.55,289.39
-0.038,-0.036,0.999,0.002,-0.002,-0.000,0.090,0.448,-0.567,982.45,26.55,289.74
-0.039,-0.036,1.000,0.002,-0.002,0.000,0.090,0.448,-0.567,982.49,26.54,289.43
-0.039,-0.036,1.000,0.002,-0.002,-0.000,0.091,0.447,-0.564,982.49,26.55,289.38
-0.040,-0.036,1.000,0.002,-0.002,-0.001,0.087,0.451,-0.568,982.50,26.55,289.35
-0.039,-0.035,1.000,0.002,-0.002,-0.000,0.087,0.450,-0.562,982.54,26.55,288.98
-0.037,-0.035,0.999,0.001,-0.002,-0.000,0.090,0.449,-0.564,982.55,26.55,288.85
-0.038,-0.037,1.000,0.002,-0.002,0.000,0.088,0.450,-0.566,982.60,26.55,288.43
-0.039,-0.036,0.999,0.002,-0.002,-0.000,0.087,0.450,-0.562,982.48,26.55,289.46
-0.038,-0.036,1.000,0.002,-0.002,-0.000,0.087,0.450,-0.566,982.65,26.55,288.06
