ax,ay,az
0.005,-0.029,0.991
0.008,-0.029,0.982
0.004,-0.03,0.995
0.008,-0.031,1.036
0.006,-0.028,0.97
0.005,-0.03,0.995
0.005,-0.03,1.001
0.008,-0.031,1.009
0.006,-0.03,0.981
0.004,-0.029,0.998
0.008,-0.03,1.001
0.007,-0.029,0.997
0.006,-0.028,0.985
0.006,-0.029,0.996
0.006,-0.031,0.995
0.004,-0.03,0.995
0.005,-0.031,0.992
0.007,-0.03,0.995
0.006,-0.03,0.995
0.006,-0.03,0.997
0.005,-0.03,0.993
0.006,-0.031,0.996
0.005,-0.03,0.992
0.006,-0.031,0.993
0.006,-0.03,0.994
0.006,-0.029,0.996
0.004,-0.03,0.994
0.005,-0.03,0.994
0.007,-0.031,0.995
0.006,-0.03,0.994
0.006,-0.029,0.994
0.006,-0.03,0.993
0.007,-0.03,0.995
0.006,-0.03,0.994
0.005,-0.031,0.993
0.006,-0.03,0.995
0.006,-0.03,0.995
0.006,-0.03,0.995
0.005,-0.031,0.995
0.005,-0.03,0.995
0.005,-0.03,0.994
0.006,-0.031,0.994
0.006,-0.03,0.993
0.006,-0.03,0.993
0.004,-0.029,0.996
0.006,-0.03,0.994
0.005,-0.03,0.994
0.006,-0.03,0.994
0.006,-0.03,0.995
0.005,-0.029,0.995
0.007,-0.03,0.994
0.006,-0.031,0.994
0.005,-0.029,0.995
0.007,-0.03,0.994
0.005,-0.031,0.994
0.005,-0.03,0.993
0.006,-0.029,0.994
0.005,-0.03,0.994
0.005,-0.029,0.994
0.006,-0.03,0.995
0.007,-0.031,0.993
0.006,-0.03,0.995
0.005,-0.031,0.994
0.006,-0.03,0.992
0.005,-0.031,0.993
0.005,-0.029,0.994
0.006,-0.031,0.994
0.005,-0.029,0.995
0.006,-0.031,0.995
0.007,-0.03,0.993
0.005,-0.031,0.993
0.005,-0.031,0.993
0.006,-0.03,0.995
0.005,-0.03,0.996
0.006,-0.03,0.995
0.007,-0.03,0.993
0.006,-0.03,0.994
0.005,-0.03,0.993
0.006,-0.029,0.994
0.005,-0.03,0.994
0.005,-0.03,0.994
0.006,-0.03,0.995
0.006,-0.03,0.995
0.006,-0.029,0.995
0.005,-0.03,0.994
0.005,-0.029,0.992
0.005,-0.03,0.994
0.006,-0.03,0.995
0.006,-0.03,0.995
0.005,-0.029,0.995
0.006,-0.03,0.995
0.005,-0.032,0.996
0.007,-0.03,0.994
0.005,-0.03,0.993
0.006,-0.03,0.994
0.006,-0.029,0.993
0.005,-0.031,0.995
0.006,-0.03,0.995
0.006,-0.03,0.995
0.006,-0.03,0.995
0.008,0.968,-0.01
0.007,0.97,-0.007
0.007,1.068,-0.007
-0.019,0.935,0.068
0.025,1.0,-0.055
-0.012,0.994,0.022
-0.002,1.01,0.004
-0.006,0.942,-0.002
0.016,0.997,-0.023
