mx,my,mz
-0.541,0.6,-0.362
-0.543,0.597,-0.359
-0.539,0.595,-0.356
-0.537,0.593,-0.359
-0.537,0.593,-0.357
-0.542,0.589,-0.357
-0.545,0.592,-0.359
-0.542,0.587,-0.362
-0.542,0.585,-0.352
-0.549,0.586,-0.36
-0.55,0.585,-0.352
-0.55,0.584,-0.357
-0.551,0.584,-0.357
-0.548,0.583,-0.353
-0.551,0.581,-0.352
-0.556,0.582,-0.342
-0.553,0.584,-0.341
-0.551,0.581,-0.35
-0.554,0.575,-0.342
-0.554,0.575,-0.342
-0.552,0.58,-0.341
-0.552,0.577,-0.336
-0.551,0.577,-0.339
-0.553,0.577,-0.335
-0.552,0.572,-0.332
-0.555,0.575,-0.33
-0.555,0.575,-0.33
-0.553,0.571,-0.323
-0.554,0.572,-0.319
-0.553,0.573,-0.316
-0.553,0.573,-0.31
-0.556,0.573,-0.305
-0.552,0.568,-0.303
-0.552,0.568,-0.303
-0.552,0.569,-0.295
-0.555,0.569,-0.29
-0.554,0.573,-0.285
-0.547,0.571,-0.283
-0.546,0.572,-0.277
-0.547,0.568,-0.264
-0.547,0.568,-0.264
-0.54,0.567,-0.248
-0.541,0.564,-0.235
-0.534,0.552,-0.22
-0.527,0.549,-0.207
-0.529,0.538,-0.198
-0.522,0.527,-0.189
-0.522,0.527,-0.189
-0.516,0.508,-0.182
-0.517,0.509,-0.17
-0.519,0.497,-0.165
-0.515,0.494,-0.164
-0.517,0.487,-0.158
-0.519,0.481,-0.159
-0.519,0.481,-0.159
-0.52,0.482,-0.161
-0.521,0.474,-0.165
-0.521,0.472,-0.167
-0.524,0.464,-0.169
-0.527,0.464,-0.169
-0.532,0.464,-0.175
-0.532,0.463,-0.183
-0.536,0.463,-0.183
-0.542,0.465,-0.19
-0.548,0.463,-0.201
-0.556,0.466,-0.218
-0.565,0.467,-0.237
-0.572,0.471,-0.241
-0.575,0.478,-0.251
-0.575,0.478,-0.251
-0.579,0.486,-0.26
-0.577,0.49,-0.265
-0.58,0.494,-0.261
-0.577,0.498,-0.264
-0.575,0.508,-0.268
-0.578,0.514,-0.268
-0.578,0.514,-0.268
-0.575,0.524,-0.271
-0.575,0.53,-0.269
-0.571,0.534,-0.273
-0.568,0.54,-0.267
-0.567,0.545,-0.263
-0.564,0.552,-0.258
-0.564,0.552,-0.258
-0.564,0.558,-0.249
-0.556,0.566,-0.244
-0.55,0.576,-0.233
-0.537,0.585,-0.215
-0.524,0.589,-0.21
-0.514,0.593,-0.193
-0.514,0.593,-0.193
-0.496,0.601,-0.173
-0.482,0.6,-0.157
-0.466,0.603,-0.148
-0.448,0.605,-0.137
-0.435,0.606,-0.131
-0.421,0.61,-0.128
-0.421,0.61,-0.128
-0.407,0.612,-0.124
-0.391,0.616,-0.113
-0.378,0.605,-0.104
-0.362,0.604,-0.097
-0.354,0.601,-0.089
-0.344,0.591,-0.08
-0.344,0.591,-0.08
-0.34,0.578,-0.074
-0.33,0.566,-0.067
-0.331,0.543,-0.055
-0.327,0.524,-0.047
-0.315,0.501,-0.049
-0.304,0.48,-0.037
-0.304,0.48,-0.038
-0.298,0.457,-0.038
-0.293,0.444,-0.032
-0.28,0.44,-0.03
-0.269,0.441,-0.028
-0.258,0.442,-0.021
-0.251,0.445,-0.027
-0.241,0.441,-0.032
-0.241,0.441,-0.032
-0.231,0.443,-0.029
-0.224,0.441,-0.025
-0.217,0.439,-0.028
-0.204,0.438,-0.03
-0.2,0.44,-0.028
-0.195,0.442,-0.031
-0.195,0.442,-0.031
-0.196,0.442,-0.025
-0.19,0.444,-0.028
-0.183,0.446,-0.031
-0.174,0.452,-0.028
-0.173,0.456,-0.028
-0.169,0.461,-0.026
-0.169,0.461,-0.026
-0.166,0.464,-0.027
-0.161,0.469,-0.024
-0.157,0.479,-0.031
-0.155,0.485,-0.032
-0.148,0.494,-0.036
-0.143,0.504,-0.033
-0.143,0.504,-0.033
-0.141,0.515,-0.032
-0.138,0.525,-0.043
-0.14,0.537,-0.047
-0.141,0.552,-0.051
-0.144,0.565,-0.056
-0.145,0.577,-0.072
-0.145,0.577,-0.072
-0.14,0.596,-0.079
-0.14,0.605,-0.085
-0.138,0.616,-0.091
-0.132,0.63,-0.102
-0.133,0.645,-0.115
-0.135,0.66,-0.125
-0.135,0.66,-0.125
-0.127,0.672,-0.134
-0.129,0.682,-0.144
-0.126,0.693,-0.161
-0.124,0.702,-0.174
-0.127,0.713,-0.192
-0.13,0.718,-0.202
-0.13,0.718,-0.213
-0.127,0.724,-0.213
-0.13,0.734,-0.23
-0.129,0.742,-0.253
-0.136,0.745,-0.268
-0.144,0.752,-0.284
-0.148,0.758,-0.313
-0.148,0.761,-0.327
-0.154,0.761,-0.327
-0.164,0.766,-0.343
-0.178,0.767,-0.35
-0.199,0.771,-0.369
-0.221,0.775,-0.387
-0.241,0.771,-0.403
-0.268,0.768,-0.419
-0.268,0.768,-0.419
-0.295,0.761,-0.435
-0.323,0.747,-0.449
-0.35,0.732,-0.464
-0.377,0.712,-0.478
-0.404,0.691,-0.497
-0.425,0.665,-0.52
