ax,ay,az
-0.004,0.0,0.978
-0.005,0.002,1.014
-0.005,0.003,1.013
-0.005,0.001,0.97
-0.004,-0.001,0.989
-0.004,0.001,1.005
-0.005,0.001,0.989
-0.004,0.0,0.999
-0.005,0.0,0.993
-0.005,0.0,0.968
-0.004,0.001,0.995
-0.005,0.0,0.996
-0.006,0.001,1.002
-0.005,0.002,0.99
-0.004,-0.0,0.997
-0.005,-0.0,0.996
-0.006,0.0,0.974
-0.003,0.0,1.013
-0.007,0.001,1.007
-0.005,0.001,0.995
-0.005,0.001,0.989
-0.004,0.0,1.001
-0.005,0.0,0.997
-0.004,-0.001,0.993
-0.006,-0.0,0.996
0.01,0.963,-0.012
0.009,0.99,-0.007
0.011,0.94,-0.014
0.009,0.973,-0.01
0.008,0.994,-0.009
0.01,1.015,-0.012
0.005,0.965,-0.014
0.009,0.966,-0.01
0.008,1.0,-0.013
-0.072,0.979,-0.12
0.089,0.969,0.091
-0.009,0.995,-0.026
0.024,0.998,0.007
0.013,0.974,-0.012
0.002,0.992,-0.018
0.015,0.993,-0.003
0.01,0.981,-0.013
0.009,0.975,-0.011
0.008,0.994,-0.01
0.008,0.981,-0.012
0.008,0.98,-0.009
0.008,0.987,-0.011
0.009,0.986,-0.012
0.01,0.986,-0.012
0.008,0.983,-0.01
0.025,-0.019,-0.997
0.025,-0.018,-0.976
0.024,-0.02,-1.057
0.025,-0.017,-0.964
0.024,-0.019,-0.99
0.023,-0.018,-1.006
0.025,-0.02,-1.017
0.023,-0.019,-0.985
0.025,-0.018,-1.0
0.026,-0.021,-1.014
0.025,-0.02,-0.999
0.025,-0.019,-0.988
0.025,-0.019,-0.996
0.025,-0.02,-0.982
0.024,-0.016,-0.988
0.024,-0.017,-0.995
0.023,-0.019,-1.005
0.025,-0.019,-0.997
0.024,-0.018,-0.991
0.025,-0.019,-0.999
0.023,-0.019,-0.998
0.024,-0.018,-0.998
0.024,-0.018,-0.996
0.025,-0.019,-0.998
0.025,-0.019,-1.002
0.039,-1.003,-0.0
0.037,-0.991,-0.0
0.039,-1.026,0.0
0.037,-0.994,0.0
0.038,-1.005,0.0
0.038,-1.015,0.002
0.041,-1.013,0.0
0.039,-0.999,-0.001
0.037,-1.006,0.0
0.035,-1.008,0.0
0.038,-0.998,0.002
0.037,-1.003,0.0
0.039,-1.011,-0.002
0.039,-1.011,-0.001
0.036,-1.0,0.0
0.036,-1.007,0.001
0.038,-1.008,0.001
0.039,-1.001,-0.001
0.039,-1.005,0.0
0.039,-1.007,0.0
0.039,-1.006,-0.0
0.037,-1.005,-0.0
0.038,-1.006,0.0
0.037,-1.006,-0.001
0.038,-1.004,-0.001
-0.971,-0.02,0.004
-0.969,-0.02,0.003
-0.941,-0.02,0.004
-0.973,-0.021,0.006
-0.986,-0.018,0.005
-1.006,-0.021,0.005
-0.975,-0.019,0.004
-0.967,-0.02,0.004
-0.996,-0.02,0.005
-0.989,-0.02,0.005
-0.973,-0.018,0.004
-0.976,-0.02,0.004
-0.994,-0.021,0.005
-0.986,-0.019,0.005
-0.98,-0.019,0.004
-0.988,-0.02,0.005
-0.984,-0.019,0.005
-0.976,-0.019,0.004
-0.982,-0.02,0.003
-0.985,-0.019,0.004
-0.983,-0.02,0.004
-0.98,-0.02,0.005
-0.983,-0.019,0.004
-0.987,-0.019,0.004
-0.982,-0.019,0.005
1.002,-0.002,0.0
1.008,-0.001,0.003
1.052,-0.0,0.001
0.986,-0.002,-0.001
1.012,-0.001,0.003
1.032,-0.001,-0.001
1.008,-0.001,-0.0
1.008,-0.002,0.0
1.007,-0.0,0.001
1.013,-0.002,0.001
1.009,-0.001,0.002
1.011,-0.0,0.002
1.024,-0.001,0.001
1.014,-0.002,-0.0
1.014,-0.003,0.0
1.017,-0.002,0.002
1.012,-0.002,0.0
1.012,-0.003,0.001
1.015,-0.0,0.001
1.013,-0.001,0.001
1.014,-0.003,0.0
1.012,-0.001,0.001
1.011,-0.001,0.001
1.016,-0.001,0.001
1.016,-0.001,0.002
