mx,my,mz
-0.584,0.359,-0.508
-0.584,0.362,-0.504
-0.584,0.358,-0.503
-0.584,0.358,-0.503
-0.583,0.361,-0.5
-0.584,0.36,-0.508
-0.582,0.36,-0.506
-0.578,0.357,-0.503
-0.584,0.36,-0.507
-0.583,0.36,-0.506
-0.583,0.36,-0.506
-0.583,0.36,-0.505
-0.585,0.362,-0.511
-0.585,0.362,-0.509
-0.583,0.361,-0.507
-0.582,0.361,-0.505
-0.58,0.36,-0.503
-0.58,0.36,-0.506
-0.58,0.36,-0.506
-0.58,0.359,-0.507
-0.58,0.356,-0.503
-0.579,0.355,-0.502
-0.582,0.359,-0.505
-0.578,0.36,-0.496
-0.578,0.361,-0.495
-0.58,0.361,-0.495
-0.58,0.36,-0.498
-0.581,0.365,-0.492
-0.58,0.363,-0.502
-0.582,0.361,-0.495
-0.58,0.362,-0.491
-0.581,0.359,-0.492
-0.581,0.359,-0.492
-0.582,0.361,-0.498
-0.582,0.361,-0.501
-0.582,0.364,-0.502
-0.583,0.362,-0.5
-0.585,0.351,-0.501
-0.584,0.356,-0.499
-0.584,0.356,-0.499
-0.589,0.355,-0.502
-0.588,0.354,-0.5
-0.585,0.351,-0.494
-0.584,0.351,-0.499
-0.581,0.351,-0.493
-0.587,0.347,-0.489
-0.587,0.347,-0.489
-0.587,0.346,-0.499
-0.581,0.35,-0.489
-0.584,0.349,-0.495
-0.585,0.348,-0.5
-0.583,0.35,-0.506
-0.578,0.346,-0.518
-0.578,0.346,-0.518
-0.581,0.353,-0.515
-0.581,0.353,-0.506
-0.581,0.353,-0.51
-0.579,0.353,-0.512
-0.584,0.352,-0.513
-0.584,0.349,-0.509
-0.584,0.349,-0.509
-0.588,0.35,-0.51
-0.586,0.355,-0.507
-0.588,0.348,-0.509
-0.588,0.338,-0.503
-0.592,0.34,-0.499
-0.587,0.337,-0.505
-0.587,0.337,-0.505
-0.591,0.331,-0.499
-0.595,0.326,-0.501
-0.59,0.322,-0.5
-0.59,0.318,-0.501
-0.592,0.312,-0.494
-0.592,0.308,-0.49
-0.592,0.308,-0.488
-0.593,0.3,-0.488
-0.595,0.291,-0.481
-0.594,0.274,-0.47
-0.598,0.264,-0.46
-0.598,0.247,-0.442
-0.596,0.234,-0.424
-0.596,0.214,-0.419
-0.591,0.214,-0.419
-0.592,0.202,-0.403
-0.588,0.195,-0.397
-0.594,0.186,-0.38
-0.589,0.18,-0.357
-0.588,0.178,-0.348
-0.588,0.176,-0.337
-0.588,0.176,-0.337
-0.586,0.169,-0.325
-0.587,0.172,-0.305
-0.587,0.169,-0.293
-0.59,0.168,-0.278
-0.594,0.171,-0.267
-0.59,0.173,-0.248
-0.59,0.173,-0.248
-0.59,0.181,-0.227
-0.592,0.19,-0.212
-0.594,0.199,-0.198
-0.599,0.208,-0.184
-0.604,0.222,-0.183
-0.615,0.234,-0.189
-0.615,0.234,-0.189
-0.63,0.242,-0.193
-0.643,0.253,-0.201
-0.651,0.268,-0.214
-0.66,0.278,-0.226
-0.669,0.295,-0.242
-0.673,0.308,-0.256
-0.673,0.308,-0.256
-0.678,0.317,-0.277
-0.675,0.329,-0.292
-0.676,0.34,-0.311
-0.672,0.356,-0.328
-0.673,0.371,-0.338
-0.663,0.388,-0.346
-0.663,0.388,-0.346
-0.657,0.404,-0.36
-0.651,0.425,-0.373
-0.644,0.439,-0.376
-0.634,0.452,-0.391
-0.629,0.461,-0.407
-0.625,0.473,-0.417
-0.625,0.473,-0.417
-0.614,0.49,-0.425
-0.606,0.504,-0.441
-0.598,0.523,-0.451
-0.586,0.543,-0.459
-0.577,0.561,-0.459
-0.566,0.578,-0.467
-0.566,0.578,-0.47
-0.55,0.607,-0.47
-0.534,0.625,-0.478
-0.516,0.642,-0.476
-0.499,0.663,-0.481
