t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-08-21 18:14:02.325, 0.072, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -537.3, 192.2, 70.1 ,167.85
2025-08-21 18:14:02.334, 0.073, -0.003, -0.988 ,  0.00, -0.00, 0.00 ,  -539.1, 193.8, 76.9 ,169.30
2025-08-21 18:14:02.345, 0.072, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -542.6, 200.2, 66.5 ,167.88
2025-08-21 18:14:02.356, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -542.6, 195.9, 76.6 ,168.43
2025-08-21 18:14:02.367, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -541.4, 195.9, 76.6 ,168.47
2025-08-21 18:14:02.377, 0.071, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 199.4, 77.0 ,168.26
2025-08-21 18:14:02.388, 0.071, -0.003, -0.989 ,  0.00, -0.00, -0.00 ,  -539.0, 192.4, 67.1 ,168.04
2025-08-21 18:14:02.399, 0.072, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -535.9, 195.6, 69.6 ,167.74
2025-08-21 18:14:02.410, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -539.3, 197.8, 72.5 ,168.42
2025-08-21 18:14:02.421, 0.072, -0.003, -0.991 ,  0.00, -0.00, 0.00 ,  -541.1, 196.6, 66.6 ,168.25
2025-08-21 18:14:02.494, 0.073, -0.005, -0.992 ,  0.00, -0.00, 0.00 ,  -539.7, 192.5, 66.4 ,168.31
2025-08-21 18:14:02.494, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -539.7, 192.5, 66.4 ,169.18
2025-08-21 18:14:02.496, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -545.9, 194.9, 72.0 ,168.19
2025-08-21 18:14:02.497, 0.073, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 192.8, 71.0 ,168.00
2025-08-21 18:14:02.498, 0.073, -0.006, -0.987 ,  0.00, -0.00, 0.00 ,  -543.2, 190.5, 75.7 ,168.75
2025-08-21 18:14:02.498, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.1, 192.4, 77.8 ,168.60
2025-08-21 18:14:02.499, 0.071, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -540.7, 188.4, 75.0 ,169.03
2025-08-21 18:14:02.510, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -541.5, 191.9, 73.4 ,168.32
2025-08-21 18:14:02.521, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -541.5, 191.9, 73.4 ,168.12
2025-08-21 18:14:02.531, 0.073, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -543.9, 191.2, 76.3 ,167.94
2025-08-21 18:14:02.604, 0.072, -0.006, -0.989 ,  0.00, -0.00, 0.00 ,  -542.6, 187.7, 69.2 ,168.38
2025-08-21 18:14:02.605, 0.073, -0.003, -0.989 ,  0.00, -0.00, 0.00 ,  -541.4, 194.6, 75.3 ,167.93
2025-08-21 18:14:02.606, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -543.8, 189.3, 74.3 ,168.06
2025-08-21 18:14:02.607, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -540.7, 193.5, 70.7 ,168.57
2025-08-21 18:14:02.608, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.4, 193.2, 76.4 ,167.92
2025-08-21 18:14:02.608, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -542.4, 193.2, 76.4 ,168.40
2025-08-21 18:14:02.610, 0.072, -0.006, -0.989 ,  0.00, -0.00, 0.00 ,  -540.1, 191.5, 72.5 ,168.02
2025-08-21 18:14:02.619, 0.073, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -540.3, 189.4, 68.3 ,168.50
2025-08-21 18:14:02.630, 0.074, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.9, 190.8, 68.5 ,167.99
2025-08-21 18:14:02.641, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -540.7, 191.2, 78.0 ,168.51
2025-08-21 18:14:02.658, 0.072, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -537.0, 195.0, 66.8 ,167.99
2025-08-21 18:14:02.664, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -540.5, 191.0, 74.3 ,168.70
2025-08-21 18:14:02.675, 0.072, -0.004, -0.991 ,  0.00, -0.00, 0.00 ,  -540.5, 191.0, 74.3 ,168.46
2025-08-21 18:14:02.686, 0.072, -0.006, -0.991 ,  0.00, -0.00, 0.00 ,  -544.2, 197.4, 69.4 ,168.72
2025-08-21 18:14:02.697, 0.072, -0.004, -0.989 ,  0.00, -0.00, 0.00 ,  -539.8, 191.4, 65.4 ,167.84
2025-08-21 18:14:02.707, 0.073, -0.005, -0.987 ,  0.00, -0.00, 0.00 ,  -541.2, 188.4, 66.8 ,167.86
2025-08-21 18:14:02.718, 0.072, -0.003, -0.988 ,  0.00, -0.00, 0.00 ,  -542.8, 194.2, 70.1 ,168.37
2025-08-21 18:14:02.729, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -541.5, 194.0, 68.7 ,169.02
2025-08-21 18:14:02.741, 0.072, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -542.2, 192.8, 67.5 ,168.20
2025-08-21 18:14:02.752, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.2, 192.8, 67.5 ,168.90
2025-08-21 18:14:02.767, 0.073, -0.005, -0.990 ,  0.00, -0.00, 0.00 ,  -540.8, 192.2, 69.4 ,168.43
2025-08-21 18:14:02.774, 0.073, -0.005, -0.991 ,  0.00, -0.00, 0.00 ,  -543.9, 190.3, 67.9 ,168.11
2025-08-21 18:14:02.785, 0.072, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -546.1, 188.9, 72.8 ,168.05
2025-08-21 18:14:02.795, 0.073, -0.005, -0.989 ,  0.00, -0.00, 0.00 ,  -542.9, 190.3, 67.9 ,168.46
2025-08-21 18:14:02.807, 0.073, -0.004, -0.988 ,  0.00, -0.00, 0.00 ,  -542.4, 190.8, 65.5 ,168.47
2025-08-21 18:14:02.817, 0.073, -0.005, -0.988 ,  0.00, -0.00, 0.00 ,  -541.1, 190.5, 68.6 ,168.19
2025-08-21 18:14:02.829, 0.072, -0.004, -0.990 ,  0.00, -0.00, 0.00 ,  -541.1, 190.5, 68.6 ,167.86
