time,ax,ay,az,gx,gy,gz,mx,my,mz,altitude_m,ral_m
0.01,-0.015,-0.030,1.003,0.001,-0.002,0.001,-581.140,280.140,-950.740,221.84,0.00000
0.02,-0.015,-0.030,1.004,0.002,-0.002,0.000,-579.460,279.860,-945.140,221.59,-0.25000
0.03,-0.015,-0.030,1.004,0.002,-0.003,0.000,-580.160,280.980,-952.560,221.64,-0.20000
0.04,-0.015,-0.029,1.004,0.002,-0.002,0.000,-580.160,281.400,-948.920,221.43,-0.41000
0.05,-0.014,-0.029,1.003,0.002,-0.003,0.001,-580.160,281.400,-948.920,221.66,-0.18000
0.06,-0.014,-0.030,1.003,0.002,-0.003,0.001,-578.200,279.580,-951.440,221.93,0.09000
0.07,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.620,281.820,-953.960,221.40,-0.44000
0.08,-0.014,-0.029,1.004,0.002,-0.002,0.001,-578.200,283.220,-948.640,220.87,-0.97000
0.09,-0.014,-0.030,1.005,0.002,-0.002,0.000,-580.020,280.000,-947.380,221.87,0.03000
0.10,-0.013,-0.029,1.004,0.002,-0.002,0.000,-581.980,281.120,-949.200,221.53,-0.31000
0.11,-0.015,-0.029,1.004,0.002,-0.002,0.000,-579.180,280.280,-953.260,221.92,0.08000
0.12,-0.014,-0.030,1.004,0.001,-0.002,0.000,-579.180,280.280,-953.260,220.62,-1.22000
0.13,-0.014,-0.030,1.005,0.001,-0.002,0.001,-581.420,286.020,-948.780,221.76,-0.08000
0.14,-0.015,-0.029,1.004,0.002,-0.002,0.001,-580.300,283.080,-945.840,221.36,-0.48000
0.15,-0.013,-0.030,1.004,0.002,-0.002,0.000,-580.020,284.200,-947.660,221.19,-0.65000
0.16,-0.014,-0.030,1.004,0.002,-0.002,0.000,-580.160,282.380,-947.520,221.53,-0.31000
0.17,-0.013,-0.030,1.004,0.002,-0.003,0.000,-580.160,282.800,-952.000,221.93,0.09000
0.18,-0.014,-0.030,1.004,0.002,-0.003,0.001,-580.440,282.240,-949.200,221.40,-0.44000
0.19,-0.014,-0.030,1.004,0.001,-0.002,0.000,-580.440,282.240,-949.200,220.62,-1.22000
0.20,-0.015,-0.030,1.005,0.002,-0.002,0.000,-578.900,283.080,-951.160,221.13,-0.71000
0.21,-0.015,-0.030,1.004,0.001,-0.002,0.000,-578.900,285.320,-956.900,221.11,-0.73000
0.22,-0.014,-0.029,1.004,0.002,-0.002,0.000,-579.320,282.800,-956.340,221.60,-0.24000
0.23,-0.015,-0.029,1.003,0.002,-0.002,0.000,-578.900,286.020,-953.680,221.56,-0.28000
0.24,-0.014,-0.030,1.003,0.002,-0.002,0.000,-579.740,286.860,-953.120,221.97,0.13000
0.25,-0.013,-0.031,1.004,0.002,-0.002,0.001,-577.640,287.140,-953.120,221.98,0.14000
0.26,-0.014,-0.029,1.004,0.002,-0.002,0.000,-577.640,287.140,-953.120,221.44,-0.40000
0.27,-0.014,-0.029,1.004,0.002,-0.002,0.000,-579.180,286.580,-955.640,221.42,-0.42000
0.28,-0.015,-0.029,1.003,0.002,-0.002,0.000,-582.260,286.580,-953.260,222.25,0.41000
0.29,-0.014,-0.029,1.005,0.002,-0.002,0.000,-578.620,287.560,-950.740,221.75,-0.09000
0.30,-0.015,-0.029,1.003,0.002,-0.002,0.000,-576.520,283.500,-953.120,221.31,-0.53000
0.31,-0.014,-0.029,1.004,0.002,-0.002,0.000,-578.900,279.300,-954.380,222.13,0.29000
0.32,-0.013,-0.030,1.004,0.002,-0.003,0.000,-576.380,282.240,-957.460,221.50,-0.34000
0.33,-0.014,-0.029,1.004,0.002,-0.002,0.000,-576.380,282.240,-957.460,221.17,-0.67000
0.34,-0.012,-0.030,1.004,0.002,-0.002,0.000,-581.140,282.520,-947.100,221.04,-0.80000
0.35,-0.013,-0.029,1.004,0.002,-0.003,0.000,-579.040,278.740,-951.860,221.44,-0.40000
0.36,-0.015,-0.030,1.005,0.002,-0.003,0.001,-580.720,281.960,-951.020,221.51,-0.33000
0.37,-0.015,-0.030,1.005,0.002,-0.002,0.000,-584.920,284.620,-947.100,221.38,-0.46000
0.38,-0.013,-0.030,1.005,0.002,-0.002,0.000,-581.280,282.940,-947.800,221.73,-0.11000
0.39,-0.015,-0.029,1.005,0.002,-0.002,0.000,-581.140,280.420,-949.760,221.29,-0.55000
0.40,-0.013,-0.029,1.003,0.002,-0.002,0.000,-581.140,280.420,-949.760,221.20,-0.64000
0.41,-0.013,-0.030,1.003,0.002,-0.002,0.000,-580.720,279.440,-948.080,221.43,-0.41000
0.42,-0.014,-0.030,1.004,0.002,-0.002,0.000,-586.180,279.440,-949.480,221.27,-0.57000
0.43,-0.014,-0.029,1.004,0.002,-0.002,0.000,-582.540,280.140,-949.900,221.23,-0.61000
0.44,-0.013,-0.030,1.005,0.002,-0.003,0.000,-582.540,280.140,-952.420,221.25,-0.59000
0.45,-0.014,-0.029,1.005,0.002,-0.002,0.000,-581.000,275.660,-955.500,220.54,-1.30000
0.46,-0.016,-0.029,1.003,0.002,-0.002,0.000,-581.420,279.020,-957.180,221.78,-0.06000
0.47,-0.014,-0.029,1.005,0.002,-0.002,0.000,-581.420,279.020,-957.180,221.57,-0.27000
0.48,-0.014,-0.029,1.004,0.002,-0.002,0.001,-579.880,275.940,-958.860,221.50,-0.34000
0.49,-0.013,-0.030,1.003,0.002,-0.002,0.000,-577.920,279.020,-952.000,221.00,-0.84000
0.50,-0.014,-0.030,1.005,0.002,-0.003,0.001,-576.940,283.220,-949.060,221.33,-0.51000
0.51,-0.013,-0.031,1.004,0.002,-0.002,0.000,-577.500,278.740,-949.480,221.78,-0.06000
0.52,-0.015,-0.030,1.004,0.002,-0.002,0.001,-584.640,284.200,-955.080,221.34,-0.50000
0.53,-0.015,-0.030,1.005,0.002,-0.002,0.000,-579.320,278.600,-950.880,221.07,-0.77000
0.54,-0.014,-0.029,1.004,0.001,-0.002,0.000,-579.320,278.600,-946.680,221.20,-0.64000
0.55,-0.014,-0.028,1.004,0.001,-0.002,0.000,-576.380,281.540,-946.680,221.77,-0.07000
0.56,-0.013,-0.031,1.005,0.002,-0.002,0.000,-579.740,286.160,-951.720,221.41,-0.43000
0.57,-0.015,-0.030,1.004,0.002,-0.002,0.000,-577.220,283.360,-954.380,222.31,0.47000
0.58,-0.014,-0.030,1.005,0.002,-0.002,0.000,-578.200,280.420,-954.940,221.32,-0.52000
0.59,-0.014,-0.030,1.003,0.002,-0.002,0.001,-579.180,279.160,-952.280,221.01,-0.83000
0.60,-0.014,-0.029,1.004,0.001,-0.002,0.000,-583.800,279.160,-956.620,221.65,-0.19000
0.61,-0.015,-0.030,1.004,0.001,-0.002,0.000,-583.800,279.160,-948.500,221.87,0.03000
0.62,-0.014,-0.029,1.004,0.002,-0.002,0.001,-580.720,279.160,-948.500,221.20,-0.64000
0.63,-0.014,-0.030,1.004,0.002,-0.003,0.001,-583.380,281.820,-955.640,221.48,-0.36000
0.64,-0.014,-0.030,1.005,0.002,-0.002,0.001,-580.860,279.580,-950.600,221.49,-0.35000
