t,Ax,Ay,Az,Gx,Gy,Gz,Mx,My,Mz,Alt
2025-09-08 19:49:19.904,-0.007,-0.034,1.001,0.0,-0.0,0.0,-170.2,482.0,-885.1,126.74
2025-09-08 19:49:19.915,-0.007,-0.035,1.006,0.0,-0.0,0.0,-167.7,478.9,-884.8,126.44
2025-09-08 19:49:19.926,-0.008,-0.035,1.007,0.0,-0.0,0.0,-168.8,478.1,-884.1,126.47
2025-09-08 19:49:19.936,-0.009,-0.034,0.996,0.0,-0.0,0.0,-170.8,475.9,-885.6,126.71
2025-09-08 19:49:19.947,-0.008,-0.035,1.001,0.0,-0.0,0.0,-171.6,478.0,-887.9,126.35
2025-09-08 19:49:19.958,-0.008,-0.034,1.012,0.0,-0.0,0.0,-167.3,482.6,-880.9,126.45
2025-09-08 19:49:19.969,-0.008,-0.035,1.003,0.0,-0.0,0.0,-167.3,482.6,-880.9,125.98
2025-09-08 19:49:19.980,-0.007,-0.036,1.001,0.0,-0.0,0.0,-167.6,479.6,-875.3,126.98
2025-09-08 19:49:19.992,-0.008,-0.034,1.007,0.0,-0.0,0.0,-170.0,478.9,-880.2,126.35
2025-09-08 19:49:20.003,-0.007,-0.035,1.011,0.0,-0.0,0.0,-168.7,475.3,-872.9,126.89
2025-09-08 19:49:20.013,-0.007,-0.034,1.007,0.0,-0.0,0.0,-168.1,478.8,-874.7,126.99
2025-09-08 19:49:20.024,-0.008,-0.035,1.004,0.0,-0.0,0.0,-168.6,481.0,-877.9,126.59
2025-09-08 19:49:20.035,-0.009,-0.036,0.992,0.0,-0.0,0.0,-166.7,482.2,-876.5,126.35
2025-09-08 19:49:20.048,-0.008,-0.035,0.997,0.0,-0.0,0.0,-166.7,482.2,-873.9,126.95
2025-09-08 19:49:20.057,-0.008,-0.036,1.008,0.0,-0.0,0.0,-168.3,478.0,-873.9,126.63
2025-09-08 19:49:20.069,-0.009,-0.034,1.01,0.0,-0.0,0.0,-173.9,480.6,-876.7,126.64
2025-09-08 19:49:20.080,-0.007,-0.036,1.0,0.0,-0.0,0.0,-168.6,478.4,-879.3,125.91
2025-09-08 19:49:20.090,-0.007,-0.035,1.0,0.0,-0.0,0.0,-170.5,480.8,-878.2,126.66
2025-09-08 19:49:20.101,-0.009,-0.036,1.001,0.0,-0.0,0.0,-169.4,482.2,-885.2,126.29
2025-09-08 19:49:20.112,-0.007,-0.035,1.006,0.0,-0.0,0.0,-169.8,478.5,-876.1,125.97
2025-09-08 19:49:20.123,-0.007,-0.034,1.007,0.0,-0.0,0.0,-169.8,481.9,-876.8,126.16
2025-09-08 19:49:20.134,-0.008,-0.036,1.003,0.0,-0.0,0.0,-174.7,481.9,-876.8,126.57
2025-09-08 19:49:20.146,-0.008,-0.036,1.0,0.0,-0.0,0.0,-169.4,479.1,-882.4,126.88
2025-09-08 19:49:20.156,-0.007,-0.035,1.002,0.0,-0.0,0.0,-168.8,479.1,-882.1,126.76
2025-09-08 19:49:20.168,-0.007,-0.035,1.006,0.0,-0.0,0.0,-168.6,480.3,-877.2,126.73
2025-09-08 19:49:20.179,-0.008,-0.036,1.005,0.0,-0.0,0.0,-170.9,476.7,-875.7,126.05
2025-09-08 19:49:20.190,-0.009,-0.036,1.004,0.0,-0.0,0.0,-168.1,475.9,-877.0,126.16
