timestamp,acc_x_cal,acc_y_cal,acc_z_cal,gyro_x_cal,gyro_y_cal,gyro_z_cal,mag_x_cal,mag_y_cal,mag_z_cal,altitude,relative_altitude
201125_15.30.03.018,-0.019832,-0.008167,1.005395,0.032390,-0.038000,0.026380,-0.345676,-0.423682,-0.337047,188.20000,0.00000
201125_15.30.03.029,-0.018832,-0.006165,1.004398,0.015390,-0.021000,0.009380,-0.346007,-0.425547,-0.351570,188.64000,0.44000
201125_15.30.03.041,-0.019841,-0.006154,1.005407,0.032390,-0.021000,0.009380,-0.345477,-0.423684,-0.328748,188.49000,-0.15000
201125_15.30.03.052,-0.019826,-0.006166,1.003405,0.032390,-0.021000,0.026380,-0.349445,-0.423647,-0.335072,188.68000,0.19000
201125_15.30.03.064,-0.019844,-0.007155,1.006402,0.015390,-0.021000,0.026380,-0.355259,-0.419854,-0.337297,188.74000,0.06000
201125_15.30.03.075,-0.017825,-0.007176,1.004385,0.015390,-0.003000,0.009380,-0.353274,-0.432957,-0.339318,188.81000,0.07000
201125_15.30.03.087,-0.019852,-0.007149,1.007403,0.032390,-0.038000,0.009380,-0.348034,-0.423659,-0.355770,188.70000,-0.11000
201125_15.30.03.098,-0.018842,-0.007159,1.006395,-0.001610,-0.003000,0.026380,-0.355255,-0.425461,-0.339370,188.22000,-0.48000
201125_15.30.03.109,-0.019849,-0.006148,1.006408,0.015390,-0.003000,0.009380,-0.351269,-0.427368,-0.333046,188.60000,0.38000
201125_15.30.03.120,-0.019817,-0.008179,1.003393,0.032390,-0.021000,0.026380,-0.349441,-0.429254,-0.337145,188.56000,-0.04000
201125_15.30.03.131,-0.019829,-0.007167,1.004400,0.015390,-0.021000,0.026380,-0.355291,-0.421723,-0.339371,188.47000,-0.09000
201125_15.30.03.143,-0.017840,-0.007164,1.006387,0.032390,-0.021000,0.009380,-0.355173,-0.423593,-0.335221,188.39000,-0.08000
201125_15.30.03.154,-0.020846,-0.007150,1.006410,0.015390,-0.038000,0.026380,-0.351522,-0.421758,-0.341347,188.16000,-0.23000
201125_15.30.03.165,-0.020831,-0.007162,1.004407,0.032390,-0.003000,0.026380,-0.357015,-0.425445,-0.333196,187.89000,-0.27000
201125_15.30.03.176,-0.019834,-0.006160,1.004406,0.032390,-0.003000,0.026380,-0.355070,-0.429202,-0.333145,188.69000,0.80000
