timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
271125_15.02.47.799,0.02300,-0.05300,0.99400,0.08700,-0.12300,-0.05300,-0.64700,0.34300,-0.40700,216.49000,0.00000
271125_15.02.47.811,0.02200,-0.05400,0.99400,0.07000,-0.07000,-0.05300,-0.64700,0.34600,-0.40700,216.71000,0.22000
271125_15.02.47.823,0.02300,-0.05400,0.99100,0.03500,-0.08700,-0.05300,-0.64700,0.34600,-0.41400,216.74000,0.03000
271125_15.02.47.834,0.02200,-0.05400,0.99200,0.07000,-0.12300,-0.05300,-0.64300,0.34700,-0.41100,216.61000,-0.13000
271125_15.02.47.846,0.02200,-0.05200,0.99300,0.07000,-0.12300,-0.05300,-0.64300,0.34700,-0.41100,216.19000,-0.42000
271125_15.02.47.857,0.02300,-0.05400,0.99200,0.05300,-0.12300,-0.03500,-0.64800,0.34600,-0.41000,216.51000,0.32000
271125_15.02.47.869,0.02300,-0.05400,0.99400,0.03500,-0.08700,-0.03500,-0.64400,0.34800,-0.41500,217.17000,0.66000
271125_15.02.47.880,0.02300,-0.05300,0.99200,0.01800,-0.08700,-0.03500,-0.64600,0.34700,-0.41300,217.03000,-0.14000
271125_15.02.47.892,0.02100,-0.05400,0.99200,0.03500,-0.10500,-0.05300,-0.64800,0.34800,-0.41000,216.78000,-0.25000
271125_15.02.47.904,0.02300,-0.05300,0.99200,0.08700,-0.12300,-0.03500,-0.64800,0.34800,-0.41000,216.84000,0.06000
271125_15.02.47.915,0.02200,-0.05400,0.99200,0.08700,-0.14000,-0.05300,-0.64800,0.35000,-0.40900,216.75000,-0.09000
271125_15.02.47.927,0.02300,-0.05300,0.99100,0.07000,-0.12300,-0.03500,-0.64700,0.34900,-0.41000,216.70000,-0.05000
271125_15.02.47.939,0.02200,-0.05300,0.99400,0.07000,-0.10500,-0.05300,-0.64800,0.34800,-0.41300,216.78000,0.08000
271125_15.02.47.950,0.02200,-0.05400,0.99300,0.07000,-0.10500,-0.05300,-0.64800,0.34800,-0.41300,216.53000,-0.25000
271125_15.02.47.961,0.02200,-0.05300,0.99200,0.07000,-0.12300,-0.05300,-0.64800,0.34900,-0.41500,216.79000,0.26000
271125_15.02.47.973,0.02300,-0.05400,0.99200,0.07000,-0.12300,-0.05300,-0.64700,0.34700,-0.40700,216.78000,-0.01000
