mx,my,mz
-0.493,0.919,-0.809
-0.5,0.924,-0.807
-0.505,0.929,-0.806
-0.51,0.923,-0.804
-0.51,0.923,-0.804
-0.512,0.925,-0.802
-0.521,0.923,-0.81
-0.524,0.923,-0.813
-0.531,0.915,-0.823
-0.531,0.915,-0.823
-0.525,0.909,-0.835
-0.533,0.906,-0.841
-0.537,0.902,-0.856
-0.534,0.9,-0.863
-0.534,0.9,-0.863
-0.534,0.895,-0.872
-0.536,0.888,-0.879
-0.528,0.885,-0.891
-0.527,0.888,-0.892
-0.527,0.888,-0.892
-0.523,0.881,-0.904
-0.52,0.875,-0.916
-0.514,0.872,-0.918
-0.516,0.866,-0.923
-0.516,0.866,-0.923
-0.505,0.86,-0.926
-0.502,0.858,-0.934
-0.49,0.854,-0.941
-0.487,0.849,-0.956
-0.487,0.849,-0.956
-0.475,0.84,-0.968
-0.468,0.834,-0.97
-0.456,0.826,-0.981
-0.45,0.819,-0.999
-0.45,0.819,-0.999
-0.432,0.807,-1.022
-0.417,0.792,-1.036
-0.393,0.784,-1.054
-0.366,0.772,-1.067
-0.366,0.772,-1.067
-0.352,0.758,-1.077
-0.329,0.752,-1.092
-0.302,0.746,-1.095
-0.281,0.742,-1.103
-0.281,0.742,-1.103
-0.255,0.738,-1.104
-0.233,0.733,-1.096
-0.205,0.732,-1.099
-0.173,0.735,-1.093
-0.173,0.735,-1.093
-0.146,0.739,-1.082
-0.117,0.748,-1.071
-0.098,0.744,-1.061
-0.076,0.736,-1.045
-0.076,0.736,-1.045
-0.064,0.733,-1.03
-0.051,0.718,-1.013
-0.047,0.7,-1.005
-0.043,0.683,-0.994
-0.043,0.683,-0.994
-0.049,0.66,-0.986
-0.047,0.656,-0.969
-0.035,0.656,-0.969
-0.012,0.655,-0.968
-0.012,0.655,-0.968
0.023,0.663,-0.953
0.055,0.676,-0.937
0.081,0.678,-0.908
0.103,0.687,-0.88
0.103,0.687,-0.88
0.113,0.687,-0.851
0.124,0.678,-0.821
0.131,0.681,-0.788
0.135,0.665,-0.751
0.135,0.665,-0.751
0.145,0.664,-0.714
0.146,0.662,-0.674
0.133,0.65,-0.641
0.126,0.645,-0.613
0.126,0.645,-0.613
0.103,0.644,-0.588
0.084,0.639,-0.588
0.069,0.635,-0.584
0.048,0.633,-0.588
0.048,0.633,-0.588
0.042,0.621,-0.585
0.038,0.623,-0.58
0.033,0.615,-0.588
0.043,0.607,-0.599
0.043,0.607,-0.599
0.05,0.609,-0.597
0.058,0.593,-0.612
0.069,0.572,-0.616
0.074,0.566,-0.621
0.074,0.566,-0.621
0.083,0.55,-0.603
0.089,0.536,-0.596
0.095,0.513,-0.583
0.1,0.489,-0.561
0.1,0.489,-0.561
0.104,0.473,-0.534
0.109,0.446,-0.508
0.113,0.427,-0.478
0.111,0.41,-0.443
0.111,0.41,-0.443
0.115,0.395,-0.403
0.107,0.391,-0.365
0.094,0.387,-0.314
0.085,0.401,-0.275
0.085,0.401,-0.275
0.062,0.416,-0.234
0.037,0.437,-0.194
0.01,0.463,-0.164
-0.028,0.497,-0.143
-0.028,0.497,-0.143
-0.06,0.527,-0.119
-0.098,0.561,-0.116
-0.133,0.596,-0.108
-0.169,0.63,-0.1
-0.169,0.63,-0.1
-0.204,0.665,-0.111
-0.239,0.701,-0.108
-0.286,0.742,-0.114
-0.333,0.772,-0.119
-0.333,0.772,-0.119
-0.373,0.804,-0.126
-0.412,0.83,-0.145
-0.448,0.862,-0.162
-0.489,0.886,-0.182
-0.489,0.886,-0.182
-0.524,0.914,-0.205
-0.569,0.945,-0.232
-0.6,0.969,-0.254
-0.638,0.997,-0.283
-0.638,0.997,-0.283
-0.665,1.012,-0.322
-0.693,1.024,-0.348
-0.726,1.032,-0.374
-0.764,1.041,-0.411
-0.764,1.041,-0.411
-0.794,1.039,-0.443
-0.833,1.037,-0.466
-0.871,1.031,-0.49
-0.912,1.012,-0.521
-0.912,1.012,-0.521
-0.948,0.991,-0.546
-0.977,0.97,-0.566
-0.997,0.934,-0.587
-1.019,0.898,-0.61
-1.019,0.898,-0.61
-1.032,0.855,-0.623
-1.039,0.809,-0.645
-1.04,0.765,-0.646
-1.035,0.719,-0.662
-1.035,0.719,-0.662
-1.028,0.667,-0.657
-1.017,0.614,-0.651
-0.999,0.57,-0.64
-0.983,0.536,-0.606
-0.983,0.536,-0.606
-0.975,0.514,-0.585
-0.962,0.497,-0.563
-0.945,0.479,-0.544
-0.923,0.459,-0.532
-0.923,0.459,-0.532
-0.905,0.446,-0.509
-0.88,0.432,-0.488
-0.853,0.424,-0.457
-0.827,0.412,-0.426
-0.827,0.412,-0.426
-0.808,0.404,-0.391
-0.779,0.399,-0.347
-0.748,0.396,-0.311
-0.721,0.4,-0.282
-0.721,0.4,-0.282
-0.683,0.409,-0.248
-0.65,0.421,-0.216
-0.617,0.434,-0.189
-0.576,0.447,-0.167
-0.576,0.447,-0.167
-0.537,0.459,-0.148
-0.492,0.475,-0.141
-0.452,0.493,-0.127
-0.416,0.51,-0.131
-0.416,0.51,-0.131
-0.378,0.525,-0.126
-0.338,0.532,-0.121
-0.295,0.538,-0.123
-0.263,0.557,-0.132
-0.263,0.557,-0.132
-0.24,0.574,-0.137
-0.218,0.591,-0.159
-0.197,0.613,-0.165
-0.179,0.631,-0.181
-0.179,0.631,-0.181
-0.167,0.648,-0.202
-0.155,0.664,-0.226
-0.143,0.679,-0.242
-0.143,0.693,-0.258
-0.143,0.693,-0.258
-0.149,0.702,-0.27
-0.162,0.718,-0.28
-0.172,0.729,-0.289
-0.182,0.74,-0.299
-0.182,0.74,-0.299
-0.197,0.752,-0.315
-0.204,0.76,-0.329
-0.217,0.765,-0.343
-0.238,0.766,-0.352
-0.238,0.766,-0.352
-0.26,0.769,-0.359
-0.287,0.77,-0.364
-0.301,0.766,-0.374
-0.322,0.767,-0.383
-0.322,0.767,-0.383
-0.337,0.763,-0.386
-0.362,0.759,-0.395
-0.388,0.749,-0.399
-0.412,0.743,-0.407
-0.412,0.743,-0.407
-0.438,0.728,-0.411
-0.464,0.715,-0.411
-0.485,0.702,-0.405
-0.511,0.681,-0.409
-0.511,0.681,-0.409
-0.535,0.665,-0.408
-0.556,0.645,-0.408
-0.579,0.628,-0.404
-0.593,0.606,-0.4
-0.593,0.606,-0.4
-0.614,0.592,-0.394
-0.628,0.577,-0.381
-0.641,0.56,-0.368
-0.66,0.55,-0.364
-0.66,0.55,-0.364
-0.673,0.542,-0.354
-0.681,0.535,-0.353
-0.697,0.531,-0.354
-0.71,0.526,-0.357
-0.71,0.526,-0.349
-0.718,0.521,-0.349
-0.735,0.523,-0.358
-0.75,0.529,-0.362
-0.767,0.539,-0.374
-0.767,0.539,-0.385
-0.784,0.543,-0.385
-0.799,0.554,-0.394
-0.807,0.563,-0.401
-0.817,0.583,-0.405
-0.817,0.583,-0.429
-0.827,0.593,-0.429
-0.831,0.609,-0.452
-0.831,0.624,-0.482
-0.836,0.631,-0.52
-0.836,0.631,-0.556
-0.833,0.645,-0.556
-0.824,0.659,-0.594
-0.812,0.677,-0.636
-0.786,0.691,-0.665
-0.786,0.691,-0.717
-0.76,0.7,-0.717
-0.73,0.709,-0.751
-0.686,0.717,-0.795
-0.645,0.715,-0.829
-0.645,0.715,-0.864
-0.595,0.714,-0.864
-0.545,0.708,-0.893
