ax,ay,az
-0.047,0.005,1.0
-0.04,-0.003,0.996
-0.032,0.003,1.005
-0.04,0.002,1.001
-0.043,0.006,1.007
-0.046,-0.004,0.993
-0.041,0.002,1.008
-0.035,-0.001,0.997
-0.034,0.007,1.007
-0.045,-0.004,0.997
-0.047,0.001,0.995
-0.037,0.005,1.006
-0.037,0.002,1.003
-0.039,0.003,1.007
-0.043,-0.006,0.989
-0.048,0.003,1.007
-0.029,0.006,1.003
-0.035,0.007,1.006
-0.048,-0.008,0.991
-0.046,0.004,1.002
-0.025,0.007,1.002
-0.04,-0.001,1.011
-0.049,0.005,1.001
-0.048,-0.004,0.994
-0.039,0.008,1.005
-0.023,0.987,-0.019
-0.024,0.971,-0.018
-0.014,0.971,-0.016
-0.015,0.987,-0.022
-0.018,0.986,-0.024
-0.02,0.973,-0.018
-0.024,0.975,-0.016
-0.016,0.981,-0.022
-0.021,0.982,-0.019
-0.015,0.985,-0.022
-0.022,0.972,-0.01
-0.024,0.977,-0.021
-0.017,0.982,-0.022
-0.018,0.973,-0.021
-0.015,0.984,-0.025
-0.024,0.972,-0.019
-0.015,0.978,-0.023
-0.019,0.98,-0.017
-0.021,0.982,-0.021
-0.024,0.967,-0.011
-0.024,0.981,-0.023
-0.007,0.974,-0.023
-0.019,0.979,-0.015
-0.023,0.982,-0.025
-0.025,0.969,-0.011
-0.013,0.026,-1.001
0.005,0.034,-0.987
-0.003,0.025,-0.985
-0.011,0.01,-1.007
-0.003,0.005,-0.981
-0.008,0.026,-1.006
-0.001,0.027,-0.992
-0.03,0.009,-0.996
-0.004,0.015,-0.993
-0.008,0.024,-1.002
0.004,0.02,-0.985
-0.001,0.029,-0.993
-0.014,0.011,-0.998
0.002,0.017,-0.988
-0.011,0.025,-0.995
0.001,0.022,-0.99
-0.003,0.019,-0.992
-0.012,0.007,-0.996
-0.002,0.032,-0.995
0.003,0.027,-0.98
-0.004,0.021,-0.997
-0.013,0.002,-1.0
-0.007,0.004,-0.989
0.001,0.033,-0.997
-0.004,0.026,-0.981
0.012,-1.003,0.038
-0.008,-0.998,0.022
0.055,-1.017,0.035
0.061,-1.018,0.039
0.034,-1.014,0.029
0.021,-1.006,0.023
0.026,-1.01,0.031
0.034,-1.012,0.042
0.039,-1.014,0.033
0.023,-1.009,0.027
0.025,-1.007,0.03
0.029,-1.015,0.029
0.026,-1.01,0.035
0.03,-1.012,0.03
0.03,-1.01,0.032
0.03,-1.013,0.031
0.028,-1.011,0.033
0.033,-1.011,0.034
0.029,-1.011,0.03
0.02,-1.008,0.034
0.028,-1.01,0.035
0.024,-1.011,0.033
0.031,-1.01,0.036
0.031,-1.01,0.034
0.037,-1.012,0.034
0.987,-0.041,0.06
0.993,-0.048,0.07
0.993,-0.022,0.079
0.998,-0.028,0.076
0.99,-0.043,0.079
0.995,-0.043,0.071
0.991,-0.043,0.066
0.998,-0.027,0.081
1.0,-0.042,0.065
0.989,-0.037,0.073
0.997,-0.037,0.073
0.994,-0.029,0.079
0.996,-0.033,0.075
0.995,-0.04,0.077
0.995,-0.032,0.074
0.995,-0.039,0.066
0.993,-0.041,0.076
0.994,-0.03,0.072
0.995,-0.036,0.075
0.992,-0.031,0.078
0.997,-0.043,0.071
0.989,-0.034,0.075
0.996,-0.03,0.072
0.994,-0.035,0.075
0.993,-0.036,0.071
-1.0,-0.014,0.01
-0.996,-0.005,0.01
-0.998,-0.009,0.017
-1.001,-0.015,0.012
-0.972,-0.01,0.013
-1.003,-0.001,0.013
-0.992,-0.013,0.017
-1.003,-0.011,0.011
-0.997,-0.004,0.012
-1.0,-0.007,0.012
-0.999,-0.01,0.013
-0.996,-0.012,0.014
-1.0,-0.007,0.012
-0.995,-0.004,0.012
-1.0,-0.008,0.015
-1.004,-0.005,0.012
-0.997,-0.011,0.014
-1.002,-0.002,0.015
-0.994,-0.01,0.016
-1.001,-0.013,0.007
-0.997,-0.003,0.014
-0.998,-0.008,0.017
-1.002,-0.008,0.013
-0.995,-0.01,0.015
-1.003,-0.005,0.01
