timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_03.24.11.886,-0.17100,-0.51800,0.71500,6.42300,0.91000,-5.68700,0.11700,0.60600,-0.43800,83.67000,0.00000
041225_03.24.11.898,-0.10300,-0.56000,0.70600,6.35200,13.51000,1.31200,0.11700,0.60600,-0.43800,83.75000,0.08000
041225_03.24.11.910,-0.13900,-0.66500,0.64700,9.39800,22.96000,4.30500,0.11800,0.60500,-0.43200,83.70000,-0.05000
041225_03.24.11.921,-0.20800,-0.77800,0.57100,14.56000,34.21300,5.30300,0.12000,0.60600,-0.43100,83.51000,-0.19000
041225_03.24.11.932,-0.21400,-0.69800,0.50600,18.97000,49.73500,4.13000,0.11800,0.60500,-0.42100,82.92000,-0.59000
041225_03.24.11.944,-0.16800,-0.54300,0.51100,30.24000,64.69800,-0.87500,0.11800,0.60500,-0.42100,84.00000,1.08000
041225_03.24.11.955,-0.13200,-0.50400,0.72500,55.56300,79.87000,-27.47500,0.11100,0.60900,-0.41900,82.93000,-1.07000
041225_03.24.11.967,-0.13800,-0.52600,0.71500,95.18300,91.96300,-42.98000,0.10800,0.61800,-0.41100,83.63000,0.70000
041225_03.24.11.978,-0.22100,-0.67700,0.82200,123.67300,63.35000,-58.18800,0.09800,0.64100,-0.41000,83.25000,-0.38000
041225_03.24.11.990,0.01700,-0.45300,0.79800,139.42300,24.62200,-58.25700,0.08900,0.65200,-0.42300,83.20000,-0.05000
041225_03.24.12.001,0.09800,-0.41700,0.81000,141.89000,2.08200,-33.40800,0.08900,0.65200,-0.42300,83.03000,-0.17000
041225_03.24.12.013,-0.08500,-0.56600,0.80000,124.09200,9.55500,-4.14800,0.09100,0.65200,-0.43100,83.46000,0.43000
041225_03.24.12.024,-0.03900,-0.68400,0.96800,95.83000,16.18700,15.87300,0.09300,0.65100,-0.45000,83.32000,-0.14000
041225_03.24.12.036,-0.07800,-0.60500,0.85600,67.67300,9.94000,30.55500,0.09700,0.64400,-0.45800,83.59000,0.27000
041225_03.24.12.047,-0.09200,-0.36900,0.84600,44.13500,8.03300,48.89500,0.10600,0.62600,-0.45300,83.62000,0.03000
041225_03.24.12.059,-0.00600,-0.16700,0.78500,29.76700,9.27500,72.66000,0.10600,0.62600,-0.45300,82.95000,-0.67000
041225_03.24.12.070,0.00300,-0.13400,0.84000,29.99500,16.01300,94.51800,0.11700,0.61300,-0.45500,83.77000,0.82000
041225_03.24.12.082,-0.08000,-0.18800,0.86800,39.16500,23.87000,108.60500,0.13100,0.58700,-0.45900,83.22000,-0.55000
041225_03.24.12.094,-0.24000,-0.35600,0.93100,47.91500,33.00500,112.57700,0.14500,0.56600,-0.45400,83.87000,0.65000
041225_03.24.12.106,-0.39800,-0.42600,0.95900,42.47200,38.50000,102.58500,0.14500,0.56600,-0.45400,83.19000,-0.68000
