timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_04.33.19.101,-0.02100,-0.00300,1.00200,0.08700,-0.14000,-0.01800,0.54400,0.45800,-1.31000,79.72000,0.00000
041225_04.33.19.113,-0.02200,-0.00300,1.00300,0.10500,-0.17500,0.01800,0.55200,0.45800,-1.31000,79.33000,-0.39000
041225_04.33.19.125,-0.02200,-0.00200,1.00400,0.12300,-0.15700,0.00000,0.55100,0.45900,-1.30900,79.75000,0.42000
041225_04.33.19.136,-0.02000,-0.00300,1.00000,0.10500,-0.12300,-0.03500,0.54900,0.45900,-1.31800,79.55000,-0.20000
041225_04.33.19.148,-0.02200,-0.00200,1.00300,0.10500,-0.12300,-0.01800,0.55100,0.45800,-1.31100,80.17000,0.62000
041225_04.33.19.160,-0.02100,-0.00200,1.00200,0.10500,-0.12300,-0.01800,0.55100,0.45800,-1.31100,79.63000,-0.54000
041225_04.33.19.171,-0.02000,-0.00100,1.00100,0.08700,-0.12300,-0.01800,0.55300,0.45700,-1.30900,78.92000,-0.71000
041225_04.33.19.183,-0.02100,-0.00200,1.00400,0.10500,-0.10500,-0.03500,0.55600,0.45800,-1.31000,79.18000,0.26000
041225_04.33.19.194,-0.02100,-0.00300,1.00000,0.08700,-0.10500,-0.03500,0.56100,0.45800,-1.31400,79.64000,0.46000
041225_04.33.19.206,-0.02200,-0.00300,1.00200,0.08700,-0.08700,-0.03500,0.56100,0.45700,-1.31800,79.07000,-0.57000
041225_04.33.19.218,-0.02300,-0.00200,1.00100,0.10500,-0.10500,-0.03500,0.56100,0.45700,-1.31800,80.07000,1.00000
041225_04.33.19.230,-0.02100,-0.00200,0.99900,0.07000,-0.10500,-0.03500,0.56500,0.45600,-1.31500,80.03000,-0.04000
041225_04.33.19.242,-0.02100,-0.00100,1.00200,0.08700,-0.08700,-0.01800,0.56600,0.45700,-1.31700,80.19000,0.16000
041225_04.33.19.254,-0.02100,-0.00400,0.99900,0.08700,-0.10500,-0.05300,0.56500,0.45900,-1.32400,80.00000,-0.19000
041225_04.33.19.265,-0.02200,-0.00300,1.00000,0.10500,-0.14000,-0.03500,0.56500,0.45900,-1.32400,79.69000,-0.31000
041225_04.33.19.277,-0.02200,-0.00400,0.99900,0.10500,-0.14000,-0.03500,0.55800,0.45700,-1.32100,78.93000,-0.76000
041225_04.33.19.289,-0.02300,-0.00400,1.00100,0.08700,-0.15700,-0.03500,0.56100,0.45300,-1.31200,79.76000,0.83000
041225_04.33.19.300,-0.02200,-0.00300,1.00100,0.10500,-0.14000,-0.03500,0.55600,0.45400,-1.31800,79.28000,-0.48000
041225_04.33.19.312,-0.02200,-0.00400,1.00100,0.08700,-0.15700,-0.03500,0.56000,0.45900,-1.31300,80.01000,0.73000
