ax,ay,az
-0.041,-0.001,1.005
-0.037,0.007,1.002
-0.034,0.0,1.008
-0.037,0.001,0.999
-0.033,0.003,1.006
-0.041,0.001,1.003
-0.049,0.004,1.0
-0.043,0.001,1.003
-0.037,0.0,0.998
-0.036,0.005,1.004
-0.04,-0.001,0.999
-0.05,0.004,1.005
-0.039,0.004,0.999
-0.036,0.005,1.001
-0.039,0.0,1.002
-0.045,0.003,1.001
-0.035,0.003,0.999
-0.042,0.001,1.005
-0.041,0.004,0.998
-0.04,0.001,1.005
-0.039,0.004,0.995
-0.037,0.003,1.005
-0.042,-0.001,1.001
-0.045,0.004,1.003
-0.038,0.004,0.997
-0.023,0.979,-0.008
-0.022,0.981,-0.015
-0.017,0.971,-0.014
-0.016,0.982,-0.016
-0.018,0.977,-0.011
-0.027,0.978,-0.018
-0.02,0.976,-0.017
-0.022,0.979,-0.013
-0.022,0.978,-0.019
-0.021,0.976,-0.012
-0.024,0.982,-0.018
-0.013,0.973,-0.016
-0.023,0.981,-0.011
-0.023,0.971,-0.018
-0.017,0.974,-0.018
-0.018,0.979,-0.017
-0.025,0.977,-0.013
-0.027,0.978,-0.015
-0.018,0.977,-0.017
-0.019,0.976,-0.013
-0.022,0.977,-0.016
-0.022,0.975,-0.013
-0.025,0.98,-0.017
-0.013,0.973,-0.017
-0.021,0.981,-0.013
-0.007,0.014,-0.995
-0.011,0.004,-0.99
-0.003,0.014,-0.999
-0.012,0.018,-0.989
-0.006,0.012,-0.995
-0.007,0.006,-0.987
-0.009,0.008,-0.995
-0.009,0.015,-0.992
-0.008,0.006,-0.995
-0.006,0.01,-0.991
-0.009,0.015,-0.995
-0.007,0.013,-0.991
-0.006,0.014,-0.993
-0.01,0.006,-0.991
-0.005,0.014,-0.996
-0.01,0.015,-0.993
-0.005,0.009,-0.993
-0.005,0.011,-0.992
-0.009,0.014,-0.993
-0.004,0.015,-0.989
-0.006,0.005,-0.994
-0.007,0.011,-0.991
-0.008,0.014,-0.996
-0.006,0.01,-0.989
-0.005,0.013,-0.995
0.03,-1.012,0.03
0.028,-1.009,0.036
0.033,-1.013,0.036
0.028,-1.009,0.03
0.025,-1.011,0.032
0.032,-1.01,0.032
0.034,-1.011,0.032
0.041,-1.016,0.007
0.021,-1.007,0.036
0.03,-1.009,0.034
0.029,-1.009,0.03
0.033,-1.01,0.034
0.036,-1.012,0.03
0.031,-1.01,0.036
0.034,-1.01,0.035
0.027,-1.01,0.033
0.028,-1.01,0.035
0.034,-1.011,0.03
0.03,-1.01,0.03
0.035,-1.011,0.035
0.032,-1.012,0.036
0.037,-1.012,0.034
0.03,-1.011,0.029
0.031,-1.01,0.034
0.032,-1.012,0.029
0.995,0.009,0.011
0.997,0.014,0.016
0.992,0.01,0.01
0.998,0.011,0.019
0.995,0.006,0.01
0.998,0.007,0.013
0.993,0.01,0.009
0.996,0.013,0.018
0.993,0.014,0.015
0.998,0.009,0.012
0.995,0.005,0.013
0.997,0.016,0.015
0.997,0.011,0.014
0.997,0.014,0.014
0.996,0.009,0.011
0.996,0.008,0.014
0.998,0.017,0.012
0.999,0.009,0.014
0.994,0.008,0.01
1.0,0.013,0.016
0.994,0.014,0.015
0.997,0.008,0.014
0.997,0.005,0.015
0.997,0.014,0.016
0.996,0.01,0.014
-0.996,-0.056,-0.002
-1.001,-0.053,-0.009
-0.999,-0.052,-0.0
-0.999,-0.057,-0.0
-0.997,-0.052,-0.007
-1.001,-0.057,-0.004
-0.998,-0.055,-0.008
-1.002,-0.052,0.002
-0.995,-0.059,-0.004
-0.998,-0.053,-0.008
-0.997,-0.055,-0.005
-0.999,-0.056,-0.005
-0.996,-0.056,-0.007
-0.999,-0.053,-0.008
-0.998,-0.055,0.0
-0.998,-0.056,0.002
-0.995,-0.053,-0.006
-1.0,-0.056,-0.005
-0.998,-0.055,-0.008
-1.0,-0.054,0.0
-0.995,-0.057,-0.006
-0.995,-0.053,-0.009
-1.001,-0.054,-0.002
-0.997,-0.056,-0.003
-1.001,-0.053,-0.003
