mx,my,mz
-0.512,0.413,-0.72
-0.523,0.429,-0.711
-0.523,0.442,-0.716
-0.522,0.444,-0.713
-0.518,0.453,-0.714
-0.518,0.453,-0.714
-0.52,0.456,-0.708
-0.512,0.453,-0.704
-0.51,0.459,-0.714
-0.506,0.454,-0.715
-0.506,0.454,-0.715
-0.498,0.455,-0.711
-0.499,0.462,-0.717
-0.504,0.455,-0.713
-0.501,0.455,-0.707
-0.501,0.455,-0.707
-0.501,0.46,-0.716
-0.492,0.44,-0.709
-0.493,0.437,-0.721
-0.494,0.443,-0.716
-0.494,0.443,-0.716
-0.494,0.417,-0.713
-0.489,0.428,-0.72
-0.496,0.423,-0.713
-0.494,0.414,-0.714
-0.494,0.414,-0.714
-0.501,0.424,-0.72
-0.496,0.421,-0.724
-0.485,0.418,-0.713
-0.489,0.428,-0.722
-0.489,0.428,-0.722
-0.483,0.422,-0.716
-0.485,0.423,-0.723
-0.494,0.431,-0.718
-0.486,0.431,-0.717
-0.486,0.431,-0.717
-0.489,0.431,-0.721
-0.494,0.428,-0.724
-0.489,0.432,-0.718
-0.5,0.443,-0.717
-0.5,0.443,-0.717
-0.502,0.447,-0.714
-0.502,0.464,-0.713
-0.514,0.48,-0.711
-0.521,0.484,-0.704
-0.521,0.484,-0.704
-0.524,0.497,-0.7
-0.534,0.503,-0.702
-0.533,0.51,-0.691
-0.536,0.52,-0.701
-0.536,0.52,-0.701
-0.539,0.528,-0.7
-0.537,0.539,-0.695
-0.543,0.555,-0.688
-0.544,0.564,-0.684
-0.544,0.564,-0.684
-0.551,0.577,-0.681
-0.559,0.585,-0.675
-0.57,0.588,-0.664
-0.571,0.595,-0.667
-0.571,0.595,-0.667
-0.587,0.601,-0.659
-0.592,0.611,-0.648
-0.602,0.629,-0.632
-0.603,0.654,-0.62
-0.603,0.654,-0.62
-0.603,0.683,-0.608
-0.595,0.709,-0.588
-0.595,0.737,-0.565
-0.586,0.762,-0.547
-0.586,0.762,-0.547
-0.578,0.782,-0.533
-0.576,0.798,-0.497
-0.574,0.817,-0.459
-0.567,0.843,-0.428
-0.567,0.843,-0.428
-0.548,0.86,-0.39
-0.523,0.881,-0.348
-0.501,0.9,-0.315
-0.476,0.914,-0.274
-0.476,0.914,-0.274
-0.453,0.925,-0.234
-0.445,0.935,-0.195
-0.426,0.936,-0.155
-0.405,0.932,-0.111
-0.405,0.932,-0.111
-0.386,0.928,-0.078
-0.363,0.917,-0.032
-0.339,0.911,0.007
-0.32,0.906,0.04
-0.32,0.906,0.04
-0.299,0.9,0.078
-0.285,0.889,0.116
-0.267,0.877,0.15
-0.239,0.864,0.185
-0.239,0.864,0.185
-0.214,0.843,0.211
