timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_04.31.57.424,-0.03900,0.00000,0.99600,0.08700,-0.10500,-0.01800,0.56600,0.48700,-1.31900,78.91000,0.00000
041225_04.31.57.436,-0.04200,-0.00400,1.00800,0.05300,-0.15700,-0.01800,0.57100,0.48800,-1.31900,80.06000,1.15000
041225_04.31.57.448,-0.03700,-0.00500,1.00000,0.08700,-0.10500,-0.03500,0.56900,0.48800,-1.33100,79.32000,-0.74000
041225_04.31.57.459,-0.04000,-0.00000,0.99800,0.10500,-0.07000,-0.01800,0.56600,0.48800,-1.32400,80.17000,0.85000
041225_04.31.57.471,-0.04000,-0.00200,1.00700,0.10500,-0.10500,-0.01800,0.56600,0.48800,-1.32400,78.95000,-1.22000
041225_04.31.57.482,-0.04000,-0.00100,0.99400,0.07000,-0.10500,-0.01800,0.56600,0.48500,-1.32300,79.33000,0.38000
041225_04.31.57.494,-0.04200,-0.00500,1.00700,0.05300,-0.12300,0.00000,0.58000,0.48900,-1.32000,79.16000,-0.17000
041225_04.31.57.505,-0.03500,-0.00300,0.99800,0.12300,-0.08700,-0.01800,0.57700,0.48400,-1.32700,79.23000,0.07000
041225_04.31.57.517,-0.04100,0.00100,1.00100,0.10500,-0.10500,-0.03500,0.57700,0.48400,-1.32700,79.18000,-0.05000
041225_04.31.57.528,-0.03900,0.00000,1.00700,0.10500,-0.12300,-0.01800,0.58100,0.48500,-1.32200,79.58000,0.40000
041225_04.31.57.539,-0.04000,0.00100,0.99400,0.07000,-0.10500,-0.01800,0.58500,0.48600,-1.32300,79.34000,-0.24000
041225_04.31.57.551,-0.04300,-0.00300,1.00600,0.12300,-0.10500,-0.01800,0.58700,0.48900,-1.32100,79.85000,0.51000
041225_04.31.57.562,-0.03600,-0.00200,1.00100,0.10500,-0.12300,0.00000,0.58900,0.48700,-1.32400,79.83000,-0.02000
041225_04.31.57.574,-0.04000,-0.00200,1.00700,0.12300,-0.10500,0.00000,0.58900,0.48700,-1.32400,79.16000,-0.67000
