timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 03:43:43.653,0xA0,3,00,09,0B,,,,,
2025-12-04 03:43:43.653,0x109,3,03,03,08,,,,,
2025-12-04 03:43:43.654,0x42,6,01,FF,02,01,0E,02,,
2025-12-04 03:43:43.654,0x15,7,00,00,0D,00,00,03,02,
2025-12-04 03:43:43.655,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.655,0x242,3,00,0F,01,,,,,
2025-12-04 03:43:43.656,0x15,7,00,00,0D,00,00,04,01,
2025-12-04 03:43:43.656,0xA0,3,00,0A,09,,,,,
2025-12-04 03:43:43.657,0x25D,3,01,0A,09,,,,,
2025-12-04 03:43:43.657,0x15,7,00,00,0D,00,00,05,00,
2025-12-04 03:43:43.658,0x109,3,03,05,06,,,,,
2025-12-04 03:43:43.658,0x242,3,00,00,00,,,,,
2025-12-04 03:43:43.659,0x232,4,00,00,0A,07,,,,
2025-12-04 03:43:43.659,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.659,0xA0,3,00,0B,0A,,,,,
2025-12-04 03:43:43.660,0x109,3,03,06,05,,,,,
2025-12-04 03:43:43.660,0x42,6,01,FF,02,01,02,0E,,
2025-12-04 03:43:43.661,0x15,7,00,00,0D,00,00,07,0E,
2025-12-04 03:43:43.661,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.662,0x242,3,00,01,0F,,,,,
2025-12-04 03:43:43.662,0x25D,3,01,0B,08,,,,,
2025-12-04 03:43:43.663,0xA0,3,00,0C,08,,,,,
2025-12-04 03:43:43.663,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.664,0x42,6,01,FF,02,01,08,08,,
2025-12-04 03:43:43.664,0x15,7,00,00,0D,00,00,09,0C,
2025-12-04 03:43:43.665,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.665,0x232,4,00,00,0C,05,,,,
2025-12-04 03:43:43.665,0x15,7,00,00,0D,00,00,0A,0B,
2025-12-04 03:43:43.666,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.666,0x109,3,03,09,02,,,,,
2025-12-04 03:43:43.667,0x15,7,00,00,0D,00,00,0B,0A,
2025-12-04 03:43:43.667,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.668,0x232,4,00,00,0D,04,,,,
2025-12-04 03:43:43.668,0x109,3,03,0A,01,,,,,
2025-12-04 03:43:43.669,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.669,0x42,6,01,FF,02,01,06,0A,,
2025-12-04 03:43:43.669,0x42,6,01,FF,02,01,0C,04,,
2025-12-04 03:43:43.670,0x242,3,00,04,0C,,,,,
2025-12-04 03:43:43.670,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.671,0x232,4,00,00,0E,03,,,,
2025-12-04 03:43:43.671,0x42,6,01,FF,02,01,0D,03,,
2025-12-04 03:43:43.672,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.672,0x109,3,03,0C,0F,,,,,
2025-12-04 03:43:43.672,0x15,7,00,00,0D,00,00,0F,06,
2025-12-04 03:43:43.673,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.673,0x232,4,00,00,0F,02,,,,
2025-12-04 03:43:43.674,0x109,3,03,0D,0E,,,,,
2025-12-04 03:43:43.674,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.675,0x15,7,00,00,0D,00,00,0D,08,
2025-12-04 03:43:43.675,0x15,7,00,00,0D,00,00,01,04,
2025-12-04 03:43:43.675,0x242,3,00,06,0A,,,,,
2025-12-04 03:43:43.676,0x109,3,03,0E,0D,,,,,
2025-12-04 03:43:43.676,0x232,4,00,00,00,01,,,,
2025-12-04 03:43:43.677,0x15,7,00,00,0D,00,00,02,03,
2025-12-04 03:43:43.677,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.678,0x109,3,03,0F,0C,,,,,
2025-12-04 03:43:43.678,0x15,7,00,00,0D,00,00,03,02,
2025-12-04 03:43:43.679,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.679,0x232,4,00,00,01,00,,,,
2025-12-04 03:43:43.679,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.680,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.680,0x42,6,01,FF,02,01,00,00,,
2025-12-04 03:43:43.680,0x242,3,00,08,08,,,,,
2025-12-04 03:43:43.681,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 03:43:43.681,0x109,3,03,01,0A,,,,,
2025-12-04 03:43:43.681,0x232,4,00,00,02,0F,,,,
2025-12-04 03:43:43.682,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.682,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.683,0x109,3,03,02,09,,,,,
2025-12-04 03:43:43.683,0x242,3,00,09,07,,,,,
2025-12-04 03:43:43.683,0x42,6,01,FF,02,01,06,0A,,
2025-12-04 03:43:43.684,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.684,0x232,4,00,00,03,0E,,,,
2025-12-04 03:43:43.684,0x15,7,00,00,0D,00,00,08,0D,
2025-12-04 03:43:43.685,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.685,0x25D,3,01,00,03,,,,,
2025-12-04 03:43:43.686,0x242,3,00,0A,06,,,,,
2025-12-04 03:43:43.686,0x42,6,01,FF,02,02,08,07,,
2025-12-04 03:43:43.686,0x109,3,03,04,07,,,,,
2025-12-04 03:43:43.687,0x232,4,00,00,04,0D,,,,
2025-12-04 03:43:43.687,0x42,6,01,FF,02,02,09,06,,
2025-12-04 03:43:43.687,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.688,0x109,3,03,05,06,,,,,
2025-12-04 03:43:43.688,0x15,7,00,00,0D,00,00,0B,0A,
2025-12-04 03:43:43.688,0x42,6,01,FF,02,02,0A,05,,
2025-12-04 03:43:43.689,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.689,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.689,0x109,3,03,06,05,,,,,
2025-12-04 03:43:43.690,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.690,0x242,3,00,0C,04,,,,,
2025-12-04 03:43:43.690,0x15,7,00,00,0D,00,00,0D,08,
2025-12-04 03:43:43.691,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.691,0x109,3,03,07,04,,,,,
2025-12-04 03:43:43.691,0x42,6,01,FF,02,01,0D,03,,
2025-12-04 03:43:43.692,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.692,0x242,3,00,0D,03,,,,,
2025-12-04 03:43:43.692,0x109,3,03,08,03,,,,,
2025-12-04 03:43:43.693,0x25D,3,01,02,01,,,,,
2025-12-04 03:43:43.693,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.693,0x232,4,00,00,07,0A,,,,
2025-12-04 03:43:43.694,0xA0,3,00,08,02,,,,,
2025-12-04 03:43:43.694,0x109,3,03,09,02,,,,,
2025-12-04 03:43:43.694,0x242,3,00,0E,02,,,,,
2025-12-04 03:43:43.695,0x42,6,01,FF,02,02,00,0F,,
2025-12-04 03:43:43.695,0x15,7,00,00,0D,00,00,01,04,
2025-12-04 03:43:43.695,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.696,0x232,4,00,00,08,09,,,,
2025-12-04 03:43:43.696,0xA0,3,00,09,03,,,,,
2025-12-04 03:43:43.696,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.697,0x25D,3,01,03,00,,,,,
2025-12-04 03:43:43.697,0x42,6,01,FF,02,02,02,0D,,
2025-12-04 03:43:43.697,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.698,0x232,4,00,00,09,08,,,,
2025-12-04 03:43:43.698,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.698,0xA0,3,00,0A,01,,,,,
2025-12-04 03:43:43.699,0x109,3,03,0C,0F,,,,,
2025-12-04 03:43:43.699,0x242,3,00,00,00,,,,,
2025-12-04 03:43:43.699,0x42,6,01,FF,02,01,04,0C,,
2025-12-04 03:43:43.700,0x15,7,00,00,0D,00,00,05,00,
2025-12-04 03:43:43.700,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.700,0x227,3,01,0A,09,,,,,
2025-12-04 03:43:43.701,0xA0,3,00,0B,02,,,,,
2025-12-04 03:43:43.701,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.701,0x242,3,00,01,0F,,,,,
2025-12-04 03:43:43.702,0x15,7,00,00,0D,00,00,07,0E,
2025-12-04 03:43:43.702,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:43:43.702,0x232,4,00,00,0B,06,,,,
2025-12-04 03:43:43.703,0x15,7,00,00,0D,00,00,08,0D,
