mx,my,mz
-0.568,0.411,-0.567
-0.568,0.411,-0.567
-0.575,0.412,-0.565
-0.578,0.415,-0.558
-0.585,0.412,-0.54
-0.585,0.412,-0.531
-0.586,0.419,-0.531
-0.593,0.419,-0.526
-0.592,0.423,-0.517
-0.588,0.432,-0.522
-0.588,0.432,-0.522
-0.595,0.435,-0.525
-0.588,0.438,-0.52
-0.595,0.446,-0.527
-0.59,0.444,-0.519
-0.59,0.444,-0.519
-0.593,0.445,-0.52
-0.593,0.448,-0.523
-0.595,0.45,-0.521
-0.594,0.454,-0.517
-0.594,0.454,-0.517
-0.598,0.458,-0.511
-0.598,0.464,-0.503
-0.595,0.469,-0.503
-0.595,0.474,-0.502
-0.595,0.474,-0.502
-0.603,0.478,-0.499
-0.602,0.478,-0.493
-0.602,0.485,-0.495
-0.602,0.485,-0.495
-0.603,0.49,-0.499
-0.603,0.489,-0.497
-0.604,0.495,-0.493
-0.601,0.499,-0.496
-0.601,0.499,-0.496
-0.598,0.507,-0.491
-0.604,0.506,-0.482
-0.605,0.511,-0.482
-0.611,0.514,-0.473
-0.611,0.514,-0.473
-0.606,0.509,-0.467
-0.607,0.512,-0.467
-0.613,0.514,-0.462
-0.611,0.516,-0.46
-0.611,0.516,-0.46
-0.608,0.521,-0.451
-0.607,0.528,-0.45
-0.608,0.529,-0.454
-0.608,0.529,-0.454
-0.61,0.535,-0.448
-0.608,0.54,-0.441
-0.612,0.548,-0.431
-0.613,0.551,-0.413
-0.613,0.551,-0.413
-0.617,0.561,-0.389
-0.614,0.561,-0.366
-0.609,0.565,-0.331
-0.606,0.57,-0.295
-0.606,0.57,-0.295
-0.594,0.576,-0.268
-0.585,0.585,-0.248
-0.573,0.585,-0.22
-0.557,0.579,-0.196
-0.557,0.579,-0.196
-0.533,0.574,-0.17
-0.516,0.577,-0.144
-0.491,0.579,-0.124
-0.491,0.579,-0.124
-0.467,0.582,-0.116
-0.442,0.584,-0.105
-0.417,0.587,-0.088
-0.395,0.596,-0.08
-0.395,0.596,-0.08
-0.371,0.599,-0.079
-0.341,0.61,-0.082
-0.319,0.614,-0.074
-0.297,0.624,-0.071
-0.297,0.624,-0.071
-0.275,0.628,-0.077
-0.252,0.635,-0.079
-0.23,0.645,-0.079
-0.205,0.651,-0.088
-0.205,0.651,-0.088
-0.179,0.659,-0.104
-0.158,0.664,-0.112
-0.143,0.671,-0.121
-0.143,0.671,-0.131
-0.127,0.676,-0.131
-0.111,0.684,-0.137
-0.097,0.688,-0.154
-0.092,0.692,-0.166
-0.092,0.692,-0.166
-0.076,0.71,-0.188
-0.065,0.712,-0.2
-0.051,0.721,-0.222
-0.04,0.724,-0.239
-0.04,0.724,-0.239
-0.032,0.724,-0.24
-0.029,0.725,-0.254
-0.022,0.727,-0.261
-0.015,0.727,-0.284
-0.015,0.727,-0.284
-0.002,0.734,-0.295
0.009,0.723,-0.293
0.013,0.712,-0.281
0.013,0.712,-0.281
0.015,0.712,-0.281
0.019,0.711,-0.275
0.023,0.712,-0.27
0.027,0.708,-0.259
0.027,0.708,-0.259
0.028,0.705,-0.251
0.02,0.703,-0.244
0.02,0.7,-0.238
0.014,0.702,-0.243
0.014,0.702,-0.243
0.01,0.705,-0.248
0.012,0.705,-0.245
0.016,0.701,-0.241
0.013,0.703,-0.239
0.013,0.703,-0.239
0.01,0.706,-0.235
0.01,0.702,-0.225
0.004,0.698,-0.22
0.004,0.703,-0.208
-0.002,0.703,-0.208
-0.01,0.697,-0.191
-0.017,0.696,-0.181
-0.028,0.692,-0.173
-0.028,0.692,-0.173
-0.039,0.693,-0.155
-0.055,0.69,-0.146
-0.072,0.687,-0.132
-0.085,0.679,-0.112
-0.085,0.679,-0.112
-0.106,0.669,-0.103
-0.132,0.663,-0.084
-0.158,0.651,-0.07
-0.183,0.641,-0.06
-0.183,0.641,-0.06
-0.206,0.631,-0.049
-0.233,0.622,-0.042
-0.255,0.612,-0.04
-0.278,0.603,-0.027
-0.278,0.603,-0.027
-0.305,0.591,-0.029
-0.328,0.582,-0.027
-0.361,0.576,-0.029
-0.361,0.576,-0.029
-0.391,0.564,-0.037
-0.418,0.554,-0.043
-0.452,0.545,-0.054
-0.48,0.536,-0.062
-0.48,0.536,-0.062
-0.514,0.52,-0.083
-0.54,0.509,-0.102
-0.563,0.503,-0.122
-0.581,0.496,-0.139
-0.581,0.496,-0.139
-0.593,0.483,-0.149
-0.612,0.47,-0.169
-0.624,0.459,-0.187
-0.638,0.444,-0.205
-0.638,0.444,-0.205
-0.647,0.437,-0.222
-0.655,0.429,-0.242
-0.657,0.427,-0.26
-0.657,0.427,-0.26
-0.664,0.429,-0.279
-0.668,0.427,-0.285
-0.669,0.419,-0.297
-0.67,0.413,-0.32
-0.67,0.413,-0.32
-0.671,0.411,-0.343
-0.673,0.411,-0.362
-0.667,0.413,-0.378
-0.669,0.418,-0.396
-0.669,0.418,-0.396
-0.659,0.426,-0.409
-0.657,0.444,-0.412
-0.642,0.431,-0.419
-0.632,0.422,-0.428
-0.632,0.422,-0.428
-0.632,0.417,-0.454
-0.631,0.415,-0.464
-0.627,0.416,-0.48
-0.627,0.416,-0.48
-0.628,0.415,-0.484
-0.618,0.421,-0.49
-0.614,0.421,-0.502
-0.61,0.424,-0.507
-0.61,0.424,-0.507
-0.61,0.428,-0.509
-0.608,0.425,-0.503
-0.612,0.424,-0.501
-0.605,0.426,-0.499
-0.605,0.426,-0.499
-0.613,0.425,-0.496
-0.609,0.426,-0.497
-0.609,0.427,-0.49
-0.614,0.43,-0.485
-0.614,0.43,-0.485
-0.615,0.43,-0.479
-0.615,0.431,-0.47
-0.618,0.43,-0.467
-0.618,0.43,-0.462
-0.621,0.435,-0.462
-0.625,0.435,-0.456
-0.624,0.44,-0.445
-0.63,0.442,-0.431
-0.63,0.442,-0.431
-0.632,0.434,-0.412
-0.632,0.432,-0.399
-0.635,0.429,-0.381
-0.635,0.426,-0.368
-0.635,0.426,-0.368
-0.632,0.43,-0.348
-0.631,0.436,-0.325
-0.627,0.443,-0.305
-0.625,0.452,-0.28
-0.625,0.452,-0.28
-0.616,0.458,-0.261
-0.608,0.475,-0.237
-0.594,0.483,-0.224
-0.594,0.483,-0.198
-0.582,0.494,-0.198
-0.566,0.504,-0.171
-0.542,0.517,-0.147
-0.516,0.523,-0.127
-0.516,0.523,-0.127
-0.493,0.531,-0.11
-0.469,0.539,-0.092
-0.448,0.548,-0.083
-0.435,0.556,-0.085
-0.435,0.556,-0.085
-0.416,0.567,-0.08
-0.404,0.574,-0.08
