t,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,ral
20:51:35:368,0.018,-0.010,0.986,0.002,-0.001,-0.001,0.018,0.650,-0.484,190.77,0.000000
20:51:35:370,0.018,-0.009,0.985,0.001,-0.002,-0.000,0.018,0.652,-0.487,191.22,0.450000
20:51:35:371,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.017,0.652,-0.485,190.43,-0.790000
20:51:35:373,0.018,-0.011,0.984,0.001,-0.002,-0.000,0.017,0.652,-0.485,190.52,0.090000
20:51:35:374,0.017,-0.010,0.985,0.001,-0.002,-0.000,0.019,0.649,-0.486,190.30,-0.220000
20:51:35:375,0.018,-0.010,0.983,0.001,-0.002,-0.001,0.015,0.649,-0.491,190.75,0.450000
20:51:35:377,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.018,0.649,-0.499,190.75,0.000000
20:51:35:378,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.016,0.649,-0.498,190.54,-0.210000
20:51:35:379,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.016,0.651,-0.501,190.49,-0.050000
20:51:35:381,0.017,-0.009,0.985,0.001,-0.002,-0.001,0.013,0.645,-0.499,190.89,0.400000
20:51:35:382,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.013,0.645,-0.499,190.93,0.040000
20:51:35:383,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.019,0.649,-0.495,190.73,-0.200000
20:51:35:385,0.017,-0.010,0.983,0.001,-0.002,-0.001,0.014,0.650,-0.495,190.51,-0.220000
20:51:35:386,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.016,0.653,-0.502,190.71,0.200000
20:51:35:387,0.016,-0.009,0.985,0.001,-0.002,-0.001,0.021,0.649,-0.493,191.09,0.380000
20:51:35:389,0.019,-0.010,0.984,0.001,-0.001,-0.001,0.018,0.654,-0.493,190.82,-0.270000
20:51:35:390,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.018,0.652,-0.496,190.65,-0.170000
20:51:35:391,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.652,-0.498,190.24,-0.410000
20:51:35:393,0.017,-0.010,0.986,0.001,-0.002,-0.001,0.021,0.650,-0.498,190.97,0.730000
20:51:35:394,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.019,0.648,-0.497,190.97,0.000000
20:51:35:395,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.650,-0.494,190.02,-0.950000
20:51:35:397,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.024,0.652,-0.497,190.75,0.730000
20:51:35:398,0.019,-0.011,0.984,0.001,-0.002,-0.001,0.014,0.655,-0.492,190.79,0.040000
20:51:35:399,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.652,-0.494,190.51,-0.280000
20:51:35:401,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.649,-0.497,190.58,0.070000
20:51:35:402,0.018,-0.010,0.986,0.001,-0.001,-0.000,0.022,0.649,-0.497,190.33,-0.250000
20:51:35:403,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.650,-0.500,190.52,0.190000
20:51:35:405,0.018,-0.009,0.986,0.002,-0.002,-0.001,0.018,0.650,-0.497,190.56,0.040000
20:51:35:406,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.022,0.653,-0.497,190.98,0.420000
20:51:35:407,0.016,-0.011,0.984,0.001,-0.001,-0.001,0.016,0.650,-0.503,190.76,-0.220000
20:51:35:409,0.017,-0.010,0.983,0.000,-0.001,-0.001,0.018,0.650,-0.504,191.24,0.480000
20:51:35:410,0.018,-0.010,0.986,0.001,-0.002,-0.001,0.019,0.651,-0.499,190.86,-0.380000
20:51:35:411,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.651,-0.499,190.81,-0.050000
20:51:35:413,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.653,-0.494,190.97,0.160000
20:51:35:414,0.018,-0.009,0.986,0.001,-0.002,-0.001,0.014,0.649,-0.495,190.98,0.010000
20:51:35:415,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.648,-0.500,190.57,-0.410000
20:51:35:417,0.017,-0.010,0.984,0.001,-0.002,-0.000,0.014,0.651,-0.494,190.67,0.100000
20:51:35:418,0.018,-0.010,0.986,0.001,-0.001,-0.001,0.020,0.650,-0.491,190.40,-0.270000
20:51:35:419,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.016,0.649,-0.490,191.07,0.670000
20:51:35:421,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.649,-0.490,190.65,-0.420000
20:51:35:422,0.017,-0.011,0.982,0.001,-0.001,-0.000,0.017,0.652,-0.497,190.75,0.100000
20:51:35:424,0.019,-0.010,0.985,0.001,-0.001,-0.001,0.020,0.651,-0.491,191.23,0.480000
20:51:35:425,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.014,0.648,-0.495,190.45,-0.780000
20:51:35:426,0.018,-0.009,0.983,0.001,-0.002,-0.000,0.019,0.647,-0.494,190.34,-0.110000
20:51:35:427,0.019,-0.009,0.985,0.001,-0.002,-0.001,0.015,0.651,-0.497,190.85,0.510000
20:51:35:429,0.017,-0.010,0.986,0.001,-0.001,-0.001,0.018,0.650,-0.489,190.03,-0.820000
20:51:35:430,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.018,0.650,-0.489,190.91,0.880000
20:51:35:431,0.018,-0.011,0.983,0.001,-0.001,-0.001,0.023,0.650,-0.490,190.36,-0.550000
20:51:35:432,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.651,-0.490,190.41,0.050000
20:51:35:433,0.017,-0.009,0.984,0.001,-0.001,-0.001,0.019,0.647,-0.487,191.03,0.620000
20:51:35:434,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.015,0.650,-0.489,190.79,-0.240000
20:51:35:435,0.018,-0.009,0.985,0.001,-0.002,-0.000,0.018,0.650,-0.490,190.91,0.120000
20:51:35:436,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.649,-0.489,190.67,-0.240000
20:51:35:437,0.018,-0.011,0.984,0.001,-0.002,-0.001,0.018,0.649,-0.489,190.94,0.270000
20:51:35:438,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.016,0.647,-0.488,190.66,-0.280000
20:51:35:439,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.016,0.651,-0.491,191.07,0.410000
20:51:35:440,0.017,-0.011,0.985,0.001,-0.002,-0.001,0.017,0.648,-0.491,190.85,-0.220000
20:51:35:441,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.013,0.647,-0.487,190.21,-0.640000
20:51:35:441,0.018,-0.009,0.984,0.001,-0.001,-0.001,0.017,0.648,-0.497,190.71,0.500000
20:51:35:443,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.652,-0.494,190.63,-0.080000
20:51:35:444,0.017,-0.009,0.984,0.001,-0.001,-0.001,0.020,0.652,-0.494,190.49,-0.140000
20:51:35:445,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.010,0.648,-0.495,190.34,-0.150000
20:51:35:446,0.018,-0.009,0.986,0.001,-0.001,-0.001,0.014,0.649,-0.493,191.19,0.850000
20:51:35:447,0.019,-0.010,0.985,0.001,-0.001,-0.001,0.018,0.649,-0.494,190.96,-0.230000
20:51:35:449,0.018,-0.011,0.983,0.001,-0.001,-0.000,0.019,0.651,-0.484,190.69,-0.270000
20:51:35:450,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.649,-0.486,190.51,-0.180000
20:51:35:450,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.649,-0.491,191.04,0.530000
20:51:35:451,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.018,0.649,-0.491,190.80,-0.240000
20:51:35:452,0.019,-0.010,0.984,0.001,-0.001,-0.001,0.017,0.652,-0.495,191.12,0.320000
20:51:35:452,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.017,0.650,-0.499,190.75,-0.370000
20:51:35:453,0.018,-0.009,0.987,0.001,-0.002,-0.001,0.014,0.649,-0.497,190.74,-0.010000
20:51:35:454,0.019,-0.009,0.983,0.001,-0.002,-0.001,0.014,0.649,-0.495,190.70,-0.040000
20:51:35:455,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.017,0.652,-0.494,190.66,-0.040000
20:51:35:456,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.016,0.650,-0.490,190.88,0.220000
20:51:35:457,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.016,0.650,-0.490,190.75,-0.130000
20:51:35:458,0.018,-0.010,0.985,0.001,-0.002,-0.000,0.019,0.649,-0.493,191.09,0.340000
20:51:35:459,0.017,-0.009,0.984,0.001,-0.002,-0.001,0.016,0.651,-0.493,190.51,-0.580000
20:51:35:460,0.018,-0.008,0.984,0.001,-0.002,-0.001,0.016,0.651,-0.494,191.14,0.630000
20:51:35:461,0.016,-0.011,0.985,0.001,-0.002,-0.001,0.020,0.649,-0.491,191.49,0.350000
20:51:35:463,0.017,-0.011,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.490,190.88,-0.610000
20:51:35:463,0.019,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.652,-0.492,190.01,-0.870000
20:51:35:464,0.019,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.652,-0.490,190.23,0.220000
20:51:35:465,0.017,-0.011,0.984,0.001,-0.002,-0.001,0.020,0.653,-0.490,190.65,0.420000
20:51:35:466,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.017,0.648,-0.494,190.78,0.130000
20:51:35:467,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.649,-0.496,190.50,-0.280000
20:51:35:468,0.018,-0.009,0.985,0.001,-0.001,-0.001,0.017,0.650,-0.495,190.09,-0.410000
20:51:35:469,0.017,-0.009,0.984,0.001,-0.002,-0.000,0.024,0.650,-0.496,190.40,0.310000
20:51:35:470,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.490,190.23,-0.170000
20:51:35:471,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.488,191.03,0.800000
20:51:35:472,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.018,0.647,-0.488,190.53,-0.500000
20:51:35:473,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.016,0.650,-0.496,190.24,-0.290000
20:51:35:474,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.647,-0.497,190.61,0.370000
20:51:35:475,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.493,191.11,0.500000
20:51:35:476,0.019,-0.009,0.985,0.001,-0.002,-0.001,0.016,0.649,-0.494,190.67,-0.440000
20:51:35:477,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.648,-0.501,190.41,-0.260000
20:51:35:478,0.017,-0.010,0.985,0.002,-0.002,-0.001,0.020,0.651,-0.492,191.78,1.370000
20:51:35:479,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.020,0.651,-0.492,190.02,-1.760000
20:51:35:480,0.018,-0.009,0.985,0.001,-0.001,-0.001,0.021,0.652,-0.494,190.64,0.620000
20:51:35:481,0.019,-0.010,0.984,0.001,-0.001,-0.000,0.019,0.652,-0.494,190.45,-0.190000
20:51:35:482,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.020,0.650,-0.495,190.53,0.080000
20:51:35:483,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.019,0.648,-0.495,190.38,-0.150000
20:51:35:483,0.018,-0.010,0.986,0.001,-0.001,-0.001,0.020,0.654,-0.496,190.41,0.030000
20:51:35:484,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.022,0.651,-0.498,190.58,0.170000
20:51:35:485,0.019,-0.009,0.985,0.001,-0.001,-0.001,0.022,0.651,-0.498,190.19,-0.390000
20:51:35:486,0.020,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.651,-0.495,190.05,-0.140000
20:51:35:487,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.023,0.651,-0.491,190.83,0.780000
20:51:35:488,0.018,-0.010,0.983,0.001,-0.002,-0.000,0.019,0.652,-0.488,191.45,0.620000
20:51:35:489,0.017,-0.009,0.984,0.001,-0.002,-0.001,0.015,0.647,-0.486,190.43,-1.020000
20:51:35:490,0.018,-0.010,0.984,0.001,-0.002,-0.000,0.021,0.648,-0.489,190.45,0.020000
20:51:35:491,0.017,-0.010,0.985,0.001,-0.002,-0.000,0.020,0.650,-0.494,190.34,-0.110000
20:51:35:492,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.650,-0.494,190.83,0.490000
20:51:35:493,0.017,-0.009,0.985,0.001,-0.002,-0.000,0.019,0.647,-0.497,190.79,-0.040000
20:51:35:494,0.017,-0.009,0.985,0.001,-0.001,-0.001,0.022,0.650,-0.497,190.18,-0.610000
20:51:35:494,0.018,-0.010,0.983,0.001,-0.001,-0.001,0.020,0.653,-0.498,190.07,-0.110000
20:51:35:495,0.018,-0.009,0.986,0.001,-0.002,-0.001,0.020,0.650,-0.497,190.45,0.380000
20:51:35:496,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.024,0.651,-0.495,191.59,1.140000
20:51:35:497,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.023,0.647,-0.499,191.05,-0.540000
20:51:35:498,0.018,-0.010,0.985,0.001,-0.002,-0.000,0.023,0.647,-0.499,190.36,-0.690000
20:51:35:499,0.018,-0.010,0.986,0.001,-0.001,-0.001,0.021,0.647,-0.492,190.71,0.350000
20:51:35:500,0.018,-0.010,0.986,0.001,-0.001,-0.001,0.019,0.650,-0.498,190.32,-0.390000
20:51:35:501,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.652,-0.499,189.97,-0.350000
20:51:35:502,0.018,-0.009,0.986,0.001,-0.001,-0.001,0.020,0.652,-0.501,190.78,0.810000
20:51:35:503,0.019,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.653,-0.497,190.90,0.120000
20:51:35:504,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.022,0.649,-0.495,190.31,-0.590000
20:51:35:505,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.022,0.649,-0.495,190.80,0.490000
20:51:35:506,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.022,0.651,-0.495,190.92,0.120000
20:51:35:507,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.022,0.656,-0.488,190.49,-0.430000
20:51:35:508,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.020,0.648,-0.492,190.73,0.240000
20:51:35:508,0.017,-0.008,0.985,0.001,-0.002,-0.001,0.020,0.649,-0.491,190.29,-0.440000
20:51:35:509,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.650,-0.495,190.60,0.310000
20:51:35:510,0.017,-0.009,0.985,0.001,-0.002,-0.000,0.022,0.649,-0.496,190.01,-0.590000
20:51:35:511,0.019,-0.009,0.984,0.001,-0.002,-0.001,0.022,0.649,-0.496,190.71,0.700000
20:51:35:512,0.017,-0.011,0.984,0.001,-0.001,-0.001,0.020,0.650,-0.500,190.65,-0.060000
20:51:35:513,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.017,0.651,-0.498,190.17,-0.480000
20:51:35:514,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.652,-0.500,191.03,0.860000
20:51:35:515,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.020,0.650,-0.498,190.50,-0.530000
20:51:35:516,0.017,-0.008,0.984,0.001,-0.002,-0.000,0.019,0.650,-0.496,190.44,-0.060000
20:51:35:517,0.018,-0.009,0.985,0.001,-0.001,-0.001,0.022,0.651,-0.494,190.59,0.150000
20:51:35:518,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.022,0.651,-0.494,189.88,-0.710000
20:51:35:519,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.020,0.647,-0.495,190.20,0.320000
20:51:35:520,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.019,0.651,-0.494,190.72,0.520000
20:51:35:521,0.019,-0.011,0.984,0.001,-0.001,-0.001,0.022,0.651,-0.494,190.57,-0.150000
20:51:35:522,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.648,-0.492,190.34,-0.230000
20:51:35:522,0.018,-0.011,0.983,0.001,-0.002,-0.001,0.022,0.650,-0.494,190.44,0.100000
20:51:35:523,0.018,-0.010,0.985,0.001,-0.002,-0.000,0.020,0.651,-0.493,190.59,0.150000
20:51:35:524,0.016,-0.010,0.984,0.001,-0.002,0.000,0.020,0.651,-0.494,190.75,0.160000
20:51:35:525,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.024,0.651,-0.494,190.83,0.080000
20:51:35:526,0.016,-0.009,0.984,0.001,-0.002,-0.001,0.020,0.650,-0.494,190.51,-0.320000
20:51:35:527,0.017,-0.009,0.985,0.001,-0.002,-0.001,0.024,0.653,-0.488,190.66,0.150000
20:51:35:528,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.024,0.654,-0.493,190.72,0.060000
20:51:35:529,0.017,-0.010,0.985,0.001,-0.002,-0.000,0.023,0.654,-0.487,191.06,0.340000
20:51:35:530,0.017,-0.009,0.986,0.001,-0.002,-0.000,0.021,0.652,-0.491,190.84,-0.220000
20:51:35:531,0.017,-0.010,0.985,0.001,-0.001,-0.001,0.021,0.651,-0.494,190.50,-0.340000
20:51:35:532,0.018,-0.010,0.985,0.001,-0.001,-0.000,0.020,0.651,-0.494,190.50,0.000000
20:51:35:533,0.018,-0.009,0.986,0.001,-0.001,-0.000,0.019,0.650,-0.494,190.27,-0.230000
20:51:35:534,0.017,-0.010,0.986,0.001,-0.001,-0.001,0.023,0.653,-0.495,190.77,0.500000
20:51:35:535,0.016,-0.010,0.982,0.001,-0.002,-0.001,0.022,0.649,-0.495,191.44,0.670000
20:51:35:536,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.020,0.650,-0.496,190.77,-0.670000
20:51:35:536,0.018,-0.010,0.984,0.000,-0.002,-0.000,0.018,0.648,-0.494,190.49,-0.280000
20:51:35:537,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.019,0.651,-0.492,190.72,0.230000
20:51:35:538,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.651,-0.492,190.73,0.010000
20:51:35:539,0.017,-0.011,0.987,0.001,-0.001,-0.001,0.021,0.650,-0.497,190.12,-0.610000
20:51:35:540,0.018,-0.009,0.985,0.001,-0.001,-0.001,0.020,0.652,-0.494,190.44,0.320000
20:51:35:541,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.648,-0.490,190.82,0.380000
20:51:35:542,0.018,-0.009,0.986,0.001,-0.001,-0.001,0.015,0.648,-0.490,190.77,-0.050000
20:51:35:543,0.017,-0.010,0.986,0.001,-0.002,-0.001,0.017,0.645,-0.496,190.44,-0.330000
20:51:35:544,0.016,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.645,-0.496,190.30,-0.140000
20:51:35:545,0.017,-0.009,0.983,0.001,-0.002,-0.001,0.016,0.645,-0.496,190.64,0.340000
20:51:35:546,0.017,-0.010,0.984,0.001,-0.001,-0.001,0.018,0.648,-0.496,190.56,-0.080000
20:51:35:547,0.017,-0.010,0.984,0.001,-0.001,-0.001,0.016,0.648,-0.495,191.29,0.730000
20:51:35:548,0.017,-0.009,0.984,0.001,-0.002,-0.001,0.022,0.648,-0.498,190.95,-0.340000
20:51:35:548,0.018,-0.010,0.985,0.000,-0.001,-0.001,0.017,0.647,-0.495,189.98,-0.970000
20:51:35:549,0.018,-0.010,0.985,0.001,-0.002,-0.000,0.015,0.651,-0.496,190.51,0.530000
20:51:35:550,0.018,-0.009,0.986,0.001,-0.002,-0.001,0.017,0.649,-0.501,191.04,0.530000
20:51:35:551,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.017,0.649,-0.501,189.83,-1.210000
20:51:35:552,0.017,-0.009,0.984,0.001,-0.001,-0.001,0.021,0.653,-0.492,190.89,1.060000
20:51:35:553,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.021,0.648,-0.497,191.14,0.250000
20:51:35:554,0.018,-0.009,0.983,0.001,-0.002,-0.001,0.021,0.652,-0.497,190.08,-1.060000
20:51:35:555,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.652,-0.499,190.72,0.640000
20:51:35:556,0.018,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.654,-0.495,190.34,-0.380000
20:51:35:557,0.019,-0.010,0.986,0.001,-0.001,-0.001,0.024,0.650,-0.500,190.51,0.170000
20:51:35:558,0.018,-0.008,0.985,0.002,-0.002,0.000,0.024,0.650,-0.500,190.65,0.140000
20:51:35:559,0.018,-0.010,0.984,0.001,-0.001,-0.000,0.021,0.652,-0.489,191.23,0.580000
20:51:35:560,0.018,-0.010,0.985,0.001,-0.001,-0.000,0.019,0.650,-0.496,191.02,-0.210000
20:51:35:560,0.017,-0.010,0.984,0.001,-0.001,-0.001,0.018,0.654,-0.487,190.18,-0.840000
20:51:35:561,0.017,-0.011,0.983,0.001,-0.001,-0.001,0.018,0.650,-0.489,190.55,0.370000
20:51:35:562,0.018,-0.010,0.985,0.001,-0.001,-0.001,0.015,0.652,-0.490,190.07,-0.480000
20:51:35:563,0.017,-0.009,0.984,0.001,-0.002,-0.001,0.016,0.648,-0.492,190.45,0.380000
20:51:35:564,0.018,-0.009,0.985,0.001,-0.002,-0.001,0.016,0.648,-0.492,190.09,-0.360000
20:51:35:565,0.017,-0.010,0.985,0.001,-0.002,-0.001,0.021,0.655,-0.491,190.48,0.390000
20:51:35:566,0.017,-0.010,0.985,0.002,-0.002,-0.001,0.021,0.653,-0.496,190.78,0.300000
20:51:35:567,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.016,0.651,-0.486,190.68,-0.100000
20:51:35:568,0.019,-0.010,0.983,0.001,-0.002,-0.001,0.019,0.652,-0.490,190.41,-0.270000
20:51:35:569,0.016,-0.010,0.986,0.001,-0.002,-0.000,0.018,0.648,-0.492,190.70,0.290000
20:51:35:570,0.017,-0.010,0.983,0.001,-0.001,-0.001,0.022,0.651,-0.490,190.38,-0.320000
20:51:35:571,0.017,-0.009,0.983,0.001,-0.001,-0.000,0.022,0.651,-0.490,190.83,0.450000
20:51:35:572,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.019,0.647,-0.493,190.33,-0.500000
20:51:35:573,0.018,-0.011,0.986,0.001,-0.002,-0.000,0.017,0.654,-0.493,190.57,0.240000
20:51:35:574,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.020,0.649,-0.491,189.98,-0.590000
20:51:35:574,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.020,0.651,-0.488,190.93,0.950000
20:51:35:575,0.019,-0.010,0.985,0.001,-0.002,-0.001,0.018,0.651,-0.492,190.63,-0.300000
20:51:35:576,0.018,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.490,190.70,0.070000
20:51:35:577,0.016,-0.010,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.489,190.84,0.140000
20:51:35:578,0.017,-0.010,0.984,0.001,-0.002,-0.001,0.023,0.647,-0.489,190.23,-0.610000
20:51:35:579,0.018,-0.011,0.985,0.001,-0.002,-0.001,0.024,0.651,-0.491,189.70,-0.530000
20:51:35:580,0.018,-0.010,0.984,0.001,-0.001,-0.001,0.020,0.646,-0.497,190.61,0.910000
20:51:35:581,0.018,-0.009,0.984,0.001,-0.002,-0.001,0.021,0.650,-0.492,190.71,0.100000
