timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
191125_17.14.38.735,-0.02500,-0.02200,0.99200,0.07000,-0.10500,0.00000,0.11600,0.45500,-0.56100,159.25000,0.00000
191125_17.14.38.736,-0.02500,-0.02200,0.99200,0.03500,-0.08700,-0.03500,0.11600,0.46100,-0.55700,159.47000,0.22000
191125_17.14.38.737,-0.02500,-0.02200,0.99300,0.05300,-0.08700,-0.03500,0.11500,0.46200,-0.56100,159.03000,-0.44000
191125_17.14.38.737,-0.02500,-0.02200,0.99200,0.08700,-0.08700,-0.01800,0.11200,0.45800,-0.55200,158.54000,-0.49000
191125_17.14.38.738,-0.02500,-0.02200,0.99300,0.05300,-0.08700,-0.01800,0.11600,0.45600,-0.55700,159.14000,0.60000
191125_17.14.38.739,-0.02500,-0.02200,0.99100,0.07000,-0.12300,-0.03500,0.11100,0.45800,-0.55500,159.66000,0.52000
191125_17.14.38.740,-0.02500,-0.02300,0.99200,0.07000,-0.14000,-0.03500,0.11300,0.45500,-0.55400,159.54000,-0.12000
191125_17.14.38.741,-0.02600,-0.02200,0.99200,0.08700,-0.10500,-0.03500,0.11700,0.45500,-0.55100,158.96000,-0.58000
191125_17.14.38.741,-0.02600,-0.02000,0.99100,0.05300,-0.08700,-0.01800,0.11900,0.45700,-0.55500,159.43000,0.47000
191125_17.14.38.742,-0.02500,-0.02300,0.99200,0.05300,-0.10500,-0.03500,0.11100,0.45700,-0.56300,159.48000,0.05000
191125_17.14.38.743,-0.02500,-0.02200,0.99100,0.05300,-0.10500,-0.01800,0.11700,0.45900,-0.54800,158.91000,-0.57000
191125_17.14.38.744,-0.02500,-0.02100,0.99100,0.07000,-0.08700,-0.03500,0.11700,0.46000,-0.55500,159.15000,0.24000
191125_17.14.38.744,-0.02500,-0.02200,0.99100,0.05300,-0.12300,-0.03500,0.11700,0.45400,-0.55200,159.62000,0.47000
191125_17.14.38.745,-0.02600,-0.02200,0.99200,0.05300,-0.08700,-0.03500,0.11700,0.45700,-0.55200,159.46000,-0.16000
191125_17.14.38.746,-0.02500,-0.02200,0.99300,0.07000,-0.08700,-0.03500,0.11700,0.45500,-0.54300,159.34000,-0.12000
191125_17.14.38.746,-0.02500,-0.02300,0.99300,0.05300,-0.10500,-0.03500,0.11100,0.45700,-0.55300,159.56000,0.22000
191125_17.14.38.747,-0.02500,-0.02200,0.99000,0.03500,-0.08700,-0.03500,0.11200,0.45900,-0.54700,159.42000,-0.14000
191125_17.14.38.748,-0.02500,-0.02200,0.99000,0.07000,-0.08700,-0.01800,0.11500,0.45700,-0.54900,158.79000,-0.63000
191125_17.14.38.749,-0.02500,-0.02200,0.99300,0.07000,-0.08700,-0.03500,0.10900,0.46000,-0.55200,158.63000,-0.16000
191125_17.14.38.749,-0.02500,-0.02000,0.99000,0.07000,-0.10500,-0.01800,0.11000,0.45800,-0.55000,159.42000,0.79000
191125_17.14.38.750,-0.02500,-0.02100,0.99200,0.07000,-0.10500,-0.01800,0.11700,0.45400,-0.55100,159.28000,-0.14000
