timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
201125_15.30.03.018,-0.00400,-0.01900,1.00100,0.08700,-0.14000,-0.01800,-0.41900,0.16400,-0.54300,188.20000,0.00000
201125_15.30.03.029,-0.00300,-0.01700,1.00000,0.07000,-0.12300,-0.03500,-0.41900,0.16300,-0.55000,188.64000,0.44000
201125_15.30.03.041,-0.00400,-0.01700,1.00100,0.08700,-0.12300,-0.03500,-0.41900,0.16400,-0.53900,188.49000,-0.15000
201125_15.30.03.052,-0.00400,-0.01700,0.99900,0.08700,-0.12300,-0.01800,-0.42100,0.16400,-0.54200,188.68000,0.19000
201125_15.30.03.064,-0.00400,-0.01800,1.00200,0.07000,-0.12300,-0.01800,-0.42400,0.16600,-0.54300,188.74000,0.06000
201125_15.30.03.075,-0.00200,-0.01800,1.00000,0.07000,-0.10500,-0.03500,-0.42300,0.15900,-0.54400,188.81000,0.07000
201125_15.30.03.087,-0.00400,-0.01800,1.00300,0.08700,-0.14000,-0.03500,-0.42000,0.16400,-0.55200,188.70000,-0.11000
201125_15.30.03.098,-0.00300,-0.01800,1.00200,0.05300,-0.10500,-0.01800,-0.42400,0.16300,-0.54400,188.22000,-0.48000
201125_15.30.03.109,-0.00400,-0.01700,1.00200,0.07000,-0.10500,-0.03500,-0.42200,0.16200,-0.54100,188.60000,0.38000
201125_15.30.03.120,-0.00400,-0.01900,0.99900,0.08700,-0.12300,-0.01800,-0.42100,0.16100,-0.54300,188.56000,-0.04000
201125_15.30.03.131,-0.00400,-0.01800,1.00000,0.07000,-0.12300,-0.01800,-0.42400,0.16500,-0.54400,188.47000,-0.09000
201125_15.30.03.143,-0.00200,-0.01800,1.00200,0.08700,-0.12300,-0.03500,-0.42400,0.16400,-0.54200,188.39000,-0.08000
201125_15.30.03.154,-0.00500,-0.01800,1.00200,0.07000,-0.14000,-0.01800,-0.42200,0.16500,-0.54500,188.16000,-0.23000
201125_15.30.03.165,-0.00500,-0.01800,1.00000,0.08700,-0.10500,-0.01800,-0.42500,0.16300,-0.54100,187.89000,-0.27000
201125_15.30.03.176,-0.00400,-0.01700,1.00000,0.08700,-0.10500,-0.01800,-0.42400,0.16100,-0.54100,188.69000,0.80000
201125_15.30.03.187,-0.00400,-0.01700,1.00100,0.08700,-0.12300,-0.03500,-0.42100,0.16200,-0.54600,188.15000,-0.54000
201125_15.30.03.198,-0.00400,-0.01800,1.00100,0.05300,-0.14000,-0.01800,-0.42100,0.16000,-0.54400,188.34000,0.19000
201125_15.30.03.210,-0.00300,-0.01800,0.99900,0.07000,-0.14000,-0.01800,-0.42300,0.16200,-0.54200,188.30000,-0.04000
201125_15.30.03.221,-0.00500,-0.01800,1.00100,0.08700,-0.14000,-0.01800,-0.42000,0.16000,-0.54800,188.64000,0.34000
201125_15.30.03.232,-0.00400,-0.01800,1.00000,0.07000,-0.10500,-0.03500,-0.42300,0.16000,-0.54700,188.40000,-0.24000
201125_15.30.03.243,-0.00300,-0.01800,0.99900,0.07000,-0.12300,-0.03500,-0.42700,0.16600,-0.54800,188.09000,-0.31000
201125_15.30.03.254,-0.00400,-0.01900,0.99900,0.07000,-0.12300,-0.01800,-0.42400,0.16700,-0.54700,188.42000,0.33000
201125_15.30.03.265,-0.00400,-0.01800,1.00100,0.07000,-0.12300,0.00000,-0.42200,0.16300,-0.54600,187.75000,-0.67000
201125_15.30.03.276,-0.00400,-0.01900,1.00100,0.08700,-0.12300,-0.01800,-0.42300,0.16300,-0.54600,188.45000,0.70000
201125_15.30.03.288,-0.00400,-0.01900,1.00000,0.08700,-0.14000,-0.01800,-0.42300,0.16500,-0.54500,188.01000,-0.44000
201125_15.30.03.299,-0.00500,-0.01700,1.00000,0.08700,-0.10500,-0.01800,-0.42200,0.15800,-0.54200,188.16000,0.15000
201125_15.30.03.310,-0.00400,-0.01700,1.00100,0.07000,-0.10500,-0.05300,-0.41800,0.16200,-0.54800,188.14000,-0.02000
201125_15.30.03.322,-0.00500,-0.01800,0.99900,0.07000,-0.12300,0.00000,-0.41900,0.15900,-0.54000,188.67000,0.53000
201125_15.30.03.333,-0.00400,-0.01800,1.00100,0.08700,-0.12300,-0.01800,-0.42300,0.16100,-0.54100,188.26000,-0.41000
201125_15.30.03.344,-0.00400,-0.01800,0.99900,0.07000,-0.12300,-0.01800,-0.41900,0.16300,-0.54200,188.75000,0.49000
201125_15.30.03.355,-0.00400,-0.01800,1.00000,0.08700,-0.12300,-0.01800,-0.42300,0.15900,-0.53800,188.04000,-0.71000
201125_15.30.03.366,-0.00500,-0.01800,1.00000,0.08700,-0.10500,-0.01800,-0.42500,0.15900,-0.54300,188.33000,0.29000
201125_15.30.03.377,-0.00400,-0.01800,1.00100,0.08700,-0.12300,-0.03500,-0.42100,0.16100,-0.53900,188.33000,0.00000
