timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
191125_17.20.30.507,-0.02300,0.01000,0.98700,-153.84200,478.36200,-405.65000,0.05200,0.51100,-0.58800,159.24000,0.00000
191125_17.20.30.508,-0.02400,0.01100,0.99100,0.07000,-0.10500,-0.05300,0.05400,0.51100,-0.59000,158.65000,-0.59000
191125_17.20.30.508,-0.02400,0.01100,0.98900,0.05300,-0.12300,-0.07000,0.05400,0.50800,-0.59700,158.61000,-0.04000
191125_17.20.30.509,-0.02500,0.01000,0.98800,0.07000,-0.10500,-0.05300,0.05100,0.51500,-0.59400,158.48000,-0.13000
191125_17.20.30.510,-0.02400,0.01100,0.98900,0.05300,-0.08700,-0.07000,0.05400,0.51100,-0.59400,158.99000,0.51000
191125_17.20.30.511,-0.02500,0.01000,0.98900,0.07000,-0.08700,-0.07000,0.05400,0.51300,-0.59100,158.97000,-0.02000
191125_17.20.30.512,-0.02500,0.01000,0.98800,0.05300,-0.10500,-0.05300,0.05000,0.51000,-0.58800,158.80000,-0.17000
191125_17.20.30.513,-0.02500,0.01100,0.98700,0.08700,-0.10500,-0.05300,0.05200,0.51100,-0.58400,158.05000,-0.75000
191125_17.20.30.513,-0.02400,0.01000,0.99000,0.07000,-0.08700,-0.05300,0.05000,0.51100,-0.58600,159.00000,0.95000
191125_17.20.30.514,-0.02500,0.01100,0.98800,0.07000,-0.08700,-0.07000,0.04800,0.51000,-0.59000,158.75000,-0.25000
191125_17.20.30.515,-0.02400,0.01000,0.98700,0.07000,-0.08700,-0.05300,0.04900,0.51300,-0.59200,158.88000,0.13000
191125_17.20.30.515,-0.02400,0.01200,0.99000,0.07000,-0.10500,-0.07000,0.04700,0.50900,-0.58700,158.91000,0.03000
191125_17.20.30.516,-0.02400,0.01200,0.98700,0.08700,-0.08700,-0.07000,0.05200,0.51000,-0.59000,158.22000,-0.69000
191125_17.20.30.517,-0.02500,0.01000,0.98700,0.07000,-0.12300,-0.03500,0.05300,0.51100,-0.58900,158.62000,0.40000
191125_17.20.30.518,-0.02500,0.01100,0.98900,0.07000,-0.12300,-0.03500,0.05500,0.51400,-0.58300,158.81000,0.19000
191125_17.20.30.518,-0.02400,0.01100,0.99000,0.07000,-0.12300,-0.05300,0.05300,0.50900,-0.59500,158.76000,-0.05000
191125_17.20.30.519,-0.02500,0.01100,0.98900,0.05300,-0.10500,-0.07000,0.05300,0.51000,-0.59000,158.84000,0.08000
191125_17.20.30.520,-0.02600,0.01000,0.98800,0.05300,-0.10500,-0.07000,0.04600,0.51100,-0.59100,159.09000,0.25000
191125_17.20.30.520,-0.02500,0.01000,0.98600,0.08700,-0.10500,-0.05300,0.05300,0.50700,-0.59200,157.93000,-1.16000
191125_17.20.30.521,-0.02500,0.01000,0.98900,0.05300,-0.10500,-0.05300,0.05300,0.51000,-0.59200,158.84000,0.91000
191125_17.20.30.522,-0.02500,0.01000,0.98800,0.07000,-0.08700,-0.05300,0.05200,0.51300,-0.58600,158.62000,-0.22000
191125_17.20.30.522,-0.02400,0.01000,0.98800,0.07000,-0.10500,-0.05300,0.05200,0.51300,-0.59800,158.92000,0.30000
191125_17.20.30.523,-0.02400,0.01000,0.98700,0.05300,-0.08700,-0.05300,0.04900,0.51100,-0.59600,158.30000,-0.62000
191125_17.20.30.524,-0.02500,0.01000,0.98800,0.05300,-0.08700,-0.05300,0.05300,0.51400,-0.58800,158.74000,0.44000
191125_17.20.30.525,-0.02500,0.01000,0.98900,0.07000,-0.08700,-0.07000,0.05400,0.51100,-0.59300,158.66000,-0.08000
191125_17.20.30.525,-0.02500,0.01000,0.99000,0.05300,-0.08700,-0.07000,0.05200,0.51200,-0.58900,159.07000,0.41000
191125_17.20.30.526,-0.02500,0.01000,0.98900,0.08700,-0.07000,-0.07000,0.05100,0.51600,-0.59500,159.09000,0.02000
191125_17.20.30.527,-0.02400,0.01100,0.98800,0.07000,-0.12300,-0.03500,0.05100,0.51100,-0.59600,158.67000,-0.42000
191125_17.20.30.528,-0.02400,0.01000,0.98500,0.08700,-0.08700,-0.05300,0.05100,0.50900,-0.58900,158.45000,-0.22000
191125_17.20.30.528,-0.02500,0.01000,0.99000,0.07000,-0.08700,-0.03500,0.04900,0.50900,-0.59000,158.77000,0.32000
191125_17.20.30.529,-0.02500,0.01100,0.99000,0.08700,-0.10500,-0.03500,0.04800,0.51400,-0.58900,158.55000,-0.22000
