ax,ay,az
0.011,-0.033,0.989
0.011,-0.033,0.991
0.01,-0.032,0.989
0.009,-0.033,0.991
0.011,-0.032,0.991
0.01,-0.032,0.989
0.01,-0.032,0.991
0.01,-0.033,0.991
0.01,-0.033,0.991
0.011,-0.032,0.991
0.011,-0.033,0.99
0.011,-0.033,0.989
0.011,-0.033,0.989
0.013,-0.028,0.99
0.072,-0.033,0.99
0.06,-0.049,0.996
0.042,-0.048,0.991
0.002,-0.042,0.991
-0.039,-0.027,0.986
-0.048,-0.034,0.988
0.01,-0.034,0.989
0.01,-0.033,0.99
0.009,-0.033,0.991
0.01,-0.033,0.991
0.009,-0.033,0.991
0.031,0.986,0.016
0.032,0.987,0.017
0.033,0.987,0.017
0.033,0.987,0.018
0.033,0.986,0.016
0.031,0.988,0.016
0.032,0.988,0.017
0.033,0.987,0.013
0.034,0.985,0.018
0.063,0.986,0.001
0.167,0.986,-0.023
0.193,0.99,0.032
0.125,0.985,0.044
0.012,0.988,0.014
0.04,0.985,0.036
-0.003,0.984,0.02
0.013,0.986,0.003
-0.067,0.987,0.004
-0.044,0.988,0.019
0.027,0.987,-0.008
0.039,0.986,-0.007
0.009,0.987,0.026
-0.025,0.986,0.043
0.001,0.987,0.035
0.028,0.987,0.02
0.064,0.019,-0.993
0.065,0.02,-1.014
0.066,0.02,-1.022
0.063,0.019,-0.99
0.064,0.02,-0.998
0.07,0.025,-1.009
0.179,0.104,-1.004
-0.046,-0.061,-0.999
0.055,0.011,-1.005
0.064,0.018,-1.009
0.066,0.02,-1.002
0.124,0.058,-0.996
0.068,0.013,-1.004
-0.002,-0.012,-1.003
0.064,0.019,-1.008
0.063,0.019,-1.001
0.063,0.019,-1.001
0.066,0.02,-1.004
0.065,0.021,-1.006
0.064,0.02,-1.001
0.064,0.02,-1.002
0.065,0.02,-1.004
0.064,0.019,-1.005
0.064,0.019,-1.003
0.064,0.019,-1.002
0.043,-1.002,-0.012
0.044,-1.0,-0.012
0.043,-1.003,-0.012
0.043,-1.001,-0.012
0.042,-1.001,-0.013
0.043,-1.0,-0.012
0.044,-1.001,-0.013
0.043,-1.001,-0.012
0.045,-1.0,-0.012
0.045,-1.001,-0.012
0.044,-1.002,-0.012
0.043,-1.005,-0.012
0.043,-0.999,-0.01
0.044,-1.001,-0.013
0.043,-1.001,-0.012
0.044,-1.002,-0.014
0.043,-1.0,-0.013
0.044,-1.001,-0.012
0.044,-1.002,-0.012
0.044,-1.001,-0.012
0.043,-1.001,-0.012
0.043,-1.002,-0.011
0.043,-1.001,-0.013
0.043,-1.001,-0.012
0.044,-1.001,-0.013
-0.973,-0.014,-0.009
-0.974,-0.015,-0.011
-0.988,-0.015,-0.01
-0.975,-0.013,-0.01
-0.977,-0.013,-0.01
-0.978,-0.014,-0.01
-0.98,-0.014,-0.01
-0.978,-0.013,-0.01
-0.978,-0.015,-0.011
-0.974,-0.014,-0.011
-0.979,-0.013,-0.009
-0.974,-0.013,-0.01
-0.977,-0.014,-0.009
-0.978,-0.015,-0.009
-0.976,-0.014,-0.01
-0.977,-0.014,-0.01
-0.977,-0.013,-0.01
-0.978,-0.012,-0.011
-0.979,-0.014,-0.008
-0.978,-0.015,-0.009
-0.976,-0.013,-0.01
-0.978,-0.014,-0.01
-0.978,-0.014,-0.01
-0.978,-0.015,-0.01
-0.976,-0.015,-0.011
1.019,-0.006,0.008
1.016,-0.005,0.008
1.025,-0.005,0.006
1.019,-0.005,0.006
1.015,-0.005,0.007
1.012,-0.004,0.008
1.017,-0.005,0.008
1.017,-0.005,0.007
1.017,-0.004,0.008
1.015,-0.004,0.009
1.02,-0.005,0.007
1.023,-0.005,0.006
1.013,-0.004,0.008
1.02,-0.005,0.008
1.017,-0.005,0.007
1.019,-0.005,0.006
1.015,-0.004,0.008
1.018,-0.005,0.007
1.019,-0.005,0.009
1.017,-0.005,0.008
1.014,-0.004,0.008
1.018,-0.006,0.007
1.018,-0.005,0.008
1.017,-0.005,0.007
1.018,-0.005,0.006
