mx,my,mz
0.09,0.554,-0.433
0.092,0.554,-0.434
0.093,0.554,-0.438
0.09,0.555,-0.434
0.086,0.554,-0.433
0.086,0.556,-0.43
0.085,0.555,-0.433
0.085,0.555,-0.433
0.089,0.557,-0.429
0.091,0.557,-0.43
0.085,0.554,-0.433
0.091,0.552,-0.432
0.092,0.551,-0.433
0.09,0.552,-0.431
0.09,0.552,-0.431
0.095,0.554,-0.44
0.089,0.552,-0.434
0.097,0.555,-0.435
0.092,0.554,-0.436
0.094,0.558,-0.433
0.093,0.556,-0.427
0.093,0.556,-0.427
0.09,0.551,-0.433
0.09,0.553,-0.429
0.09,0.555,-0.426
0.089,0.553,-0.422
0.088,0.552,-0.424
0.095,0.553,-0.423
0.095,0.553,-0.424
0.095,0.551,-0.424
0.093,0.554,-0.424
0.091,0.555,-0.427
0.093,0.558,-0.424
0.091,0.564,-0.427
0.093,0.559,-0.432
0.093,0.564,-0.425
0.086,0.564,-0.425
0.088,0.565,-0.42
0.087,0.569,-0.42
0.085,0.571,-0.42
0.079,0.57,-0.417
0.081,0.575,-0.418
0.08,0.576,-0.412
0.08,0.576,-0.412
0.078,0.587,-0.412
0.07,0.585,-0.41
0.072,0.594,-0.41
0.067,0.596,-0.402
0.068,0.596,-0.404
0.074,0.598,-0.409
0.074,0.598,-0.409
0.07,0.6,-0.41
0.066,0.599,-0.404
0.066,0.604,-0.395
0.063,0.61,-0.401
0.058,0.618,-0.392
0.054,0.621,-0.399
0.054,0.621,-0.399
0.049,0.629,-0.396
0.047,0.631,-0.396
0.045,0.638,-0.392
0.041,0.638,-0.39
0.035,0.638,-0.393
0.036,0.641,-0.391
0.036,0.641,-0.391
0.042,0.643,-0.384
0.036,0.643,-0.384
0.033,0.644,-0.375
0.028,0.647,-0.366
0.026,0.65,-0.366
0.023,0.656,-0.358
0.023,0.656,-0.358
0.024,0.651,-0.365
0.026,0.651,-0.367
0.032,0.648,-0.368
0.032,0.642,-0.365
0.035,0.642,-0.361
0.038,0.642,-0.355
0.038,0.642,-0.355
0.039,0.641,-0.352
0.04,0.634,-0.346
0.041,0.628,-0.344
0.046,0.627,-0.335
0.043,0.623,-0.333
0.045,0.629,-0.332
0.045,0.629,-0.332
0.043,0.623,-0.328
0.039,0.625,-0.331
0.037,0.63,-0.325
0.027,0.64,-0.326
0.019,0.648,-0.331
0.015,0.652,-0.326
0.015,0.652,-0.326
0.009,0.661,-0.337
-0.004,0.66,-0.328
-0.013,0.669,-0.322
-0.023,0.677,-0.324
-0.033,0.68,-0.327
-0.045,0.695,-0.324
-0.045,0.706,-0.326
-0.064,0.706,-0.326
-0.082,0.717,-0.342
-0.101,0.73,-0.351
-0.125,0.737,-0.358
-0.147,0.745,-0.367
-0.17,0.749,-0.377
-0.17,0.752,-0.388
-0.188,0.752,-0.388
-0.213,0.751,-0.399
-0.227,0.748,-0.416
-0.241,0.746,-0.42
-0.253,0.744,-0.436
-0.259,0.746,-0.443
-0.265,0.746,-0.451
-0.265,0.746,-0.451
-0.278,0.735,-0.459
-0.283,0.731,-0.465
-0.292,0.73,-0.471
-0.3,0.726,-0.482
-0.305,0.716,-0.489
-0.314,0.714,-0.498
-0.314,0.714,-0.498
-0.318,0.713,-0.503
-0.319,0.705,-0.518
-0.322,0.698,-0.519
-0.324,0.702,-0.525
-0.325,0.698,-0.523
-0.327,0.693,-0.531
-0.327,0.693,-0.531
-0.329,0.69,-0.535
-0.333,0.69,-0.545
-0.332,0.678,-0.553
-0.333,0.671,-0.56
-0.337,0.662,-0.562
-0.339,0.652,-0.571
-0.339,0.652,-0.571
-0.339,0.643,-0.574
-0.339,0.635,-0.581
-0.34,0.623,-0.589
-0.339,0.612,-0.589
-0.339,0.602,-0.593
-0.347,0.59,-0.592
-0.347,0.59,-0.592
-0.351,0.581,-0.59
-0.355,0.571,-0.587
-0.367,0.563,-0.591
-0.371,0.558,-0.59
-0.38,0.549,-0.575
-0.388,0.539,-0.572
-0.388,0.539,-0.572
-0.392,0.532,-0.573
-0.398,0.522,-0.57
-0.405,0.51,-0.563
-0.413,0.496,-0.566
-0.421,0.489,-0.563
-0.427,0.482,-0.564
-0.427,0.482,-0.564
-0.434,0.476,-0.563
-0.439,0.475,-0.559
-0.442,0.478,-0.553
-0.437,0.479,-0.555
-0.433,0.474,-0.552
-0.424,0.477,-0.551
-0.424,0.477,-0.551
-0.418,0.481,-0.553
-0.406,0.487,-0.544
-0.396,0.488,-0.546
-0.384,0.495,-0.543
-0.377,0.508,-0.541
-0.369,0.518,-0.532
-0.369,0.518,-0.524
-0.363,0.532,-0.524
-0.365,0.544,-0.517
-0.37,0.561,-0.517
-0.368,0.575,-0.511
-0.368,0.589,-0.505
-0.377,0.607,-0.494
-0.377,0.624,-0.483
-0.387,0.624,-0.483
-0.397,0.634,-0.469
-0.41,0.64,-0.446
-0.42,0.642,-0.429
-0.433,0.648,-0.417
-0.443,0.646,-0.397
-0.444,0.653,-0.373
-0.444,0.653,-0.373
-0.441,0.651,-0.358
-0.437,0.651,-0.328
-0.423,0.646,-0.311
-0.416,0.64,-0.29
-0.411,0.635,-0.282
-0.403,0.63,-0.263
-0.403,0.63,-0.263
-0.394,0.625,-0.255
-0.382,0.62,-0.243
-0.371,0.618,-0.233
-0.36,0.615,-0.23
-0.349,0.608,-0.229
-0.34,0.605,-0.212
-0.34,0.605,-0.212
-0.331,0.603,-0.211
-0.327,0.59,-0.195
-0.326,0.582,-0.184
-0.332,0.568,-0.17
-0.331,0.559,-0.159
-0.337,0.542,-0.148
-0.337,0.542,-0.148
-0.342,0.525,-0.139
-0.339,0.507,-0.121
-0.343,0.48,-0.116
-0.353,0.444,-0.106
-0.364,0.4,-0.101
-0.379,0.358,-0.103
-0.379,0.358,-0.103
-0.378,0.31,-0.108
-0.368,0.267,-0.123
-0.353,0.239,-0.124
-0.341,0.223,-0.135
-0.33,0.21,-0.139
-0.319,0.208,-0.142
-0.319,0.208,-0.142
-0.307,0.202,-0.147
-0.304,0.206,-0.142
-0.298,0.194,-0.151
-0.294,0.189,-0.154
-0.294,0.172,-0.161
-0.288,0.156,-0.167
-0.288,0.156,-0.167
-0.276,0.132,-0.168
-0.249,0.12,-0.183
-0.224,0.115,-0.182
-0.184,0.113,-0.183
-0.162,0.128,-0.164
-0.163,0.14,-0.154
-0.163,0.14,-0.148
-0.151,0.15,-0.148
-0.131,0.148,-0.161
-0.11,0.151,-0.17
-0.089,0.144,-0.168
-0.058,0.152,-0.182
-0.019,0.166,-0.205
-0.019,0.177,-0.215
0.019,0.177,-0.215
0.041,0.193,-0.232
0.06,0.216,-0.24
0.078,0.242,-0.253
0.098,0.27,-0.275
0.116,0.293,-0.302
0.129,0.326,-0.32
0.129,0.326,-0.32
0.138,0.35,-0.334
0.143,0.387,-0.343
0.139,0.422,-0.35
0.133,0.462,-0.362
0.127,0.503,-0.369
0.113,0.542,-0.375
0.113,0.542,-0.375
0.088,0.583,-0.39
0.066,0.619,-0.398
0.036,0.652,-0.409
0.004,0.675,-0.416
-0.024,0.697,-0.427
-0.045,0.711,-0.441
-0.045,0.711,-0.441
-0.079,0.723,-0.453
-0.112,0.732,-0.465
-0.14,0.737,-0.479
-0.163,0.735,-0.484
-0.189,0.734,-0.503
-0.216,0.726,-0.518
-0.216,0.726,-0.518
-0.24,0.719,-0.529
-0.254,0.701,-0.551
-0.266,0.686,-0.571
-0.276,0.67,-0.586
-0.284,0.656,-0.593
-0.292,0.641,-0.606
-0.292,0.641,-0.606
-0.293,0.637,-0.616
-0.287,0.629,-0.609
-0.275,0.625,-0.616
-0.261,0.627,-0.615
-0.252,0.625,-0.612
-0.25,0.625,-0.612
-0.25,0.625,-0.612
-0.247,0.619,-0.61
-0.241,0.611,-0.614
-0.245,0.603,-0.61
-0.242,0.601,-0.607
-0.24,0.596,-0.605
-0.248,0.591,-0.604
-0.248,0.591,-0.604
-0.255,0.586,-0.599
-0.261,0.582,-0.607
-0.266,0.579,-0.6
-0.276,0.578,-0.593
-0.275,0.575,-0.596
-0.281,0.578,-0.587
-0.281,0.577,-0.591
-0.285,0.577,-0.591
-0.293,0.582,-0.586
-0.296,0.583,-0.576
-0.304,0.578,-0.577
-0.304,0.571,-0.567
-0.303,0.564,-0.558
-0.296,0.551,-0.559
-0.296,0.551,-0.559
-0.292,0.54,-0.557
-0.278,0.535,-0.551
-0.267,0.536,-0.548
-0.254,0.547,-0.532
-0.237,0.565,-0.531
-0.226,0.579,-0.519
-0.226,0.579,-0.519
-0.221,0.6,-0.514
-0.231,0.621,-0.494
-0.238,0.64,-0.487
-0.26,0.66,-0.465
-0.288,0.675,-0.449
-0.311,0.681,-0.434
-0.311,0.681,-0.434
-0.334,0.682,-0.412
-0.366,0.672,-0.407
-0.385,0.663,-0.397
-0.403,0.654,-0.383
-0.419,0.645,-0.377
-0.43,0.638,-0.373
-0.43,0.638,-0.373
-0.442,0.622,-0.369
-0.449,0.608,-0.364
-0.454,0.601,-0.365
-0.467,0.587,-0.363
-0.475,0.574,-0.359
-0.485,0.565,-0.351
-0.485,0.565,-0.351
-0.49,0.548,-0.356
-0.501,0.533,-0.351
-0.508,0.517,-0.345
-0.51,0.506,-0.343
-0.523,0.486,-0.343
-0.529,0.464,-0.339
-0.529,0.464,-0.339
-0.539,0.45,-0.34
-0.544,0.427,-0.338
-0.555,0.401,-0.33
-0.557,0.377,-0.328
-0.561,0.345,-0.315
-0.554,0.317,-0.303
-0.554,0.317,-0.303
-0.547,0.29,-0.305
-0.54,0.261,-0.298
-0.521,0.232,-0.296
-0.504,0.204,-0.303
-0.479,0.176,-0.315
-0.462,0.156,-0.317
