ax,ay,az
-0.025,-0.012,0.989
-0.027,-0.013,0.993
-0.026,-0.012,0.993
-0.025,-0.012,0.99
-0.027,-0.011,0.991
-0.025,-0.012,0.992
-0.026,-0.012,0.992
-0.025,-0.012,0.992
-0.025,-0.014,0.991
-0.026,-0.011,0.991
-0.025,-0.013,0.991
-0.025,-0.012,0.992
-0.027,-0.012,0.99
-0.026,-0.012,0.991
-0.026,-0.012,0.992
-0.025,-0.014,0.991
-0.026,-0.012,0.99
-0.024,-0.012,0.991
-0.026,-0.013,0.991
-0.027,-0.013,0.99
-0.026,-0.012,0.991
-0.026,-0.011,0.992
-0.027,-0.01,0.99
-0.027,-0.012,0.991
-0.026,-0.013,0.991
-0.025,-0.013,0.989
-0.026,-0.013,0.997
-0.026,-0.012,0.987
-0.026,-0.013,0.99
-0.027,-0.012,0.992
-0.025,-0.013,0.99
-0.025,-0.012,0.99
-0.026,-0.013,0.991
-0.026,-0.012,0.991
-0.025,-0.013,0.991
-0.026,-0.013,0.991
-0.026,-0.012,0.99
-0.026,-0.012,0.991
-0.025,-0.012,0.992
-0.026,-0.013,0.991
-0.026,-0.012,0.992
-0.026,-0.012,0.991
-0.025,-0.012,0.992
-0.025,-0.012,0.991
-0.025,-0.013,0.991
-0.026,-0.013,0.99
-0.026,-0.011,0.991
-0.025,-0.012,0.991
-0.025,-0.013,0.991
-0.025,-0.011,0.993
-0.024,-0.012,0.988
-0.026,-0.011,0.994
-0.026,-0.013,0.991
-0.025,-0.011,0.986
-0.026,-0.012,0.993
-0.027,-0.012,0.99
-0.025,-0.013,0.99
-0.026,-0.011,0.991
-0.027,-0.012,0.99
-0.025,-0.012,0.992
-0.027,-0.011,0.991
-0.025,-0.012,0.991
-0.026,-0.013,0.99
-0.027,-0.013,0.992
-0.027,-0.011,0.99
-0.026,-0.012,0.991
-0.026,-0.012,0.992
-0.027,-0.011,0.99
-0.025,-0.012,0.991
-0.025,-0.013,0.991
-0.026,-0.013,0.99
-0.027,-0.012,0.991
-0.027,-0.013,0.991
-0.027,-0.013,0.991
-0.026,-0.012,0.992
-0.027,-0.013,0.984
-0.027,-0.012,0.992
-0.025,-0.012,0.992
-0.025,-0.013,0.987
-0.026,-0.012,0.991
-0.027,-0.014,0.99
-0.027,-0.012,0.992
-0.026,-0.012,0.989
-0.026,-0.013,0.99
-0.026,-0.013,0.991
-0.026,-0.013,0.991
-0.027,-0.012,0.991
-0.025,-0.013,0.991
-0.026,-0.014,0.992
-0.026,-0.012,0.991
-0.026,-0.013,0.991
-0.025,-0.013,0.99
-0.026,-0.012,0.991
-0.026,-0.012,0.991
-0.025,-0.012,0.991
-0.026,-0.012,0.991
-0.026,-0.012,0.991
-0.027,-0.013,0.991
-0.027,-0.013,0.99
-0.025,-0.011,0.99
-0.025,-0.013,0.992
-0.027,-0.013,0.994
-0.026,-0.012,0.989
-0.026,-0.011,0.991
-0.026,-0.013,0.992
-0.026,-0.013,0.99
-0.026,-0.012,0.992
-0.026,-0.012,0.991
-0.026,-0.011,0.99
-0.026,-0.011,0.99
-0.026,-0.013,0.991
-0.025,-0.012,0.992
-0.027,-0.012,0.992
-0.025,-0.012,0.991
-0.025,-0.013,0.991
-0.025,-0.013,0.991
-0.026,-0.013,0.991
-0.026,-0.014,0.991
-0.026,-0.013,0.992
-0.025,-0.012,0.991
-0.025,-0.012,0.992
-0.026,-0.011,0.991
-0.026,-0.013,0.991
-0.027,-0.013,0.991
-0.026,-0.013,0.991
-0.026,-0.013,0.987
-0.027,-0.011,1.002
-0.027,-0.013,0.986
-0.026,-0.012,0.99
-0.026,-0.012,0.993
-0.025,-0.012,0.991
-0.026,-0.012,0.99
-0.027,-0.012,0.99
-0.025,-0.013,0.991
-0.025,-0.012,0.991
-0.025,-0.012,0.992
-0.026,-0.011,0.991
-0.025,-0.012,0.991
-0.025,-0.012,0.99
-0.025,-0.013,0.99
-0.026,-0.012,0.991
-0.027,-0.013,0.992
-0.025,-0.012,0.99
-0.025,-0.014,0.991
-0.025,-0.012,0.991
-0.026,-0.012,0.991
-0.026,-0.012,0.991
-0.026,-0.013,0.991
-0.026,-0.013,0.991
-0.026,-0.012,0.991
