mx,my,mz
-0.148,0.153,-0.571
-0.148,0.153,-0.571
-0.149,0.157,-0.572
-0.143,0.161,-0.583
-0.141,0.164,-0.586
-0.147,0.164,-0.593
-0.138,0.172,-0.604
-0.136,0.171,-0.603
-0.136,0.171,-0.603
-0.141,0.175,-0.612
-0.136,0.18,-0.615
-0.129,0.188,-0.618
-0.122,0.188,-0.619
-0.112,0.193,-0.623
-0.109,0.2,-0.629
-0.109,0.2,-0.629
-0.105,0.207,-0.631
-0.103,0.212,-0.634
-0.105,0.211,-0.634
-0.104,0.213,-0.637
-0.105,0.218,-0.64
-0.1,0.223,-0.639
-0.1,0.223,-0.639
-0.092,0.229,-0.641
-0.082,0.236,-0.639
-0.065,0.243,-0.635
-0.057,0.247,-0.64
-0.046,0.249,-0.634
-0.046,0.254,-0.629
-0.046,0.254,-0.629
-0.036,0.257,-0.625
-0.025,0.257,-0.616
-0.017,0.266,-0.615
-0.009,0.274,-0.614
-0.001,0.28,-0.618
0.009,0.285,-0.61
0.009,0.285,-0.61
0.01,0.286,-0.607
0.003,0.286,-0.604
0.01,0.28,-0.599
0.012,0.279,-0.604
0.02,0.283,-0.603
0.026,0.289,-0.599
0.026,0.289,-0.59
0.034,0.291,-0.59
0.039,0.293,-0.583
0.048,0.295,-0.576
0.056,0.292,-0.57
0.054,0.297,-0.566
0.053,0.298,-0.571
0.051,0.303,-0.574
0.051,0.303,-0.574
0.057,0.309,-0.571
0.063,0.316,-0.562
0.07,0.322,-0.549
0.081,0.328,-0.547
0.092,0.33,-0.527
0.093,0.33,-0.526
0.093,0.33,-0.526
0.1,0.33,-0.511
0.105,0.329,-0.503
0.107,0.326,-0.482
0.115,0.324,-0.468
0.121,0.321,-0.448
0.123,0.314,-0.433
0.123,0.314,-0.433
0.124,0.31,-0.413
0.126,0.308,-0.403
0.13,0.306,-0.396
0.128,0.299,-0.393
0.129,0.298,-0.388
0.125,0.297,-0.383
0.125,0.297,-0.383
0.126,0.292,-0.374
0.125,0.283,-0.366
0.124,0.284,-0.369
0.122,0.282,-0.376
0.122,0.285,-0.381
0.119,0.283,-0.38
0.119,0.283,-0.38
0.122,0.285,-0.382
0.121,0.281,-0.38
0.124,0.281,-0.378
0.123,0.283,-0.38
0.126,0.281,-0.373
0.12,0.285,-0.377
0.12,0.285,-0.377
0.125,0.288,-0.382
0.12,0.28,-0.385
0.12,0.281,-0.381
0.122,0.278,-0.379
0.121,0.279,-0.377
0.119,0.276,-0.372
0.119,0.276,-0.372
0.119,0.272,-0.367
0.124,0.276,-0.36
0.122,0.277,-0.36
0.121,0.279,-0.362
0.121,0.274,-0.368
0.123,0.281,-0.376
