ax,ay,az
-0.01366,0.01476,1.00644
-0.0061,0.02568,0.98411
0.0086,0.02715,0.96441
0.00281,0.00994,0.97527
-0.01318,0.00378,1.00327
-0.0083,0.02257,0.99174
0.01446,0.02946,0.96099
0.01336,0.01696,0.9674
-0.00884,0.00897,1.00192
-0.01574,0.01226,1.00351
0.00293,0.03087,0.97423
0.01031,0.02159,0.96264
-0.00787,0.0047,0.98954
-0.00055,0.03422,0.98417
0.01677,0.0266,0.96142
0.00256,0.01019,0.97801
-0.01659,0.00573,1.00607
-0.00994,0.0244,0.99174
0.01135,0.03129,0.96593
0.00762,0.01537,0.97234
-0.01446,0.00195,1.00278
-0.01446,0.01501,0.99717
0.00842,0.03227,0.96807
0.01525,0.02141,0.96319
-0.00561,0.00909,0.9982
0.00238,0.98979,-0.0014
0.01135,0.98625,-0.01702
0.00433,0.99155,-0.01025
0.00586,1.00223,0.00555
0.00921,0.98497,-0.00476
0.00897,0.98515,-0.0208
0.0061,0.99924,-0.00811
0.00769,0.99168,0.00159
0.00781,0.98265,-0.0083
0.00543,0.99613,-0.01507
0.00311,1.00034,-0.00677
0.00756,0.98948,-0.00043
0.00921,0.98674,-0.01165
0.00695,0.99808,-0.01324
0.0083,0.98692,-0.00018
0.00903,0.98564,-0.01781
0.00744,0.99698,-0.0122
0.00878,0.99753,0.00189
0.00824,0.98613,-0.00165
0.00604,0.99052,-0.01708
0.00323,0.99747,-0.00744
0.00482,0.98948,0.00268
0.00726,0.98661,-0.00628
0.0047,0.99223,-0.01763
0.0047,0.99357,-0.00549
0.01324,0.00543,-1.0234
0.02739,0.01909,-1.00851
0.02257,0.01915,-1.00601
0.00738,0.00073,-1.01284
0.01964,0.00964,-1.00961
0.01812,0.01421,-1.01364
0.00299,0.0058,-1.01547
0.02928,0.01037,-1.00382
0.02409,0.01818,-1.01071
0.00909,0.00909,-1.01278
0.00695,0.00372,-1.02382
0.02965,0.00744,-1.0104
0.02287,0.01836,-1.01004
0.00677,0.01391,-1.01358
0.00884,0.00201,-1.02163
0.02446,0.0119,-1.01132
0.02666,0.01958,-1.00583
0.00549,0.00232,-1.01236
0.01952,-6e-05,-1.00857
0.01739,0.01867,-1.01638
0.00372,0.00708,-1.01632
0.02477,0.01049,-1.00668
0.02702,0.0169,-1.01211
0.01415,0.01244,-1.01297
0.00134,0.00165,-1.01913
0.17312,-0.9807,0.02373
0.1905,-0.99418,0.03276
0.18757,-0.97874,0.00842
0.18446,-0.97667,0.00043
0.19337,-0.98619,0.02483
0.18294,-0.99094,0.04789
0.16464,-0.98137,0.028
0.18184,-0.9843,0.00702
0.17251,-0.99985,0.04343
0.16177,-0.97515,0.02873
0.17666,-0.97728,0.02123
0.20508,-0.99576,0.0194
0.19008,-0.98826,0.02678
0.16397,-0.96752,0.00939
0.18501,-0.96368,-0.02287
0.23204,-0.99345,6e-05
0.21417,-0.98509,0.03209
0.15067,-0.97716,0.03703
0.15098,-0.98863,0.03318
0.20649,-1.00937,0.03751
0.20508,-1.00235,0.04319
0.16037,-0.97057,0.00165
0.23192,-1.00046,0.00518
0.21088,-0.98106,0.03477
0.14841,-0.97173,0.06069
1.03615,0.0208,0.05319
1.0251,0.04105,0.05923
1.01803,0.05685,0.04575
1.01791,0.04471,0.04447
1.02895,0.04703,0.05423
1.02797,0.05612,0.05947
1.01443,0.06326,0.05094
1.0148,0.0524,0.04471
1.03645,0.03245,0.04917
1.01931,0.05087,0.05154
1.0148,0.04197,0.04258
1.02944,0.02867,0.04917
1.03615,0.02934,0.0588
1.02498,0.05167,0.05234
1.02065,0.04496,0.04715
1.02224,0.0463,0.0513
1.02584,0.05362,0.05972
1.02047,0.0657,0.05862
1.01656,0.05563,0.03434
1.02614,0.04118,0.04459
1.03169,0.03886,0.05459
1.02309,0.04612,0.05215
1.00986,0.05844,0.0441
1.03407,0.03257,0.05252
1.02986,0.04764,0.06112
-0.97624,0.0391,-0.07436
-0.96801,0.00421,-0.0649
-0.97856,0.02342,-0.06917
-0.96984,0.03867,-0.0757
-0.95996,0.04063,-0.05807
-0.96203,0.01928,-0.05929
-0.98161,0.01915,-0.0596
-0.97179,0.03794,-0.07625
-0.96008,0.04081,-0.06259
-0.96654,0.0194,-0.05758
-0.98088,0.00671,-0.06881
-0.97881,0.02794,-0.07832
-0.96075,0.04477,-0.06618
-0.96593,0.02775,-0.0549
-0.97447,0.01,-0.07448
-0.96581,0.04734,-0.07204
-0.96356,0.03215,-0.05813
-0.96752,0.00732,-0.06466
-0.97252,0.01299,-0.07515
-0.96453,0.04502,-0.07259
-0.96154,0.04849,-0.06222
-0.97051,0.01263,-0.06204
-0.97948,0.00714,-0.06649
-0.97325,0.03459,-0.07759
-0.96453,0.05203,-0.06765
