ax,ay,az
-0.035,0.004,0.999
-0.031,-0.0,1.004
-0.042,0.002,1.002
-0.039,0.005,1.001
-0.037,0.001,1.003
-0.033,0.003,1.001
-0.037,0.002,1.003
-0.042,0.003,1.0
-0.037,0.003,1.002
-0.034,-0.001,1.0
-0.04,0.003,1.001
-0.039,0.002,1.004
-0.035,0.005,0.999
-0.035,-0.002,1.003
-0.044,0.002,1.003
-0.037,0.001,0.997
-0.037,-0.0,1.004
-0.036,0.002,0.999
-0.04,-0.001,1.003
-0.042,0.001,0.998
-0.035,0.002,1.001
-0.035,-0.002,0.999
-0.044,0.001,1.0
-0.038,-0.0,0.999
-0.04,0.0,1.001
-0.018,0.98,-0.013
-0.018,0.976,-0.014
-0.024,0.977,-0.014
-0.023,0.982,-0.017
-0.015,0.974,-0.015
-0.025,0.98,-0.015
-0.027,0.975,-0.017
-0.02,0.977,-0.013
-0.021,0.978,-0.016
-0.017,0.973,-0.016
-0.03,0.983,-0.014
-0.023,0.97,-0.017
-0.021,0.98,-0.016
-0.022,0.975,-0.017
-0.025,0.976,-0.014
-0.023,0.975,-0.014
-0.022,0.975,-0.016
-0.026,0.976,-0.01
-0.025,0.976,-0.015
-0.019,0.977,-0.013
-0.022,0.977,-0.015
-0.018,0.975,-0.017
-0.029,0.98,-0.012
-0.024,0.972,-0.018
-0.018,0.98,-0.015
-0.007,0.01,-0.993
-0.011,0.008,-0.997
-0.01,0.002,-0.993
-0.013,0.0,-0.998
-0.009,-0.002,-0.991
-0.008,0.008,-0.996
-0.016,0.0,-0.99
-0.007,-0.003,-0.993
-0.011,0.004,-0.992
-0.012,0.008,-0.995
-0.007,0.01,-0.995
-0.012,-0.005,-0.989
-0.009,0.025,-0.99
-0.008,0.016,-0.996
-0.01,0.006,-0.994
-0.013,-0.003,-0.995
-0.009,-0.005,-0.992
-0.007,0.01,-0.995
-0.012,0.006,-0.99
-0.005,-0.001,-0.992
-0.009,0.0,-0.994
-0.008,0.001,-0.991
-0.01,0.01,-0.998
-0.013,0.001,-0.988
-0.008,-0.001,-0.998
0.023,-0.981,0.017
0.032,-0.999,0.048
0.049,-1.037,0.061
0.044,-1.052,0.077
0.037,-1.024,0.068
0.029,-1.006,0.022
0.003,-0.99,-0.017
0.009,-0.988,-0.002
0.032,-1.011,0.016
0.042,-1.016,0.012
0.046,-1.019,0.082
0.03,-1.023,0.071
0.032,-1.014,0.037
0.026,-0.998,0.022
0.042,-0.999,0.011
0.046,-1.008,0.006
0.036,-1.016,0.014
0.029,-1.015,0.041
0.022,-1.003,0.059
0.034,-1.024,0.064
0.04,-1.021,0.06
0.03,-1.001,0.03
0.023,-1.003,0.009
0.015,-0.998,0.01
0.035,-1.028,0.027
0.988,0.004,0.012
0.998,0.016,0.019
0.99,0.01,0.017
0.994,-0.005,0.007
1.009,0.009,0.011
0.996,0.018,0.016
0.991,0.007,0.017
0.999,-0.001,0.006
0.999,0.005,0.015
0.991,0.014,0.015
0.999,0.013,0.014
0.993,0.006,0.021
0.998,0.001,0.006
1.001,0.006,0.019
0.991,0.02,0.013
0.994,0.013,0.015
0.997,0.01,0.02
0.995,-0.005,0.001
0.999,0.0,0.017
0.995,0.019,0.017
0.992,0.012,0.017
1.006,0.006,0.008
0.998,0.002,0.017
0.989,0.017,0.016
0.991,0.016,0.015
-0.996,-0.009,0.014
-0.996,-0.007,0.011
-0.999,-0.003,0.008
-0.996,-0.012,0.013
-1.005,-0.006,0.013
-0.994,-0.012,0.013
-1.001,-0.004,0.007
-1.001,-0.008,0.019
-1.008,-0.01,0.015
-0.99,-0.011,0.014
-1.0,-0.002,0.009
-0.996,-0.002,0.012
-1.002,-0.014,0.018
-1.002,-0.016,0.013
-0.996,-0.003,0.013
-0.995,0.001,0.01
-0.997,-0.006,0.016
-1.005,-0.017,0.02
-1.001,-0.016,0.009
-0.997,0.005,0.013
-0.992,-0.002,0.013
-1.001,-0.022,0.02
-1.002,-0.011,0.01
-0.997,0.008,0.011
-0.992,-0.0,0.011
