mx,my,mz
0.197,1.01,0.254
0.197,0.996,0.235
0.202,0.983,0.223
0.202,0.983,0.223
0.195,0.973,0.204
0.195,0.964,0.19
0.202,0.958,0.166
0.202,0.958,0.138
0.211,0.954,0.138
0.224,0.942,0.114
0.233,0.929,0.078
0.242,0.917,0.054
0.242,0.917,0.054
0.25,0.899,0.017
0.255,0.884,-0.011
0.25,0.858,-0.054
0.242,0.835,-0.084
0.242,0.835,-0.084
0.226,0.812,-0.119
0.218,0.781,-0.149
0.205,0.751,-0.173
0.205,0.751,-0.196
0.19,0.722,-0.196
0.175,0.7,-0.211
0.17,0.671,-0.222
0.171,0.644,-0.231
0.171,0.644,-0.231
0.17,0.611,-0.236
0.172,0.589,-0.231
0.172,0.559,-0.236
0.165,0.536,-0.231
0.165,0.536,-0.231
0.16,0.517,-0.231
0.151,0.488,-0.234
0.144,0.461,-0.237
0.144,0.421,-0.242
0.136,0.421,-0.242
0.123,0.374,-0.244
0.109,0.339,-0.237
0.091,0.301,-0.223
0.091,0.301,-0.223
0.059,0.265,-0.2
0.022,0.242,-0.169
-0.021,0.224,-0.14
-0.074,0.214,-0.104
-0.074,0.214,-0.104
-0.134,0.225,-0.08
-0.2,0.25,-0.052
-0.269,0.289,-0.031
-0.269,0.324,-0.033
-0.33,0.324,-0.033
-0.387,0.368,-0.03
-0.438,0.42,-0.039
-0.479,0.477,-0.053
-0.479,0.477,-0.053
-0.507,0.539,-0.076
-0.531,0.603,-0.114
-0.531,0.658,-0.15
-0.536,0.71,-0.189
-0.536,0.71,-0.189
-0.526,0.753,-0.234
-0.503,0.792,-0.274
-0.481,0.825,-0.316
-0.481,0.848,-0.352
-0.449,0.848,-0.352
-0.415,0.865,-0.389
-0.375,0.873,-0.43
-0.337,0.875,-0.459
-0.337,0.875,-0.459
-0.298,0.873,-0.486
-0.26,0.865,-0.51
-0.219,0.852,-0.528
-0.173,0.835,-0.545
-0.173,0.835,-0.545
-0.126,0.81,-0.559
-0.088,0.783,-0.561
-0.051,0.75,-0.568
-0.025,0.721,-0.566
-0.025,0.721,-0.566
-0.005,0.688,-0.573
0.019,0.658,-0.572
0.035,0.623,-0.578
0.035,0.623,-0.578
0.048,0.592,-0.585
0.056,0.557,-0.586
0.056,0.53,-0.589
0.059,0.498,-0.589
0.059,0.498,-0.589
0.059,0.472,-0.588
0.052,0.445,-0.585
0.046,0.421,-0.591
0.042,0.397,-0.588
0.042,0.397,-0.588
0.029,0.377,-0.591
0.022,0.362,-0.597
0.014,0.347,-0.602
0.014,0.347,-0.602
0.0,0.337,-0.603
-0.014,0.331,-0.604
-0.023,0.318,-0.606
-0.029,0.311,-0.617
-0.029,0.311,-0.617
-0.038,0.303,-0.613
-0.048,0.3,-0.62
-0.06,0.295,-0.629
-0.072,0.3,-0.64
-0.072,0.3,-0.64
-0.084,0.301,-0.651
-0.098,0.307,-0.665
-0.115,0.309,-0.669
-0.115,0.309,-0.669
-0.127,0.313,-0.675
-0.136,0.323,-0.69
-0.154,0.326,-0.697
-0.166,0.334,-0.703
-0.166,0.334,-0.703
-0.178,0.343,-0.715
-0.19,0.354,-0.73
-0.2,0.368,-0.732
-0.213,0.376,-0.741
-0.213,0.376,-0.741
-0.219,0.39,-0.746
-0.235,0.402,-0.754
-0.247,0.414,-0.759
-0.247,0.414,-0.759
-0.263,0.432,-0.772
-0.271,0.438,-0.776
-0.287,0.456,-0.777
-0.309,0.466,-0.781
-0.309,0.466,-0.781
-0.323,0.487,-0.779
-0.347,0.507,-0.782
-0.368,0.527,-0.77
-0.393,0.549,-0.759
-0.393,0.549,-0.759
-0.415,0.574,-0.742
-0.444,0.593,-0.725
-0.466,0.617,-0.712
-0.466,0.617,-0.712
-0.488,0.639,-0.687
-0.501,0.665,-0.659
-0.515,0.68,-0.633
-0.52,0.69,-0.608
-0.52,0.69,-0.608
-0.526,0.706,-0.585
-0.528,0.716,-0.561
-0.532,0.723,-0.543
-0.54,0.726,-0.517
-0.54,0.726,-0.517
-0.543,0.729,-0.489
-0.542,0.737,-0.474
-0.547,0.742,-0.439
-0.547,0.742,-0.439
-0.547,0.739,-0.418
-0.543,0.743,-0.395
-0.539,0.743,-0.38
-0.531,0.744,-0.352
-0.531,0.744,-0.352
-0.526,0.744,-0.329
-0.518,0.737,-0.315
-0.521,0.737,-0.298
-0.518,0.732,-0.293
-0.518,0.732,-0.293
-0.511,0.738,-0.289
-0.515,0.733,-0.277
-0.518,0.737,-0.274
-0.518,0.737,-0.274
-0.51,0.743,-0.277
-0.511,0.746,-0.277
-0.51,0.752,-0.277
-0.508,0.755,-0.283
-0.508,0.755,-0.283
-0.505,0.763,-0.287
-0.499,0.766,-0.283
-0.495,0.764,-0.276
-0.485,0.769,-0.271
-0.485,0.769,-0.271
-0.476,0.773,-0.266
-0.458,0.778,-0.259
-0.449,0.778,-0.259
-0.449,0.778,-0.259
-0.432,0.783,-0.264
-0.419,0.784,-0.258
-0.403,0.795,-0.264
-0.384,0.801,-0.265
-0.384,0.801,-0.265
-0.37,0.8,-0.28
-0.352,0.81,-0.276
-0.331,0.811,-0.285
-0.31,0.817,-0.293
-0.31,0.817,-0.293
-0.292,0.824,-0.304
-0.271,0.83,-0.307
-0.256,0.829,-0.318
-0.256,0.829,-0.318
-0.244,0.827,-0.324
-0.226,0.826,-0.338
