timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_03.31.48.374,-0.63700,-0.91800,0.01700,8.50500,-81.02500,-85.82000,-0.00500,0.20500,-0.17300,83.53000,0.00000
041225_03.31.48.386,-0.57500,-0.97000,0.04700,7.38500,-60.76000,-91.80500,-0.00500,0.20500,-0.17300,82.89000,-0.64000
041225_03.31.48.398,-0.54800,-0.96200,0.14500,7.42000,-51.15300,-86.80000,0.00900,0.21700,-0.17300,83.32000,0.43000
041225_03.31.48.410,-0.52400,-1.06000,0.12600,13.40500,-52.83300,-63.15800,0.01000,0.22600,-0.17700,83.03000,-0.29000
041225_03.31.48.422,-0.55600,-1.03800,0.15200,47.19700,-57.27800,-45.25500,0.01900,0.23200,-0.17000,83.23000,0.20000
041225_03.31.48.434,-0.42700,-1.02700,0.08500,54.72200,-70.54300,-29.80200,0.02700,0.24300,-0.16500,83.69000,0.46000
041225_03.31.48.445,-0.33000,-1.03000,0.06000,58.71300,-88.11300,-17.22000,0.02700,0.24300,-0.16500,83.12000,-0.57000
041225_03.31.48.457,-0.26200,-1.01900,0.04600,59.23700,-101.32500,-11.25200,0.04000,0.24700,-0.16000,83.70000,0.58000
041225_03.31.48.468,-0.24100,-0.99800,0.09100,60.35800,-107.69500,-11.56800,0.05000,0.25800,-0.17000,83.18000,-0.52000
041225_03.31.48.480,-0.27800,-1.03000,0.09300,55.91200,-108.86800,-16.18700,0.06600,0.26700,-0.18300,83.29000,0.11000
041225_03.31.48.492,-0.34400,-0.98500,0.09500,50.15500,-103.79300,-21.54200,0.08300,0.27700,-0.18600,83.23000,-0.06000
041225_03.31.48.503,-0.45500,-0.92200,0.08800,46.70800,-96.09200,-23.39800,0.08300,0.27700,-0.18600,83.51000,0.28000
041225_03.31.48.515,-0.53400,-0.86700,0.13000,43.61000,-88.81300,-22.75000,0.09500,0.29200,-0.19300,83.67000,0.16000
041225_03.31.48.527,-0.51300,-0.82400,0.20600,39.51500,-81.84800,-21.92700,0.10500,0.30400,-0.19900,83.07000,-0.60000
041225_03.31.48.538,-0.48400,-0.83600,0.28700,34.65000,-71.10300,-18.39200,0.11500,0.31200,-0.20600,83.28000,0.21000
041225_03.31.48.550,-0.45700,-0.83500,0.31900,28.29800,-58.50200,-16.92300,0.11500,0.31900,-0.20900,83.42000,0.14000
041225_03.31.48.561,-0.40700,-0.80800,0.26800,12.39000,-18.98700,-31.95500,0.12500,0.31900,-0.20900,83.23000,-0.19000
041225_03.31.48.573,-0.39300,-0.79700,0.31100,4.20000,2.67800,-38.64000,0.13300,0.32500,-0.20500,83.89000,0.66000
041225_03.31.48.584,-0.19700,-0.74800,0.35300,1.34700,16.38000,-39.25200,0.13300,0.32900,-0.21000,83.62000,-0.27000
041225_03.31.48.596,-0.05500,-0.76200,0.32000,-0.64700,19.23300,-34.63200,0.13500,0.34200,-0.20800,83.05000,-0.57000
041225_03.31.48.608,0.07400,-0.79500,0.33900,-1.69700,16.25700,-27.59700,0.13500,0.34200,-0.20800,83.43000,0.38000
041225_03.31.48.620,0.19200,-0.84100,0.37100,-5.05700,8.97700,-18.58500,0.13200,0.33700,-0.20400,83.59000,0.16000
