ax,ay,az
-0.034,0.003,1.01
-0.038,0.002,1.003
-0.044,0.001,0.999
-0.048,-0.002,0.998
-0.045,-0.003,1.001
-0.031,0.002,1.003
-0.035,0.005,1.011
-0.04,0.001,0.998
-0.048,-0.007,1.003
-0.034,0.003,1.0
-0.031,-0.002,1.005
-0.039,0.002,1.002
-0.048,-0.004,1.001
-0.052,-0.002,0.995
-0.039,0.003,1.001
-0.032,0.001,1.001
-0.043,0.0,1.003
-0.047,-0.003,0.996
-0.051,-0.002,1.001
-0.039,0.002,1.001
-0.048,0.004,1.005
-0.049,-0.001,0.996
-0.045,-0.001,1.003
-0.036,0.007,1.003
-0.038,0.001,1.006
-0.015,0.978,-0.02
-0.022,0.977,-0.016
-0.021,0.976,-0.017
-0.03,0.98,-0.017
-0.02,0.969,-0.018
-0.024,0.976,-0.016
-0.023,0.976,-0.018
-0.026,0.979,-0.017
-0.021,0.976,-0.021
-0.022,0.978,-0.016
-0.029,0.975,-0.016
-0.024,0.979,-0.022
-0.015,0.973,-0.017
-0.026,0.98,-0.019
-0.024,0.978,-0.016
-0.019,0.968,-0.022
-0.02,0.976,-0.019
-0.027,0.974,-0.017
-0.022,0.975,-0.02
-0.029,0.977,-0.025
-0.022,0.98,-0.027
-0.032,0.98,-0.021
-0.033,0.975,-0.019
-0.024,0.973,-0.022
-0.013,0.976,-0.017
-0.005,0.015,-0.995
-0.001,0.017,-0.994
0.0,0.026,-0.993
-0.008,0.005,-0.991
-0.005,0.014,-0.998
-0.004,0.017,-0.993
-0.001,0.022,-0.996
-0.017,0.014,-0.989
0.011,0.013,-0.991
-0.01,0.017,-1.0
-0.004,0.02,-0.986
0.0,0.018,-0.993
-0.005,0.015,-0.994
-0.0,0.012,-0.994
-0.0,0.016,-0.992
0.001,0.01,-0.992
-0.005,0.021,-0.998
-0.006,0.016,-0.989
0.0,0.02,-0.994
-0.008,0.014,-0.991
-0.003,0.012,-0.992
-0.002,0.02,-0.994
-0.005,0.017,-0.994
-0.005,0.017,-0.994
-0.005,0.019,-0.995
0.027,-1.013,0.025
0.029,-1.011,0.032
0.033,-1.011,0.028
0.029,-1.012,0.034
0.03,-1.01,0.027
0.024,-1.011,0.029
0.031,-1.011,0.034
0.035,-1.013,0.027
0.029,-1.011,0.027
0.029,-1.009,0.03
0.057,-1.014,0.041
0.024,-1.005,0.027
0.017,-1.01,0.024
0.046,-1.016,0.029
0.045,-1.018,0.026
0.032,-1.01,0.039
0.01,-1.005,0.021
0.018,-1.01,0.024
0.038,-1.013,0.039
0.036,-1.014,0.036
0.018,-1.009,0.025
0.033,-1.013,0.033
0.035,-1.013,0.034
0.034,-1.012,0.025
0.022,-1.009,0.024
0.997,0.011,0.017
0.994,0.004,0.009
1.003,0.002,0.016
0.995,0.003,0.011
0.998,0.001,0.012
1.003,0.007,0.013
1.003,-0.032,0.011
0.983,-0.007,0.024
0.986,0.083,-0.024
0.994,0.057,0.035
1.007,-0.067,-0.002
0.997,-0.016,0.005
0.989,0.049,0.039
0.99,0.082,0.187
0.989,-0.02,-0.01
1.005,-0.032,-0.068
1.0,0.004,0.0
0.999,0.027,-0.009
0.993,-0.0,-0.06
0.999,-0.014,0.008
0.993,0.013,0.006
0.991,0.019,0.008
0.996,0.014,0.007
0.996,-0.004,0.009
1.0,0.006,0.013
-1.0,-0.005,0.013
-0.999,0.006,0.007
-0.999,0.004,0.013
-0.997,-0.006,0.009
-1.0,0.008,0.01
-1.001,0.001,0.006
-0.999,-0.004,0.014
-0.996,-0.011,0.014
-0.996,0.002,0.005
-0.995,0.007,0.011
-1.004,0.003,0.015
-0.999,-0.005,0.017
-1.0,-0.007,0.014
-1.0,0.008,0.008
-0.995,-0.004,0.012
-0.997,-0.002,0.012
-0.997,0.002,0.01
-0.998,0.001,0.009
-1.0,0.002,0.014
-0.998,-0.007,0.014
-1.001,0.004,0.009
-0.996,0.005,0.016
-1.001,0.0,0.012
-0.997,0.001,0.012
-0.999,0.0,0.012
