ax,ay,az
0.001,-0.024,0.995
0.003,-0.024,0.997
0.003,-0.024,0.994
0.001,-0.024,0.99
0.001,-0.025,0.992
0.003,-0.024,0.995
0.002,-0.023,0.989
-0.0,-0.023,0.983
0.001,-0.024,0.992
0.002,-0.024,0.995
0.002,-0.024,0.99
0.002,-0.023,0.986
0.0,-0.023,0.988
0.001,-0.023,0.994
0.002,-0.023,0.992
0.002,-0.024,0.988
0.001,-0.024,0.989
0.001,-0.024,0.993
0.002,-0.022,0.987
0.001,-0.023,0.983
0.001,-0.022,0.988
0.002,-0.025,1.006
0.005,-0.026,1.012
0.003,-0.025,0.998
0.001,-0.023,0.979
0.004,0.99,0.015
0.005,0.983,0.014
0.003,0.988,0.015
0.003,0.994,0.015
0.004,0.984,0.016
0.005,0.98,0.014
0.004,0.984,0.015
0.002,0.995,0.016
0.003,0.985,0.015
0.004,0.982,0.015
0.004,0.986,0.015
0.004,0.989,0.015
0.005,0.982,0.015
0.004,0.986,0.015
0.004,0.989,0.016
0.002,0.99,0.017
0.004,0.984,0.016
0.004,0.983,0.016
0.004,0.989,0.015
0.004,0.989,0.015
0.003,0.985,0.015
0.005,0.983,0.015
0.004,0.988,0.015
0.003,0.987,0.016
0.004,0.985,0.016
0.066,0.012,-1.003
0.065,0.012,-1.006
0.06,0.01,-1.003
0.06,0.011,-0.998
0.061,0.011,-1.005
0.06,0.011,-1.01
0.063,0.011,-1.002
0.061,0.01,-0.999
0.061,0.01,-1.002
0.061,0.011,-1.004
0.061,0.01,-1.0
0.061,0.011,-1.002
0.061,0.012,-1.007
0.062,0.012,-1.004
0.062,0.011,-1.001
0.061,0.01,-1.003
0.061,0.012,-1.005
0.061,0.011,-1.005
0.061,0.01,-1.001
0.061,0.011,-1.001
0.06,0.012,-1.004
0.061,0.012,-1.003
0.061,0.011,-1.001
0.061,0.011,-1.006
0.062,0.012,-1.003
0.029,-0.995,-0.026
0.033,-1.007,-0.028
0.031,-1.003,-0.025
0.029,-1.0,-0.026
0.029,-0.996,-0.025
0.03,-1.002,-0.028
0.033,-1.006,-0.029
0.031,-0.998,-0.029
0.032,-0.997,-0.027
0.031,-1.004,-0.026
0.03,-1.006,-0.025
0.031,-0.996,-0.025
0.03,-1.002,-0.025
0.031,-1.005,-0.027
0.031,-1.0,-0.027
0.031,-0.997,-0.025
0.032,-0.999,-0.025
0.031,-1.005,-0.027
0.031,-1.001,-0.027
0.03,-0.997,-0.023
0.03,-0.999,-0.021
0.03,-1.003,-0.03
0.03,-1.002,-0.032
0.061,-1.0,-0.025
0.031,-1.004,-0.026
1.016,0.011,0.029
1.023,0.012,0.028
1.015,0.011,0.03
1.01,0.01,0.03
1.026,0.013,0.028
1.013,0.01,0.028
1.011,0.01,0.03
1.015,0.01,0.03
1.018,0.01,0.028
1.017,0.011,0.028
1.01,0.009,0.028
1.017,0.011,0.028
1.017,0.011,0.027
1.019,0.01,0.029
1.012,0.011,0.03
1.015,0.012,0.03
1.017,0.011,0.029
1.015,0.012,0.03
1.014,0.01,0.03
1.018,0.011,0.028
1.018,0.011,0.027
1.015,0.011,0.028
1.015,0.011,0.029
1.017,0.012,0.028
1.018,0.012,0.03
-0.985,-0.021,-0.037
-0.983,-0.018,-0.039
-0.977,-0.019,-0.037
-0.975,-0.016,-0.04
-0.984,-0.023,-0.032
-0.984,-0.02,-0.038
-0.975,-0.022,-0.035
-0.975,-0.02,-0.035
-0.977,-0.02,-0.037
-0.981,-0.017,-0.038
-0.972,-0.018,-0.036
-0.979,-0.02,-0.037
-0.983,-0.018,-0.04
-0.98,-0.02,-0.035
-0.975,-0.02,-0.038
-0.975,-0.02,-0.036
-0.982,-0.02,-0.038
-0.98,-0.019,-0.036
-0.976,-0.02,-0.036
-0.974,-0.02,-0.035
-0.979,-0.019,-0.036
-0.981,-0.018,-0.036
-0.974,-0.021,-0.036
-0.978,-0.02,-0.037
-0.983,-0.019,-0.037
