mx,my,mz
-0.279,0.249,-0.341
-0.283,0.248,-0.34
-0.279,0.242,-0.343
-0.284,0.238,-0.355
-0.291,0.236,-0.357
-0.291,0.236,-0.357
-0.29,0.242,-0.362
-0.29,0.244,-0.372
-0.29,0.251,-0.376
-0.295,0.263,-0.377
-0.295,0.263,-0.377
-0.292,0.282,-0.38
-0.284,0.293,-0.377
-0.278,0.303,-0.379
-0.278,0.305,-0.38
-0.278,0.305,-0.38
-0.274,0.307,-0.374
-0.275,0.307,-0.378
-0.277,0.301,-0.373
-0.275,0.309,-0.37
-0.275,0.309,-0.37
-0.279,0.305,-0.368
-0.284,0.305,-0.354
-0.289,0.303,-0.355
-0.296,0.306,-0.345
-0.296,0.306,-0.345
-0.304,0.303,-0.339
-0.314,0.3,-0.331
-0.327,0.293,-0.325
-0.347,0.302,-0.321
-0.347,0.302,-0.321
-0.368,0.3,-0.315
-0.398,0.306,-0.317
-0.406,0.298,-0.315
-0.414,0.292,-0.313
-0.414,0.292,-0.313
-0.421,0.288,-0.324
-0.429,0.289,-0.315
-0.433,0.287,-0.32
-0.436,0.288,-0.321
-0.436,0.288,-0.321
-0.443,0.288,-0.322
-0.446,0.291,-0.325
-0.451,0.297,-0.326
-0.461,0.298,-0.326
-0.461,0.298,-0.326
-0.468,0.298,-0.332
-0.475,0.302,-0.329
-0.482,0.303,-0.343
-0.495,0.308,-0.355
-0.495,0.308,-0.355
-0.503,0.308,-0.368
-0.518,0.299,-0.376
-0.532,0.301,-0.391
-0.545,0.301,-0.41
-0.545,0.301,-0.41
-0.559,0.298,-0.427
-0.567,0.298,-0.449
-0.572,0.299,-0.476
-0.575,0.294,-0.517
-0.575,0.294,-0.517
-0.569,0.287,-0.539
-0.561,0.286,-0.561
-0.556,0.285,-0.574
-0.546,0.287,-0.59
-0.546,0.287,-0.59
-0.531,0.285,-0.608
-0.51,0.288,-0.629
-0.486,0.285,-0.642
-0.458,0.283,-0.655
-0.458,0.283,-0.655
-0.413,0.264,-0.658
-0.368,0.252,-0.655
-0.304,0.238,-0.643
-0.238,0.226,-0.61
-0.238,0.226,-0.61
-0.191,0.228,-0.566
-0.155,0.248,-0.505
-0.155,0.266,-0.451
-0.169,0.294,-0.406
-0.169,0.294,-0.406
-0.2,0.319,-0.369
-0.248,0.349,-0.343
-0.282,0.371,-0.33
-0.323,0.395,-0.334
-0.323,0.395,-0.334
-0.367,0.418,-0.336
-0.408,0.444,-0.338
-0.44,0.463,-0.354
-0.461,0.48,-0.364
-0.461,0.48,-0.364
-0.477,0.494,-0.382
-0.496,0.508,-0.39
-0.507,0.516,-0.398
-0.516,0.513,-0.395
-0.516,0.513,-0.395
-0.52,0.513,-0.39
-0.528,0.508,-0.39
-0.544,0.518,-0.392
-0.556,0.526,-0.394
-0.556,0.526,-0.394
-0.566,0.525,-0.38
-0.575,0.511,-0.375
-0.579,0.505,-0.364
-0.587,0.499,-0.357
-0.587,0.499,-0.357
-0.595,0.494,-0.354
-0.603,0.492,-0.356
-0.611,0.489,-0.348
-0.616,0.487,-0.348
-0.616,0.487,-0.348
-0.626,0.477,-0.345
-0.638,0.474,-0.342
-0.642,0.464,-0.336
-0.652,0.451,-0.331
-0.652,0.451,-0.331
-0.664,0.43,-0.325
-0.673,0.415,-0.326
-0.679,0.398,-0.325
-0.681,0.38,-0.32
-0.681,0.38,-0.32
-0.682,0.354,-0.329
-0.672,0.334,-0.336
-0.652,0.304,-0.348
-0.637,0.281,-0.364
-0.637,0.281,-0.364
-0.614,0.259,-0.389
-0.585,0.229,-0.413
-0.563,0.214,-0.442
-0.533,0.199,-0.464
-0.533,0.199,-0.464
-0.501,0.188,-0.493
-0.467,0.194,-0.522
-0.428,0.202,-0.54
-0.398,0.214,-0.557
-0.398,0.214,-0.557
-0.36,0.227,-0.579
-0.326,0.25,-0.599
-0.292,0.269,-0.622
-0.254,0.304,-0.634
-0.254,0.304,-0.634
-0.219,0.33,-0.649
-0.192,0.364,-0.662
-0.167,0.401,-0.678
-0.148,0.436,-0.69
-0.148,0.436,-0.69
-0.134,0.473,-0.7
-0.135,0.505,-0.706
-0.138,0.53,-0.729
-0.151,0.549,-0.737
-0.151,0.549,-0.737
-0.166,0.561,-0.757
-0.191,0.574,-0.772
-0.21,0.579,-0.777
-0.242,0.585,-0.796
-0.242,0.585,-0.796
-0.278,0.584,-0.804
-0.319,0.576,-0.816
-0.362,0.565,-0.819
-0.399,0.56,-0.82
-0.399,0.56,-0.82
-0.437,0.554,-0.818
-0.471,0.558,-0.81
-0.505,0.558,-0.806
-0.537,0.564,-0.793
-0.537,0.564,-0.793
-0.569,0.562,-0.778
-0.604,0.564,-0.756
-0.635,0.557,-0.723
-0.662,0.555,-0.702
-0.662,0.555,-0.702
-0.685,0.547,-0.671
-0.695,0.539,-0.634
-0.709,0.527,-0.602
-0.71,0.517,-0.559
-0.71,0.517,-0.559
-0.705,0.508,-0.52
-0.697,0.5,-0.478
-0.678,0.486,-0.438
-0.654,0.477,-0.403
-0.654,0.477,-0.403
-0.624,0.473,-0.369
-0.587,0.473,-0.35
-0.553,0.473,-0.326
