gx,gy,gz
0.123,-0.333,0.0
0.07,-0.21,-0.018
0.018,0.14,0.0
0.087,-0.105,0.0
0.105,-0.368,0.0
0.053,-0.14,0.0
0.035,0.105,0.0
0.123,-0.28,0.0
0.053,-0.018,-0.018
0.035,0.07,0.0
0.14,-0.245,0.0
0.105,-0.333,0.0
0.0,0.07,-0.018
0.07,0.053,0.018
0.157,-0.403,0.035
0.087,-0.21,0.018
0.035,0.123,0.018
0.14,-0.175,0.018
0.018,-0.035,-0.018
0.035,0.14,0.0
0.123,-0.368,-0.018
0.105,-0.262,-0.018
0.018,0.07,-0.018
0.087,-0.087,-0.018
0.14,-0.35,-0.035
0.105,-0.192,-0.018
0.053,0.018,-0.018
0.123,-0.14,0.0
0.157,-0.403,-4.48
0.035,0.053,0.0
0.123,-0.21,-0.018
0.123,-0.35,-0.018
0.035,-0.035,-0.018
0.07,0.087,0.018
0.192,-0.385,0.018
0.105,-0.262,0.0
0.018,0.192,0.0
0.14,-0.035,0.0
0.157,-0.437,0.0
0.053,4.375,0.035
0.157,-0.228,0.018
0.123,-0.298,0.0
0.018,0.123,0.0
0.07,0.035,0.0
0.14,-0.385,0.0
0.07,-0.192,0.0
0.018,0.157,0.018
0.105,-0.035,0.0
0.14,-0.333,0.0
0.07,-0.105,0.0
0.0,-0.123,0.0
0.123,-0.35,0.0
0.0,-0.018,0.0
0.018,0.192,0.0
0.14,-0.28,0.018
0.07,-0.35,0.0
0.0,0.14,0.0
0.123,-0.018,0.0
0.157,-0.437,-0.018
0.053,-0.175,-0.018
0.035,0.175,0.0
0.105,-0.455,0.0
0.018,0.0,0.018
0.053,0.07,0.018
0.087,-0.35,-0.018
0.053,-0.315,0.0
0.018,-0.018,0.018
0.053,-0.035,0.018
0.123,-0.35,0.018
0.07,-0.175,0.018
0.0,0.087,0.0
0.087,-0.14,0.0
0.053,-0.14,0.018
0.018,0.175,0.018
0.123,-0.21,0.0
0.087,-0.368,0.0
-0.018,0.087,0.018
0.07,0.087,0.018
0.157,-0.455,0.0
0.035,-0.262,-0.018
0.0,0.262,0.0
0.105,-0.087,0.018
0.105,-0.403,4.463
0.053,0.157,0.0
0.14,-0.262,0.018
0.087,-0.245,0.018
0.035,0.087,0.0
0.087,0.053,0.0
0.123,-0.245,-0.018
0.105,-0.192,-0.018
0.035,0.07,0.0
0.087,0.0,0.0
0.157,-0.315,0.0
0.07,4.305,0.018
0.123,-0.175,0.035
0.123,-0.455,0.018
0.018,-0.018,0.018
0.053,0.123,0.018
0.123,-0.35,0.0
0.07,-0.385,0.0
0.0,0.105,0.018
0.087,-0.018,0.018
0.14,-0.472,0.0
0.053,-0.157,-0.018
0.07,-0.245,-0.018
0.14,-0.385,-0.018
0.087,-0.07,0.018
0.053,0.053,0.018
0.14,-0.228,-0.018
0.123,-0.245,-0.018
0.035,-0.018,0.0
0.053,-0.018,0.0
0.14,-0.35,0.018
0.087,-0.315,0.0
0.0,0.14,0.0
0.14,-0.437,-0.018
0.018,-0.087,0.0
0.035,0.14,0.018
0.123,-0.228,0.0
0.087,-0.35,-0.018
0.053,0.087,-0.018
0.087,0.105,0.0
0.14,-0.35,0.0
0.053,-0.192,0.0
0.018,0.105,0.0
0.105,-0.105,0.0
0.105,-0.14,-0.018
0.053,0.105,0.0
0.123,-0.175,0.0
0.123,-0.385,0.0
0.053,-0.053,0.0
0.07,0.105,0.0
0.14,-0.28,-0.018
0.105,-0.368,-0.018
0.035,0.035,0.018
0.105,0.053,0.035
0.175,-0.42,0.018
0.0,0.192,0.0
0.123,-0.175,0.0
0.087,-0.42,-0.018
