mx,my,mz
-0.226,0.202,-0.444
-0.226,0.202,-0.444
-0.22,0.203,-0.445
-0.216,0.203,-0.444
-0.206,0.2,-0.442
-0.204,0.196,-0.441
-0.204,0.196,-0.441
-0.195,0.194,-0.443
-0.187,0.198,-0.445
-0.183,0.192,-0.451
-0.176,0.196,-0.453
-0.176,0.196,-0.453
-0.166,0.192,-0.46
-0.151,0.191,-0.46
-0.144,0.19,-0.47
-0.136,0.186,-0.473
-0.136,0.186,-0.473
-0.134,0.187,-0.471
-0.126,0.187,-0.482
-0.124,0.185,-0.48
-0.119,0.188,-0.484
-0.119,0.188,-0.484
-0.115,0.185,-0.493
-0.103,0.188,-0.498
-0.097,0.182,-0.498
-0.094,0.184,-0.499
-0.094,0.184,-0.499
-0.089,0.18,-0.507
-0.084,0.18,-0.514
-0.079,0.179,-0.517
-0.079,0.177,-0.52
-0.079,0.177,-0.52
-0.077,0.173,-0.53
-0.078,0.177,-0.523
-0.075,0.179,-0.525
-0.073,0.173,-0.532
-0.073,0.173,-0.532
-0.07,0.176,-0.533
-0.069,0.175,-0.536
-0.066,0.173,-0.54
-0.067,0.176,-0.556
-0.067,0.176,-0.556
-0.059,0.179,-0.563
-0.057,0.182,-0.563
-0.054,0.191,-0.577
-0.054,0.196,-0.586
-0.054,0.196,-0.586
-0.051,0.202,-0.592
-0.048,0.208,-0.597
-0.046,0.216,-0.614
-0.048,0.217,-0.616
-0.048,0.217,-0.616
-0.046,0.226,-0.625
-0.05,0.228,-0.621
-0.051,0.235,-0.628
-0.049,0.232,-0.634
-0.049,0.232,-0.634
-0.053,0.237,-0.636
-0.058,0.235,-0.642
-0.056,0.235,-0.644
-0.053,0.236,-0.64
-0.053,0.236,-0.64
-0.056,0.234,-0.643
-0.05,0.237,-0.638
-0.044,0.236,-0.627
-0.035,0.239,-0.627
-0.035,0.239,-0.627
-0.022,0.229,-0.621
-0.014,0.22,-0.6
-0.001,0.199,-0.589
0.006,0.178,-0.569
0.006,0.178,-0.569
0.009,0.147,-0.553
0.01,0.102,-0.538
-0.007,0.063,-0.525
-0.021,0.023,-0.519
-0.021,0.023,-0.519
-0.044,-0.018,-0.517
-0.072,-0.059,-0.526
-0.12,-0.093,-0.531
-0.178,-0.118,-0.563
-0.178,-0.118,-0.563
-0.24,-0.126,-0.579
-0.308,-0.105,-0.611
-0.372,-0.057,-0.638
-0.425,0.007,-0.652
-0.425,0.007,-0.652
-0.471,0.088,-0.655
-0.494,0.18,-0.641
-0.498,0.267,-0.611
-0.488,0.338,-0.578
-0.488,0.338,-0.578
-0.465,0.403,-0.541
-0.441,0.462,-0.505
-0.415,0.507,-0.458
-0.385,0.541,-0.407
-0.385,0.541,-0.407
-0.364,0.568,-0.356
-0.335,0.587,-0.314
-0.309,0.601,-0.265
-0.283,0.609,-0.22
-0.283,0.609,-0.22
-0.258,0.61,-0.186
-0.237,0.605,-0.149
-0.225,0.601,-0.111
-0.216,0.6,-0.092
-0.216,0.6,-0.092
-0.209,0.604,-0.073
-0.203,0.606,-0.058
-0.201,0.601,-0.042
-0.197,0.602,-0.033
-0.197,0.602,-0.033
-0.199,0.603,-0.021
-0.199,0.606,-0.009
-0.201,0.613,0.007
-0.209,0.631,0.01
-0.209,0.631,0.01
-0.216,0.645,0.025
-0.224,0.669,0.024
-0.231,0.7,0.015
-0.242,0.741,0.014
-0.242,0.741,0.014
-0.25,0.792,0.016
-0.26,0.839,0.005
-0.263,0.879,-0.002
-0.262,0.917,-0.016
-0.262,0.917,-0.016
-0.257,0.953,-0.04
-0.231,0.991,-0.07
-0.2,1.028,-0.102
-0.155,1.054,-0.147
-0.155,1.054,-0.147
-0.102,1.064,-0.208
-0.032,1.059,-0.269
0.046,1.029,-0.334
0.11,0.983,-0.393
0.11,0.983,-0.393
0.171,0.912,-0.426
0.22,0.824,-0.467
0.24,0.753,-0.49
0.246,0.682,-0.514
0.246,0.682,-0.514
0.246,0.595,-0.539
0.231,0.522,-0.559
0.206,0.445,-0.574
0.179,0.368,-0.581
0.179,0.368,-0.581
0.144,0.301,-0.583
0.096,0.233,-0.589
0.044,0.18,-0.599
-0.013,0.128,-0.606
-0.013,0.128,-0.606
-0.071,0.081,-0.609
-0.121,0.035,-0.606
-0.183,-0.015,-0.594
-0.249,-0.048,-0.591
-0.249,-0.048,-0.591
-0.317,-0.077,-0.572
-0.383,-0.1,-0.567
-0.453,-0.107,-0.547
-0.519,-0.107,-0.533
-0.519,-0.107,-0.533
-0.591,-0.092,-0.515
-0.654,-0.073,-0.497
-0.715,-0.05,-0.479
-0.774,-0.02,-0.462
-0.774,-0.02,-0.462
-0.82,0.01,-0.452
-0.861,0.056,-0.435
-0.895,0.111,-0.432
-0.92,0.172,-0.432
-0.92,0.172,-0.432
-0.927,0.237,-0.441
-0.93,0.302,-0.447
-0.924,0.353,-0.459
-0.91,0.396,-0.467
-0.91,0.396,-0.467
-0.898,0.435,-0.478
-0.875,0.466,-0.472
-0.858,0.488,-0.472
-0.843,0.501,-0.468
-0.843,0.501,-0.468
-0.828,0.511,-0.469
-0.81,0.52,-0.471
-0.792,0.534,-0.475
-0.774,0.55,-0.479
-0.774,0.55,-0.479
-0.747,0.572,-0.474
-0.717,0.589,-0.474
-0.687,0.613,-0.464
-0.655,0.641,-0.463
-0.655,0.641,-0.463
-0.619,0.663,-0.45
-0.588,0.684,-0.45
-0.555,0.705,-0.437
-0.529,0.722,-0.439
-0.529,0.722,-0.439
-0.508,0.732,-0.443
-0.481,0.742,-0.442
-0.46,0.746,-0.452
-0.435,0.753,-0.469
-0.435,0.753,-0.469
-0.405,0.757,-0.485
-0.387,0.758,-0.499
-0.367,0.758,-0.512
-0.354,0.76,-0.522
-0.354,0.76,-0.522
-0.332,0.761,-0.539
-0.315,0.76,-0.546
-0.318,0.766,-0.54
-0.31,0.769,-0.551
-0.31,0.769,-0.551
-0.299,0.779,-0.557
-0.286,0.781,-0.565
-0.268,0.785,-0.567
-0.258,0.784,-0.567
-0.258,0.784,-0.567
-0.238,0.787,-0.572
-0.224,0.792,-0.578
-0.212,0.794,-0.582
-0.193,0.798,-0.582
-0.193,0.798,-0.582
-0.177,0.795,-0.592
-0.16,0.791,-0.609
-0.147,0.788,-0.638
-0.139,0.773,-0.654
-0.139,0.773,-0.654
-0.131,0.756,-0.684
-0.121,0.742,-0.709
-0.113,0.724,-0.718
-0.1,0.703,-0.741
-0.1,0.703,-0.741
-0.093,0.669,-0.747
-0.082,0.65,-0.759
-0.075,0.623,-0.765
-0.075,0.604,-0.767
-0.075,0.604,-0.767
-0.075,0.583,-0.762
-0.075,0.569,-0.759
-0.072,0.555,-0.755
-0.072,0.54,-0.745
