timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
25-12-18_19.57.30.301,-0.04014,-0.04056,0.98905,0.00451,-0.00092,0.00015,-131.10553,-269.08057,-474.14307,226.79424,0.0
25-12-18_19.57.30.304,-0.05337,-0.02348,0.96984,0.01008,-0.00397,0.00397,-134.75952,-269.08057,-472.68146,226.79424,0.0
25-12-18_19.57.30.306,-0.05673,-0.01214,0.98082,-0.00206,-0.00298,0.00237,-132.12865,-264.25729,-479.40482,226.69507,-0.09917000000001508
25-12-18_19.57.30.308,-0.04764,-0.03538,1.00125,-0.00809,-0.00183,-0.00275,-134.17488,-267.47281,-476.62778,226.69507,0.0
25-12-18_19.57.30.311,-0.03636,-0.04136,0.99759,0.00283,-0.00137,-0.00099,-134.17488,-267.47281,-476.62778,226.69507,0.0
25-12-18_19.57.30.313,-0.04837,-0.02574,0.97447,0.00901,-0.00336,0.00221,-132.56712,-268.78824,-478.23553,226.69507,0.0
25-12-18_19.57.30.315,-0.05655,-0.00665,0.97338,-0.0058,-0.00252,-0.0013,-134.32104,-268.34976,-470.92755,226.69507,0.0
25-12-18_19.57.30.317,-0.03813,-0.04002,1.00333,0.00153,-0.00191,-0.00137,-133.44409,-269.37289,-468.44281,226.69507,0.0
25-12-18_19.57.30.318,-0.04575,-0.02916,0.98051,0.00878,-0.00252,0.00221,-130.8132,-267.76514,-469.90442,226.69507,0.0
25-12-18_19.57.30.320,-0.05496,-0.01354,0.96886,0.00244,-0.00183,0.00305,-130.8132,-267.76514,-469.90442,226.69507,0.0
25-12-18_19.57.30.322,-0.04898,-0.0266,0.98777,-0.00588,-0.00122,-0.00061,-132.56712,-267.76514,-468.73514,226.69507,0.0
25-12-18_19.57.30.324,-0.03806,-0.04252,0.99948,-0.00046,-0.00137,-0.00176,-129.20544,-266.742,-470.19675,226.69507,0.0
25-12-18_19.57.30.327,-0.04355,-0.03007,0.98613,0.00817,-0.00214,0.00199,-131.69017,-268.49594,-474.72769,226.69507,0.0
25-12-18_19.57.30.329,-0.04917,-0.01269,0.97258,0.00313,-0.00206,0.00321,-131.69017,-268.49594,-474.72769,226.48593,-0.20913999999999078
25-12-18_19.57.30.331,-0.05081,-0.01757,0.98369,-0.00687,-0.00015,-0.00031,-131.25168,-267.32666,-475.31235,226.48593,0.0
25-12-18_19.57.30.333,-0.04148,-0.03849,0.99881,-0.00099,-0.00176,-0.00237,-132.12865,-270.98065,-472.38913,226.48593,0.0
25-12-18_19.57.30.335,-0.0416,-0.03331,0.99387,0.00832,-0.00313,0.00122,-127.30537,-268.93442,-472.97379,226.48593,0.0
25-12-18_19.57.30.337,-0.051,-0.02214,0.97801,0.00275,-0.00221,0.0029,-128.91313,-269.08057,-474.43539,226.48593,0.0
25-12-18_19.57.30.339,-0.05191,-0.01879,0.9799,-0.0071,-0.00015,0.00092,-128.91313,-269.08057,-474.43539,226.48593,0.0
25-12-18_19.57.30.341,-0.0452,-0.03666,0.99296,-0.00275,-0.00443,0.00061,-131.83632,-269.22675,-475.16617,226.48593,0.0
25-12-18_19.57.30.343,-0.0413,-0.03453,0.97905,0.00664,-0.00328,0.00351,-129.93625,-266.742,-471.65836,226.48593,0.0
25-12-18_19.57.30.345,-0.05466,-0.01525,0.97923,-0.00588,0.00031,0.0016,-130.37473,-265.42657,-476.62778,226.48593,0.0
25-12-18_19.57.30.347,-0.04642,-0.03257,0.99137,-0.00657,0.00023,-0.00183,-129.20544,-269.81137,-471.8045,226.48593,0.0
25-12-18_19.57.30.350,-0.04227,-0.03648,0.99387,0.00794,-0.00367,-0.00076,-129.20544,-269.81137,-471.8045,226.43816,-0.04776999999998566
