timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_02.03.23.603,-0.01700,-0.00000,1.00300,0.10500,-0.17500,-0.01800,0.41100,0.47000,-1.27800,85.99000,0.00000
041225_02.03.23.614,-0.01600,0.00200,1.00300,0.14000,-0.19200,-0.01800,0.40600,0.47300,-1.27300,86.56000,0.57000
041225_02.03.23.626,-0.01500,0.00100,1.00300,0.08700,-0.17500,0.00000,0.40600,0.47300,-1.27300,85.56000,-1.00000
041225_02.03.23.637,-0.01500,0.00100,1.00400,0.08700,-0.17500,0.00000,0.41000,0.47500,-1.27700,86.51000,0.95000
041225_02.03.23.649,-0.01500,0.00300,1.00500,0.10500,-0.17500,0.00000,0.40800,0.46900,-1.27200,86.29000,-0.22000
041225_02.03.23.661,-0.01500,0.00200,1.00300,0.10500,-0.17500,0.00000,0.40200,0.47300,-1.27600,86.08000,-0.21000
041225_02.03.23.672,-0.01500,0.00200,1.00300,0.08700,-0.19200,0.00000,0.40600,0.47000,-1.27300,86.15000,0.07000
041225_02.03.23.683,-0.01500,0.00200,1.00200,0.07000,-0.15700,0.01800,0.40600,0.47000,-1.27300,86.26000,0.11000
041225_02.03.23.695,-0.01600,0.00100,1.00400,0.07000,-0.15700,0.01800,0.40600,0.47100,-1.27100,85.99000,-0.27000
041225_02.03.23.706,-0.01600,0.00200,1.00300,0.08700,-0.15700,0.01800,0.40000,0.47300,-1.27000,85.69000,-0.30000
041225_02.03.23.718,-0.01500,0.00100,1.00200,0.08700,-0.15700,0.01800,0.40400,0.47100,-1.26600,85.87000,0.18000
041225_02.03.23.729,-0.01600,0.00200,1.00200,0.07000,-0.15700,0.01800,0.40200,0.47100,-1.27700,85.86000,-0.01000
041225_02.03.23.741,-0.01700,0.00200,1.00500,0.10500,-0.15700,0.03500,0.40200,0.47100,-1.27700,85.96000,0.10000
041225_02.03.23.752,-0.01700,0.00300,1.00100,0.10500,-0.14000,0.03500,0.40500,0.47300,-1.27000,86.20000,0.24000
041225_02.03.23.764,-0.01600,0.00300,0.99800,0.07000,-0.12300,0.03500,0.40600,0.47200,-1.26800,85.91000,-0.29000
041225_02.03.23.775,-0.02000,0.00100,1.00200,0.08700,-0.12300,0.03500,0.40800,0.47000,-1.27600,86.77000,0.86000
041225_02.03.23.787,-0.01700,0.00300,1.00000,0.08700,-0.12300,0.01800,0.40800,0.47000,-1.27600,85.73000,-1.04000
041225_02.03.23.798,-0.01600,0.00000,1.00300,0.05300,-0.12300,0.00000,0.40300,0.47400,-1.27400,86.25000,0.52000
041225_02.03.23.809,-0.01700,0.00100,1.00000,0.07000,-0.10500,0.01800,0.40300,0.47000,-1.26800,85.59000,-0.66000
041225_02.03.23.821,-0.01700,0.00200,0.99900,0.08700,-0.12300,0.01800,0.40000,0.46900,-1.27400,86.15000,0.56000
041225_02.03.23.832,-0.01700,0.00200,0.99900,0.08700,-0.12300,0.03500,0.40600,0.47200,-1.26800,85.66000,-0.49000
041225_02.03.23.844,-0.01600,0.00200,1.00200,0.08700,-0.12300,0.01800,0.40600,0.47200,-1.26800,85.93000,0.27000
041225_02.03.23.855,-0.01500,0.00200,1.00000,0.08700,-0.10500,0.01800,0.40300,0.47300,-1.26700,85.41000,-0.52000
041225_02.03.23.866,-0.01600,0.00200,0.99900,0.10500,-0.12300,0.01800,0.40600,0.47000,-1.27000,86.17000,0.76000
041225_02.03.23.878,-0.01600,0.00100,1.00000,0.08700,-0.14000,0.00000,0.40400,0.47000,-1.26900,85.95000,-0.22000
041225_02.03.23.889,-0.01600,0.00300,1.00200,0.08700,-0.14000,0.00000,0.40100,0.47000,-1.27400,85.88000,-0.07000
041225_02.03.23.901,-0.01400,0.00200,0.99800,0.08700,-0.12300,0.01800,0.40100,0.47000,-1.27400,85.70000,-0.18000
041225_02.03.23.912,-0.01600,0.00200,1.00100,0.10500,-0.12300,0.00000,0.40600,0.46800,-1.26700,85.90000,0.20000
041225_02.03.23.923,-0.01600,0.00200,1.00200,0.07000,-0.12300,0.00000,0.40300,0.47000,-1.27800,85.24000,-0.66000
041225_02.03.23.935,-0.01500,0.00200,1.00100,0.07000,-0.14000,0.00000,0.40000,0.47100,-1.27400,86.25000,1.01000
041225_02.03.23.946,-0.01600,0.00300,1.00000,0.08700,-0.14000,0.01800,0.41000,0.47100,-1.27100,86.09000,-0.16000
041225_02.03.23.958,-0.01400,0.00100,1.00000,0.08700,-0.12300,0.01800,0.41000,0.47100,-1.27100,85.66000,-0.43000
041225_02.03.23.969,-0.01500,0.00100,1.00100,0.08700,-0.10500,0.00000,0.40700,0.46900,-1.26900,85.80000,0.14000
041225_02.03.23.980,-0.01500,0.00200,1.00100,0.10500,-0.10500,0.00000,0.40600,0.47200,-1.26900,86.27000,0.47000
041225_02.03.23.992,-0.01500,0.00200,1.00200,0.08700,-0.08700,0.01800,0.40400,0.46900,-1.27200,85.93000,-0.34000
041225_02.03.24.004,-0.01600,0.00100,1.00100,0.10500,-0.12300,0.01800,0.40400,0.46900,-1.27300,85.74000,-0.19000
041225_02.03.24.015,-0.01500,0.00100,1.00000,0.08700,-0.12300,0.01800,0.40500,0.46800,-1.27300,86.32000,0.58000
041225_02.03.24.027,-0.01800,0.00000,1.00100,0.10500,-0.12300,0.03500,0.40700,0.47200,-1.27600,86.08000,-0.24000
041225_02.03.24.038,-0.01600,0.00000,1.00100,0.08700,-0.10500,0.01800,0.40700,0.47000,-1.27100,86.12000,0.04000
041225_02.03.24.050,-0.01600,0.00100,1.00200,0.10500,-0.10500,0.01800,0.40700,0.47300,-1.27400,85.56000,-0.56000
041225_02.03.24.061,-0.01600,0.00100,1.00200,0.08700,-0.12300,0.01800,0.40700,0.47300,-1.27400,86.06000,0.50000
041225_02.03.24.072,-0.01700,0.00200,1.00200,0.08700,-0.10500,0.01800,0.41000,0.47300,-1.28000,86.20000,0.14000
041225_02.03.24.084,-0.01700,0.00100,1.00300,0.10500,-0.12300,0.01800,0.41000,0.47500,-1.27900,86.49000,0.29000
041225_02.03.24.095,-0.01600,0.00100,1.00300,0.10500,-0.14000,0.01800,0.41000,0.47100,-1.27300,85.83000,-0.66000
041225_02.03.24.107,-0.01700,0.00000,1.00300,0.08700,-0.10500,0.01800,0.39900,0.47200,-1.27900,86.13000,0.30000
041225_02.03.24.118,-0.01700,0.00000,1.00300,0.10500,-0.12300,0.01800,0.39900,0.47200,-1.27900,86.23000,0.10000
041225_02.03.24.129,-0.01600,0.00100,1.00200,0.08700,-0.12300,0.01800,0.40700,0.47200,-1.27800,85.74000,-0.49000
041225_02.03.24.141,-0.01600,0.00200,1.00100,0.08700,-0.12300,0.01800,0.40400,0.47200,-1.27600,85.84000,0.10000
041225_02.03.24.152,-0.01600,0.00100,1.00100,0.08700,-0.14000,0.03500,0.41600,0.47100,-1.29200,86.33000,0.49000
041225_02.03.24.164,-0.01600,0.00200,1.00200,0.08700,-0.14000,0.01800,0.41800,0.47300,-1.29400,85.50000,-0.83000
041225_02.03.24.175,-0.01600,0.00200,1.00100,0.08700,-0.12300,0.01800,0.41800,0.47300,-1.29400,86.13000,0.63000
041225_02.03.24.186,-0.01600,0.00200,1.00100,0.08700,-0.14000,0.01800,0.42000,0.47300,-1.29600,86.18000,0.05000
041225_02.03.24.198,-0.01600,0.00100,1.00200,0.10500,-0.12300,0.01800,0.42000,0.47300,-1.29800,85.41000,-0.77000
041225_02.03.24.209,-0.01700,0.00300,1.00300,0.10500,-0.14000,0.00000,0.42100,0.47400,-1.29500,86.09000,0.68000
041225_02.03.24.220,-0.01600,0.00300,1.00200,0.10500,-0.14000,0.01800,0.42100,0.47400,-1.29200,86.10000,0.01000
041225_02.03.24.232,-0.01600,0.00200,1.00100,0.08700,-0.12300,0.00000,0.42200,0.47400,-1.29200,86.09000,-0.01000
041225_02.03.24.243,-0.01800,0.00300,1.00100,0.08700,-0.12300,0.00000,0.42100,0.47600,-1.29100,86.17000,0.08000
