timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_02.59.12.340,-0.25700,-0.84600,-0.19200,31.01000,-3.97300,-30.69500,-0.43500,0.65200,-0.79400,86.54000,0.00000
041225_02.59.12.352,-0.26100,-0.89100,-0.14100,28.03500,-5.30300,-30.80000,-0.43500,0.65200,-0.79400,86.56000,0.02000
041225_02.59.12.363,-0.32100,-0.93200,-0.08900,27.05500,-10.39500,-31.34300,-0.44100,0.64100,-0.80000,86.44000,-0.12000
041225_02.59.12.375,-0.26900,-0.93500,-0.08000,26.58300,-15.40000,-33.07500,-0.44500,0.63100,-0.79800,86.55000,0.11000
041225_02.59.12.386,-0.10800,-0.91900,-0.13400,24.69200,-13.75500,-32.44500,-0.44800,0.62700,-0.80900,86.04000,-0.51000
041225_02.59.12.398,-0.05400,-0.82300,-0.17000,22.29500,-5.74000,-27.00300,-0.45400,0.61700,-0.80900,85.96000,-0.08000
041225_02.59.12.409,-0.04300,-0.80900,-0.22200,20.79000,-0.36800,-21.94500,-0.45400,0.61700,-0.80900,86.29000,0.33000
041225_02.59.12.421,-0.09200,-0.80000,-0.22000,19.32000,1.76800,-18.72500,-0.45600,0.61300,-0.81100,86.65000,0.36000
041225_02.59.12.432,-0.05800,-0.94400,-0.21900,19.61800,3.39500,-1.47000,-0.45500,0.60400,-0.81600,86.35000,-0.30000
041225_02.59.12.444,-0.09800,-0.93700,-0.10900,16.48500,-0.99800,13.38700,-0.44900,0.59900,-0.81800,86.59000,0.24000
041225_02.59.12.456,-0.10800,-0.85300,-0.10900,7.36700,-12.54700,34.16000,-0.44600,0.59500,-0.81300,86.56000,-0.03000
041225_02.59.12.467,-0.21900,-0.71300,-0.10100,-10.71000,-31.95500,80.51800,-0.44600,0.59500,-0.81300,86.76000,0.20000
041225_02.59.12.479,-0.28700,-1.05400,-0.14400,-1.90800,-30.53800,89.67000,-0.45200,0.60000,-0.81900,85.95000,-0.81000
041225_02.59.12.490,-0.27000,-1.05100,-0.14400,0.15700,-13.82500,8.31300,-0.45500,0.59900,-0.81600,86.85000,0.90000
041225_02.59.12.502,0.28400,-0.51700,-0.01000,2.22300,-1.15500,-23.95800,-0.45600,0.59000,-0.81700,86.45000,-0.40000
041225_02.59.12.513,0.11500,-0.94800,0.00900,18.42700,-1.48700,11.88200,-0.45700,0.58600,-0.82400,87.14000,0.69000
041225_02.59.12.525,-0.13200,-0.89800,0.03600,17.06200,10.13200,11.77800,-0.45700,0.58600,-0.82400,86.48000,-0.66000
041225_02.59.12.536,-0.06900,-0.91600,0.06200,6.96500,20.10800,7.80500,-0.45200,0.57400,-0.82500,86.49000,0.01000
041225_02.59.12.548,0.00800,-0.88800,-0.11500,4.51500,15.62800,12.67000,-0.45300,0.56900,-0.82300,86.46000,-0.03000
041225_02.59.12.559,0.11300,-0.82800,-0.27000,24.41300,13.61500,27.31800,-0.45000,0.56400,-0.83300,85.87000,-0.59000
041225_02.59.12.571,-0.07700,-0.91300,0.01100,28.00000,29.55800,25.88200,-0.44900,0.55400,-0.83700,86.55000,0.68000
