ax,ay,az
-0.038,0.007,0.997
-0.04,0.003,0.999
-0.047,0.004,0.998
-0.038,0.006,1.002
-0.029,0.002,1.005
-0.037,0.004,1.002
-0.042,0.004,0.999
-0.045,0.002,1.0
-0.041,0.008,0.999
-0.033,0.004,1.002
-0.045,0.005,1.002
-0.036,0.004,1.003
-0.038,0.002,1.001
-0.043,0.007,1.001
-0.045,0.001,1.001
-0.043,0.005,1.002
-0.032,0.005,1.004
-0.037,0.001,1.004
-0.046,0.006,0.997
-0.042,0.004,0.999
-0.039,0.002,1.002
-0.038,0.0,1.002
-0.044,0.003,1.001
-0.035,0.005,0.998
-0.035,0.002,1.005
-0.017,0.974,-0.015
-0.02,0.983,-0.023
-0.013,0.973,-0.014
-0.018,0.98,-0.021
-0.012,0.976,-0.016
-0.021,0.974,-0.021
-0.013,0.98,-0.017
-0.014,0.977,-0.014
-0.017,0.975,-0.018
-0.018,0.974,-0.017
-0.021,0.975,-0.017
-0.013,0.975,-0.018
-0.014,0.978,-0.015
-0.022,0.976,-0.017
-0.016,0.975,-0.017
-0.017,0.972,-0.018
-0.021,0.979,-0.015
-0.021,0.972,-0.016
-0.016,0.977,-0.017
-0.015,0.979,-0.015
-0.023,0.977,-0.014
-0.02,0.976,-0.017
-0.018,0.978,-0.014
-0.018,0.978,-0.016
-0.017,0.979,-0.016
-0.008,0.015,-0.993
-0.012,0.013,-0.994
-0.008,0.006,-0.994
-0.012,0.001,-0.987
-0.008,0.017,-0.993
-0.011,0.011,-0.991
-0.006,0.002,-0.993
-0.009,0.009,-0.995
-0.014,0.012,-0.993
-0.007,0.01,-0.993
-0.011,0.009,-0.991
-0.01,0.003,-0.99
-0.007,0.012,-0.997
-0.011,0.013,-0.991
-0.012,0.005,-0.992
-0.01,0.01,-0.993
-0.007,0.013,-0.992
-0.011,0.012,-0.995
-0.009,0.003,-0.992
-0.006,0.008,-0.996
-0.012,0.014,-0.994
-0.011,0.008,-0.993
-0.006,0.008,-0.992
-0.012,0.006,-0.994
-0.009,0.008,-0.994
-0.013,-1.01,0.034
-0.011,-1.012,0.037
-0.003,-1.013,0.031
-0.016,-1.009,0.032
-0.01,-1.011,0.038
-0.01,-1.011,0.029
-0.009,-1.012,0.034
-0.015,-1.013,0.033
-0.012,-1.01,0.039
-0.011,-1.012,0.035
-0.012,-1.011,0.036
-0.013,-1.01,0.038
-0.007,-1.014,0.033
-0.01,-1.012,0.036
-0.003,-1.016,0.037
-0.013,-1.013,0.034
-0.013,-1.009,0.038
-0.009,-1.013,0.035
-0.012,-1.013,0.037
-0.011,-1.013,0.034
-0.013,-1.009,0.036
-0.008,-1.014,0.037
-0.013,-1.013,0.03
-0.017,-1.011,0.037
-0.007,-1.014,0.036
0.994,0.007,0.01
0.996,-0.0,0.014
0.995,0.015,0.017
0.994,0.011,0.017
0.998,0.004,0.012
0.999,-0.0,0.013
0.996,0.014,0.015
0.993,0.012,0.008
0.997,0.005,0.012
0.996,0.004,0.011
0.998,0.007,0.012
0.996,0.006,0.013
1.001,0.01,0.015
0.995,0.002,0.01
0.994,0.012,0.009
0.995,0.003,0.011
0.997,0.002,0.015
0.996,0.005,0.012
0.996,0.006,0.017
0.995,0.011,0.013
0.995,0.006,0.01
0.995,0.003,0.016
0.996,0.013,0.012
0.995,0.002,0.013
0.997,0.004,0.015
-0.997,-0.004,0.013
-0.994,-0.007,0.014
-1.003,-0.006,0.013
-1.003,-0.014,0.015
-1.001,-0.005,0.01
-0.994,0.003,0.014
-0.999,0.002,0.016
-0.999,-0.003,0.011
-0.999,-0.011,0.012
-1.002,-0.011,0.01
-1.0,-0.002,0.012
-0.998,-0.004,0.015
-0.997,-0.003,0.011
-1.001,-0.007,0.013
-1.001,-0.005,0.014
-0.997,-0.008,0.017
-0.998,-0.008,0.011
-0.996,0.0,0.011
-0.997,0.001,0.016
-0.999,-0.006,0.012
-0.999,-0.004,0.013
-0.999,-0.012,0.014
-0.999,-0.008,0.01
-0.993,-0.004,0.017
-0.999,0.001,0.011
