mx,my,mz
-0.645,1.371,-1.338
-0.627,1.346,-1.34
-0.627,1.346,-1.34
-0.622,1.316,-1.36
-0.611,1.277,-1.38
-0.617,1.228,-1.409
-0.621,1.195,-1.42
-0.621,1.195,-1.42
-0.632,1.166,-1.436
-0.641,1.143,-1.449
-0.646,1.13,-1.453
-0.657,1.121,-1.468
-0.657,1.121,-1.468
-0.651,1.107,-1.479
-0.645,1.1,-1.481
-0.644,1.081,-1.489
-0.641,1.061,-1.503
-0.641,1.061,-1.503
-0.639,1.022,-1.518
-0.635,0.978,-1.523
-0.62,0.93,-1.531
-0.605,0.882,-1.538
-0.605,0.882,-1.538
-0.585,0.831,-1.539
-0.565,0.793,-1.543
-0.556,0.758,-1.539
-0.556,0.725,-1.533
-0.556,0.725,-1.533
-0.564,0.691,-1.532
-0.568,0.661,-1.536
-0.57,0.642,-1.537
-0.57,0.62,-1.536
-0.57,0.62,-1.536
-0.564,0.609,-1.541
-0.557,0.603,-1.55
-0.542,0.606,-1.554
-0.527,0.608,-1.554
-0.527,0.608,-1.554
-0.504,0.613,-1.561
-0.488,0.62,-1.563
-0.475,0.619,-1.565
-0.463,0.621,-1.565
-0.463,0.621,-1.565
-0.456,0.619,-1.568
-0.455,0.616,-1.565
-0.444,0.605,-1.563
-0.434,0.602,-1.552
-0.434,0.602,-1.552
-0.41,0.593,-1.55
-0.384,0.585,-1.546
-0.352,0.573,-1.547
-0.342,0.571,-1.543
-0.342,0.571,-1.543
-0.327,0.567,-1.537
-0.321,0.562,-1.536
-0.308,0.565,-1.536
-0.284,0.57,-1.536
-0.284,0.57,-1.536
-0.266,0.575,-1.532
-0.238,0.582,-1.539
-0.215,0.592,-1.536
-0.197,0.594,-1.529
-0.197,0.594,-1.529
-0.177,0.601,-1.52
-0.172,0.613,-1.514
-0.158,0.629,-1.502
-0.147,0.644,-1.496
-0.147,0.644,-1.496
-0.126,0.669,-1.484
-0.095,0.695,-1.485
-0.054,0.729,-1.475
-0.006,0.772,-1.465
-0.006,0.772,-1.465
0.054,0.818,-1.445
0.111,0.876,-1.428
0.18,0.937,-1.399
0.234,0.994,-1.368
0.234,0.994,-1.368
0.288,1.053,-1.329
0.336,1.104,-1.28
0.384,1.148,-1.231
0.413,1.191,-1.182
0.413,1.191,-1.182
0.436,1.229,-1.142
0.472,1.26,-1.085
0.512,1.312,-1.01
0.561,1.379,-0.913
0.561,1.379,-0.913
0.597,1.452,-0.798
0.62,1.514,-0.682
0.625,1.548,-0.557
0.615,1.546,-0.429
0.615,1.546,-0.429
0.592,1.497,-0.316
0.552,1.416,-0.239
0.509,1.306,-0.186
0.466,1.174,-0.167
0.466,1.174,-0.167
0.418,1.038,-0.181
0.36,0.907,-0.212
0.296,0.793,-0.255
0.235,0.702,-0.313
0.235,0.702,-0.313
0.171,0.632,-0.381
0.104,0.588,-0.437
0.045,0.566,-0.488
-0.019,0.558,-0.546
-0.019,0.558,-0.546
-0.075,0.564,-0.584
-0.119,0.58,-0.619
-0.167,0.592,-0.634
-0.202,0.611,-0.652
-0.202,0.611,-0.652
-0.242,0.633,-0.662
-0.265,0.655,-0.662
-0.288,0.68,-0.656
-0.309,0.698,-0.66
-0.309,0.698,-0.66
-0.322,0.715,-0.657
-0.336,0.733,-0.656
-0.347,0.74,-0.652
-0.346,0.747,-0.644
-0.346,0.747,-0.644
-0.347,0.752,-0.651
-0.347,0.765,-0.649
-0.352,0.772,-0.651
-0.357,0.773,-0.651
-0.357,0.773,-0.651
-0.364,0.779,-0.657
-0.372,0.779,-0.661
-0.382,0.776,-0.664
-0.407,0.774,-0.67
-0.407,0.774,-0.67
-0.419,0.775,-0.675
-0.441,0.768,-0.673
-0.463,0.767,-0.666
-0.483,0.768,-0.667
-0.483,0.768,-0.667
-0.504,0.771,-0.65
-0.523,0.771,-0.642
-0.539,0.775,-0.626
-0.55,0.775,-0.609
-0.55,0.775,-0.609
-0.56,0.78,-0.592
-0.561,0.786,-0.572
-0.561,0.793,-0.55
-0.565,0.788,-0.544
-0.565,0.788,-0.544
-0.569,0.79,-0.513
-0.577,0.794,-0.487
-0.572,0.798,-0.455
-0.57,0.801,-0.431
-0.57,0.801,-0.431
-0.562,0.802,-0.401
-0.547,0.812,-0.368
-0.523,0.81,-0.34
-0.503,0.816,-0.322
-0.503,0.816,-0.322
-0.485,0.821,-0.312
-0.472,0.825,-0.3
-0.45,0.826,-0.29
-0.428,0.828,-0.283
-0.428,0.828,-0.283
-0.399,0.828,-0.267
-0.369,0.825,-0.26
-0.34,0.815,-0.25
-0.319,0.804,-0.245
-0.319,0.804,-0.245
-0.297,0.796,-0.241
-0.276,0.785,-0.238
-0.253,0.778,-0.235
-0.234,0.771,-0.233
-0.234,0.771,-0.233
-0.214,0.768,-0.24
-0.189,0.756,-0.247
-0.161,0.748,-0.261
-0.135,0.736,-0.264
-0.135,0.736,-0.264
-0.108,0.725,-0.285
-0.078,0.704,-0.301
-0.055,0.691,-0.318
-0.036,0.676,-0.33
-0.036,0.676,-0.33
-0.02,0.661,-0.346
0.002,0.646,-0.369
0.011,0.627,-0.386
0.015,0.616,-0.403
0.015,0.616,-0.403
0.017,0.612,-0.419
0.016,0.606,-0.45
0.011,0.606,-0.471
0.007,0.604,-0.506
0.007,0.604,-0.506
0.003,0.602,-0.539
-0.007,0.608,-0.561
-0.022,0.611,-0.582
-0.031,0.619,-0.609
-0.031,0.619,-0.609
-0.043,0.622,-0.641
-0.058,0.637,-0.665
-0.076,0.649,-0.688
-0.095,0.669,-0.706
-0.095,0.669,-0.706
-0.106,0.683,-0.738
-0.124,0.709,-0.762
-0.136,0.734,-0.779
-0.142,0.76,-0.794
-0.142,0.76,-0.794
-0.152,0.79,-0.819
-0.16,0.822,-0.839
-0.166,0.847,-0.849
-0.172,0.882,-0.873
-0.172,0.882,-0.873
-0.169,0.923,-0.876
-0.163,0.955,-0.894
-0.16,0.994,-0.892
-0.165,1.035,-0.895
-0.165,1.035,-0.895
-0.18,1.09,-0.892
-0.187,1.144,-0.874
-0.212,1.211,-0.835
-0.23,1.279,-0.786
-0.23,1.279,-0.786
-0.221,1.35,-0.727
-0.193,1.402,-0.654
-0.158,1.45,-0.584
-0.124,1.472,-0.52
-0.124,1.472,-0.52
-0.098,1.482,-0.467
-0.071,1.494,-0.403
-0.046,1.485,-0.343
-0.031,1.48,-0.271
-0.031,1.48,-0.271
-0.002,1.456,-0.194
0.044,1.422,-0.119
0.096,1.369,-0.043
0.159,1.294,0.027
0.159,1.294,0.027
0.22,1.219,0.075
0.279,1.123,0.125
0.319,1.022,0.177
0.339,0.925,0.207
0.339,0.925,0.207
0.323,0.832,0.254
0.294,0.743,0.294
0.242,0.679,0.331
0.188,0.627,0.36
0.188,0.627,0.36
0.115,0.598,0.391
0.03,0.589,0.413
-0.08,0.581,0.437
-0.16,0.548,0.447
-0.16,0.548,0.447
-0.197,0.51,0.443
-0.241,0.491,0.432
-0.289,0.485,0.409
-0.342,0.489,0.39
-0.342,0.489,0.39
-0.391,0.497,0.373
-0.433,0.522,0.345
-0.467,0.552,0.321
-0.498,0.575,0.288
-0.498,0.575,0.288
-0.526,0.595,0.272
-0.552,0.604,0.249
-0.564,0.616,0.23
-0.578,0.625,0.206
-0.578,0.625,0.206
-0.596,0.646,0.182
-0.602,0.666,0.152
-0.606,0.689,0.124
-0.597,0.705,0.101
-0.597,0.705,0.101
-0.592,0.711,0.085
-0.592,0.698,0.078
-0.599,0.681,0.068
-0.597,0.679,0.06
-0.597,0.679,0.06
-0.6,0.678,0.052
-0.603,0.677,0.042
-0.619,0.682,0.029
-0.619,0.688,0.026
-0.619,0.688,0.026
-0.621,0.687,0.015
-0.618,0.692,0.013
-0.613,0.692,0.01
-0.608,0.691,-0.0
-0.608,0.691,-0.0
-0.603,0.702,-0.015
-0.611,0.709,-0.027
-0.621,0.721,-0.05
-0.637,0.724,-0.065
-0.637,0.724,-0.065
-0.645,0.725,-0.076
-0.658,0.726,-0.083
-0.656,0.72,-0.095
-0.669,0.725,-0.109
-0.669,0.725,-0.109
-0.684,0.731,-0.127
-0.696,0.739,-0.146
-0.71,0.74,-0.162
-0.723,0.76,-0.175
-0.723,0.76,-0.175
-0.726,0.762,-0.189
-0.725,0.771,-0.196
-0.723,0.774,-0.205
-0.717,0.774,-0.207
-0.717,0.774,-0.207
-0.709,0.777,-0.213
-0.71,0.779,-0.217
-0.715,0.776,-0.228
-0.715,0.779,-0.236
-0.715,0.779,-0.236
-0.723,0.776,-0.249
-0.737,0.778,-0.27
-0.75,0.785,-0.291
-0.762,0.79,-0.305
-0.762,0.79,-0.305
-0.772,0.798,-0.316
-0.77,0.806,-0.325
-0.77,0.813,-0.329
-0.767,0.825,-0.34
-0.767,0.825,-0.34
-0.768,0.828,-0.346
-0.763,0.84,-0.344
-0.755,0.845,-0.351
-0.742,0.855,-0.361
-0.742,0.855,-0.361
-0.732,0.871,-0.394
-0.721,0.893,-0.421
-0.704,0.906,-0.451
-0.678,0.918,-0.479
-0.678,0.918,-0.479
-0.656,0.929,-0.495
-0.629,0.935,-0.513
-0.607,0.945,-0.525
-0.587,0.949,-0.531
-0.587,0.949,-0.531
-0.563,0.953,-0.54
-0.536,0.952,-0.551
-0.515,0.958,-0.563
-0.489,0.963,-0.557
-0.489,0.963,-0.557
-0.461,0.972,-0.563
-0.433,0.973,-0.564
-0.405,0.976,-0.572
-0.38,0.977,-0.568
-0.38,0.977,-0.568
-0.354,0.976,-0.562
-0.339,0.978,-0.545
-0.321,0.975,-0.524
-0.306,0.974,-0.493
-0.306,0.974,-0.468
-0.29,0.973,-0.468
-0.277,0.97,-0.444
-0.273,0.963,-0.422
-0.264,0.954,-0.395
-0.264,0.954,-0.355
-0.258,0.945,-0.355
-0.246,0.919,-0.31
-0.24,0.904,-0.272
-0.225,0.873,-0.235
-0.225,0.873,-0.201
-0.217,0.856,-0.201
-0.205,0.834,-0.177
-0.196,0.809,-0.151
-0.191,0.789,-0.134
-0.191,0.789,-0.112
-0.189,0.768,-0.112
-0.191,0.746,-0.088
-0.198,0.72,-0.069
-0.207,0.687,-0.05
-0.207,0.687,-0.024
-0.211,0.648,-0.024
-0.223,0.611,0.001
-0.227,0.572,0.012
-0.237,0.546,0.02
-0.237,0.546,0.023
-0.24,0.531,0.023
-0.242,0.521,0.017
-0.243,0.513,0.016
-0.247,0.51,0.024
-0.247,0.51,0.022
-0.239,0.5,0.022
-0.236,0.496,0.018
-0.234,0.485,0.017
-0.238,0.487,0.021
-0.238,0.487,0.01
-0.235,0.483,0.01
-0.237,0.496,0.014
-0.231,0.503,0.011
-0.224,0.502,-0.001
-0.224,0.497,0.003
-0.216,0.497,0.003
-0.205,0.491,0.005
-0.204,0.495,-0.003
-0.2,0.489,-0.003
-0.2,0.49,-0.006
-0.191,0.49,-0.006
-0.186,0.496,-0.013
-0.179,0.495,-0.01
-0.177,0.497,-0.017
-0.177,0.495,-0.014
-0.179,0.495,-0.014
-0.17,0.498,-0.017
-0.173,0.494,-0.016
-0.174,0.491,-0.01
-0.174,0.491,-0.019
-0.167,0.491,-0.019
-0.172,0.488,-0.013
-0.172,0.493,-0.021
-0.165,0.493,-0.022
-0.165,0.491,-0.023
-0.163,0.491,-0.023
-0.159,0.483,-0.023
-0.161,0.482,-0.026
-0.147,0.48,-0.023
-0.147,0.475,-0.028
-0.142,0.475,-0.028
-0.135,0.473,-0.026
-0.136,0.475,-0.032
-0.138,0.488,-0.027
-0.138,0.502,-0.035
-0.136,0.502,-0.035
-0.141,0.505,-0.035
-0.14,0.513,-0.036
-0.135,0.517,-0.037
-0.131,0.511,-0.045
-0.131,0.511,-0.045
-0.123,0.513,-0.052
-0.109,0.51,-0.052
-0.099,0.514,-0.06
-0.092,0.521,-0.068
-0.092,0.521,-0.068
-0.091,0.53,-0.065
-0.083,0.532,-0.076
-0.078,0.54,-0.078
-0.078,0.553,-0.085
-0.078,0.553,-0.085
-0.074,0.556,-0.098
-0.072,0.561,-0.093
-0.074,0.565,-0.092
-0.08,0.568,-0.092
-0.08,0.568,-0.092
-0.085,0.57,-0.094
-0.088,0.574,-0.095
-0.091,0.576,-0.092
-0.102,0.578,-0.089
-0.102,0.578,-0.089
-0.109,0.589,-0.092
-0.116,0.598,-0.101
-0.122,0.605,-0.103
-0.133,0.609,-0.1
-0.133,0.609,-0.1
-0.142,0.618,-0.108
-0.15,0.621,-0.104
-0.161,0.631,-0.108
-0.164,0.634,-0.11
-0.164,0.634,-0.11
-0.176,0.635,-0.115
-0.19,0.64,-0.11
-0.21,0.646,-0.105
