timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
041225_03.14.01.344,0.09700,1.03400,0.44400,15.94300,0.05300,51.38000,0.05500,0.21300,-0.68400,83.68000,0.00000
041225_03.14.01.356,0.13900,1.00300,0.27400,13.35200,-3.30800,52.62300,0.05000,0.20200,-0.67600,83.09000,-0.59000
041225_03.14.01.367,0.19100,0.97400,0.18300,9.04700,-1.68000,55.42300,0.03800,0.19300,-0.67900,83.55000,0.46000
041225_03.14.01.379,0.20100,0.92200,0.16500,10.27300,-0.73500,55.59700,0.03300,0.18800,-0.68500,83.48000,-0.07000
041225_03.14.01.390,0.14800,0.84100,0.21500,15.94300,-0.08700,51.01300,0.03300,0.18800,-0.68500,83.50000,0.02000
041225_03.14.01.402,0.13500,0.80300,0.28100,16.90500,6.03700,43.01500,0.02800,0.18300,-0.68200,83.97000,0.47000
041225_03.14.01.413,0.00900,0.73900,0.20400,3.04500,22.99500,18.27000,0.02700,0.18200,-0.67300,83.38000,-0.59000
041225_03.14.01.425,-0.00700,0.68700,0.13900,-8.26000,28.03500,2.59000,0.03000,0.17800,-0.66900,83.49000,0.11000
041225_03.14.01.436,0.16400,0.90500,0.21000,-13.09000,32.86500,-13.42200,0.03500,0.18300,-0.67000,83.38000,-0.11000
041225_03.14.01.448,0.30000,0.98000,0.21500,-14.45500,30.03000,-23.36200,0.03500,0.18300,-0.67000,83.46000,0.08000
041225_03.14.01.459,0.29500,0.96200,0.32200,-14.68200,28.07000,-23.29200,0.03900,0.18500,-0.66700,84.00000,0.54000
041225_03.14.01.471,0.27100,1.01900,0.36000,-20.49300,30.41500,-21.47200,0.04100,0.19300,-0.66500,83.00000,-1.00000
041225_03.14.01.482,0.21700,1.05100,0.38100,-26.89800,31.20200,-19.35500,0.04600,0.19900,-0.66400,83.32000,0.32000
041225_03.14.01.494,0.14500,1.03700,0.39100,-33.32000,31.57000,-18.11200,0.04800,0.20500,-0.65900,82.55000,-0.77000
041225_03.14.01.505,0.08300,1.02500,0.40000,-40.16200,33.63500,-19.96800,0.04800,0.20500,-0.65900,83.42000,0.87000
041225_03.14.01.517,0.03700,1.02000,0.46200,-46.63800,35.61200,-24.65700,0.05200,0.21500,-0.66000,83.31000,-0.11000
041225_03.14.01.529,-0.00500,1.04800,0.49000,-52.64000,34.49300,-30.29200,0.05500,0.23000,-0.66000,83.77000,0.46000
041225_03.14.01.541,-0.13400,1.04100,0.56600,-62.16000,32.02500,-39.44500,0.06100,0.24300,-0.65500,83.28000,-0.49000
041225_03.14.01.553,-0.24600,0.88800,0.47600,-76.30000,38.22000,-53.90000,0.06100,0.24300,-0.65500,83.39000,0.11000
041225_03.14.01.565,-0.25500,0.84700,0.56500,-89.09200,49.64700,-68.60000,0.06800,0.26300,-0.65600,83.44000,0.05000
