ax,ay,az
-0.041,0.003,0.997
-0.039,0.001,1.003
-0.038,-0.001,0.997
-0.035,0.004,1.004
-0.038,0.0,0.996
-0.047,-0.001,1.002
-0.035,0.001,0.997
-0.037,-0.001,1.002
-0.038,-0.026,1.0
-0.046,-0.001,1.002
-0.034,0.003,0.998
-0.037,0.0,1.005
-0.042,0.003,0.997
-0.046,-0.001,1.005
-0.043,-0.0,0.999
-0.034,0.0,1.002
-0.036,0.001,1.001
-0.044,0.003,1.001
-0.042,0.002,1.001
-0.046,-0.002,1.0
-0.039,0.003,1.003
-0.037,0.002,1.004
-0.036,0.003,0.995
-0.047,-0.002,1.006
-0.046,0.002,0.999
-0.024,0.979,-0.017
-0.015,0.974,-0.012
-0.023,0.977,-0.01
-0.027,0.977,-0.016
-0.019,0.975,-0.012
-0.015,0.972,-0.015
-0.028,0.984,-0.013
-0.023,0.971,-0.019
-0.019,0.979,-0.017
-0.021,0.975,-0.018
-0.025,0.98,-0.019
-0.024,0.98,-0.018
-0.019,0.978,-0.018
-0.013,0.978,-0.019
-0.023,0.975,-0.013
-0.03,0.98,-0.017
-0.021,0.976,-0.013
-0.017,0.982,-0.017
-0.029,0.983,-0.01
-0.027,0.97,-0.015
-0.023,0.978,-0.01
-0.023,0.975,-0.015
-0.017,0.977,-0.018
-0.021,0.979,-0.014
-0.026,0.971,-0.014
-0.006,0.011,-0.991
-0.009,0.009,-0.991
-0.008,0.009,-0.993
-0.003,0.012,-0.993
-0.004,0.011,-0.99
-0.003,0.012,-0.997
-0.009,0.01,-0.988
-0.01,0.006,-0.993
-0.005,0.012,-0.995
-0.004,0.013,-0.995
-0.01,0.007,-0.99
-0.007,0.002,-0.992
-0.005,0.015,-0.989
-0.006,0.017,-0.992
-0.006,0.013,-0.992
-0.007,0.004,-0.993
-0.009,0.002,-0.989
-0.006,0.016,-0.996
-0.009,0.02,-0.992
-0.004,0.01,-0.993
-0.009,0.006,-0.993
-0.005,0.016,-0.997
-0.009,0.018,-0.992
-0.005,0.007,-0.995
-0.007,0.008,-0.99
0.041,-1.012,0.028
0.028,-1.012,0.027
0.028,-1.008,0.033
0.035,-1.012,0.03
0.035,-1.012,0.031
0.037,-1.016,0.034
0.032,-1.012,0.029
0.033,-1.01,0.033
0.043,-1.013,0.032
0.039,-1.013,0.035
0.034,-1.012,0.028
0.031,-1.009,0.03
0.041,-1.013,0.029
0.032,-1.013,0.028
0.029,-1.006,0.029
0.033,-1.011,0.026
0.034,-1.01,0.032
0.042,-1.012,0.032
0.037,-1.012,0.03
0.032,-1.007,0.033
0.035,-1.01,0.029
0.032,-1.01,0.027
0.04,-1.015,0.028
0.037,-1.01,0.034
0.036,-1.01,0.03
1.004,0.015,0.017
0.994,0.005,0.011
0.997,0.005,0.023
0.998,0.015,0.012
0.993,0.011,0.011
0.998,0.007,0.011
0.993,0.001,0.009
0.998,0.006,0.011
0.995,0.011,0.012
0.999,0.011,0.014
0.994,0.001,0.012
0.998,0.01,0.015
0.991,0.006,0.009
0.991,0.003,0.008
0.997,-0.0,0.014
0.995,0.01,0.008
0.994,0.009,0.012
0.997,0.012,0.014
0.994,0.002,0.009
0.999,0.004,0.015
0.991,0.014,0.017
0.996,0.017,0.015
0.995,0.003,0.013
0.998,0.006,0.014
0.995,0.003,0.01
-0.998,-0.007,0.015
-1.0,-0.008,0.016
-1.0,-0.004,0.011
-0.999,-0.006,0.008
-0.999,-0.006,0.006
-1.0,0.002,0.013
-0.998,-0.012,0.013
-1.006,-0.007,0.01
-0.993,-0.01,0.013
-1.007,-0.005,0.013
-0.995,-0.006,0.012
-1.009,-0.004,0.013
-0.998,-0.005,0.015
-1.0,-0.006,0.016
-1.001,-0.006,0.01
-1.001,-0.01,0.016
-1.0,-0.009,0.01
-1.002,-0.003,0.014
-1.001,-0.011,0.012
-1.003,-0.006,0.009
-0.996,-0.009,0.014
-1.002,-0.008,0.009
-1.001,-0.007,0.011
-0.998,-0.011,0.012
-0.996,-0.003,0.013
