mx,my,mz
-0.152,0.808,-0.46
-0.148,0.811,-0.462
-0.148,0.81,-0.475
-0.148,0.808,-0.475
-0.152,0.81,-0.481
-0.152,0.81,-0.481
-0.149,0.81,-0.49
-0.142,0.81,-0.492
-0.136,0.809,-0.498
-0.129,0.804,-0.509
-0.129,0.804,-0.509
-0.124,0.802,-0.514
-0.118,0.8,-0.513
-0.111,0.795,-0.523
-0.099,0.788,-0.518
-0.099,0.788,-0.518
-0.087,0.783,-0.522
-0.081,0.78,-0.518
-0.078,0.775,-0.501
-0.078,0.775,-0.501
-0.074,0.775,-0.487
-0.075,0.772,-0.481
-0.07,0.768,-0.483
-0.074,0.768,-0.483
-0.074,0.768,-0.483
-0.071,0.765,-0.478
-0.065,0.765,-0.477
-0.065,0.76,-0.475
-0.067,0.754,-0.467
-0.067,0.754,-0.467
-0.06,0.744,-0.466
-0.057,0.739,-0.468
-0.052,0.737,-0.462
-0.05,0.73,-0.456
-0.05,0.73,-0.456
-0.047,0.725,-0.443
-0.051,0.725,-0.428
-0.059,0.722,-0.409
-0.059,0.725,-0.386
-0.07,0.725,-0.386
-0.082,0.722,-0.376
-0.095,0.725,-0.364
-0.109,0.728,-0.347
-0.109,0.728,-0.347
-0.122,0.731,-0.336
-0.136,0.732,-0.328
-0.155,0.738,-0.314
-0.174,0.742,-0.298
-0.174,0.742,-0.298
-0.205,0.741,-0.284
-0.226,0.745,-0.262
-0.256,0.737,-0.247
-0.282,0.742,-0.234
-0.282,0.742,-0.234
-0.32,0.747,-0.232
-0.346,0.755,-0.228
-0.373,0.77,-0.228
-0.394,0.783,-0.232
-0.394,0.783,-0.232
-0.405,0.796,-0.224
-0.428,0.808,-0.219
-0.44,0.82,-0.214
-0.44,0.82,-0.214
-0.448,0.837,-0.215
-0.455,0.858,-0.204
-0.461,0.881,-0.207
-0.462,0.9,-0.199
-0.462,0.9,-0.199
-0.46,0.922,-0.201
-0.461,0.937,-0.203
-0.461,0.956,-0.202
-0.46,0.97,-0.203
-0.46,0.97,-0.203
-0.46,0.977,-0.198
-0.46,0.989,-0.191
-0.453,0.991,-0.19
-0.449,0.991,-0.189
-0.449,0.991,-0.189
-0.445,0.99,-0.188
-0.455,0.987,-0.174
-0.457,0.988,-0.171
-0.457,0.988,-0.171
-0.469,0.977,-0.171
-0.488,0.966,-0.162
-0.511,0.959,-0.156
-0.514,0.948,-0.153
-0.514,0.948,-0.153
-0.528,0.938,-0.155
-0.536,0.937,-0.149
-0.546,0.924,-0.146
-0.559,0.914,-0.146
-0.559,0.914,-0.146
-0.557,0.914,-0.14
-0.565,0.897,-0.143
-0.573,0.885,-0.152
-0.582,0.874,-0.158
-0.582,0.874,-0.158
-0.594,0.865,-0.181
-0.61,0.85,-0.194
-0.624,0.84,-0.208
-0.636,0.831,-0.229
-0.636,0.831,-0.229
-0.631,0.823,-0.23
-0.619,0.814,-0.231
-0.6,0.812,-0.225
-0.6,0.812,-0.225
-0.572,0.816,-0.217
-0.545,0.809,-0.213
-0.524,0.803,-0.201
-0.508,0.793,-0.189
-0.508,0.793,-0.189
-0.493,0.788,-0.183
-0.487,0.778,-0.176
-0.478,0.766,-0.161
-0.477,0.737,-0.152
-0.477,0.737,-0.152
-0.482,0.722,-0.138
-0.49,0.699,-0.132
-0.502,0.675,-0.116
-0.521,0.651,-0.11
-0.521,0.651,-0.11
-0.54,0.63,-0.104
-0.567,0.611,-0.106
-0.592,0.599,-0.117
-0.592,0.599,-0.135
-0.624,0.584,-0.135
-0.657,0.58,-0.154
-0.687,0.582,-0.194
-0.719,0.592,-0.234
-0.719,0.592,-0.234
-0.737,0.609,-0.279
-0.751,0.624,-0.321
-0.75,0.642,-0.359
-0.748,0.664,-0.401
-0.748,0.664,-0.401
-0.737,0.686,-0.435
-0.726,0.714,-0.47
-0.705,0.738,-0.499
-0.684,0.763,-0.524
-0.684,0.763,-0.524
-0.668,0.792,-0.543
-0.64,0.813,-0.573
-0.616,0.838,-0.584
-0.595,0.859,-0.588
-0.595,0.859,-0.588
-0.568,0.874,-0.598
-0.545,0.894,-0.606
-0.518,0.91,-0.617
-0.518,0.91,-0.617
-0.486,0.924,-0.619
-0.458,0.938,-0.616
-0.435,0.952,-0.628
-0.408,0.96,-0.629
-0.408,0.96,-0.629
-0.373,0.973,-0.619
-0.35,0.98,-0.616
-0.317,0.983,-0.61
-0.287,0.99,-0.602
-0.287,0.99,-0.602
-0.244,0.988,-0.599
-0.211,0.982,-0.606
-0.164,0.975,-0.597
-0.13,0.968,-0.594
-0.13,0.968,-0.594
-0.091,0.951,-0.594
-0.058,0.934,-0.592
-0.028,0.919,-0.584
-0.028,0.919,-0.58
0.008,0.898,-0.58
0.038,0.871,-0.588
0.068,0.84,-0.588
0.095,0.812,-0.583
0.095,0.812,-0.583
0.11,0.785,-0.588
0.131,0.755,-0.589
0.152,0.722,-0.602
0.164,0.684,-0.617
0.164,0.684,-0.617
0.177,0.635,-0.642
0.188,0.583,-0.663
0.179,0.538,-0.698
0.165,0.503,-0.737
0.165,0.503,-0.737
0.142,0.464,-0.768
0.12,0.436,-0.784
0.102,0.404,-0.805
0.102,0.368,-0.807
0.083,0.368,-0.807
0.062,0.343,-0.817
0.03,0.315,-0.824
-0.02,0.292,-0.839
-0.02,0.292,-0.839
-0.072,0.278,-0.839
-0.128,0.268,-0.842
-0.191,0.253,-0.851
-0.256,0.245,-0.84
-0.256,0.245,-0.84
-0.33,0.251,-0.826
-0.41,0.263,-0.8
-0.479,0.275,-0.775
-0.539,0.283,-0.743
-0.539,0.283,-0.743
-0.589,0.301,-0.711
-0.629,0.315,-0.677
-0.669,0.335,-0.634
-0.701,0.35,-0.581
-0.701,0.35,-0.581
-0.725,0.367,-0.531
-0.742,0.381,-0.476
-0.74,0.39,-0.429
-0.74,0.39,-0.39
-0.739,0.398,-0.39
-0.733,0.415,-0.352
-0.723,0.432,-0.318
-0.71,0.45,-0.286
-0.71,0.45,-0.286
-0.691,0.473,-0.257
-0.678,0.491,-0.238
-0.663,0.516,-0.222
-0.644,0.532,-0.209
-0.644,0.532,-0.209
-0.622,0.558,-0.191
-0.597,0.572,-0.184
-0.582,0.597,-0.179
-0.567,0.628,-0.187
-0.567,0.628,-0.187
-0.56,0.652,-0.186
-0.549,0.674,-0.191
-0.54,0.691,-0.194
-0.54,0.704,-0.205
-0.528,0.704,-0.205
-0.522,0.716,-0.202
-0.52,0.726,-0.214
-0.514,0.744,-0.226
-0.514,0.744,-0.226
-0.512,0.751,-0.232
-0.512,0.763,-0.245
-0.51,0.771,-0.26
-0.511,0.783,-0.272
-0.511,0.783,-0.272
-0.514,0.796,-0.286
-0.51,0.802,-0.305
-0.513,0.812,-0.324
-0.506,0.825,-0.346
-0.506,0.825,-0.346
-0.5,0.834,-0.371
-0.492,0.846,-0.387
-0.485,0.853,-0.415
-0.479,0.858,-0.431
-0.479,0.858,-0.431
-0.464,0.865,-0.458
-0.455,0.863,-0.478
-0.438,0.867,-0.501
-0.438,0.867,-0.501
-0.422,0.87,-0.52
-0.406,0.874,-0.54
-0.384,0.879,-0.553
-0.361,0.884,-0.559
-0.361,0.884,-0.559
-0.343,0.884,-0.567
-0.323,0.883,-0.565
-0.309,0.882,-0.565
-0.302,0.882,-0.556
-0.302,0.882,-0.556
-0.292,0.881,-0.547
-0.284,0.89,-0.54
-0.277,0.883,-0.534
-0.269,0.882,-0.531
-0.269,0.882,-0.531
-0.259,0.882,-0.524
-0.245,0.882,-0.521
-0.223,0.879,-0.523
-0.223,0.879,-0.518
-0.204,0.868,-0.518
-0.184,0.867,-0.513
-0.163,0.855,-0.513
-0.144,0.846,-0.504
-0.144,0.846,-0.504
-0.117,0.831,-0.501
-0.093,0.816,-0.503
-0.067,0.794,-0.5
-0.035,0.773,-0.5
-0.035,0.773,-0.5
-0.004,0.732,-0.51
0.033,0.69,-0.519
0.061,0.634,-0.527
0.082,0.572,-0.538
0.082,0.572,-0.538
0.089,0.515,-0.538
0.088,0.462,-0.531
0.082,0.418,-0.515
0.073,0.381,-0.515
0.073,0.381,-0.515
0.059,0.35,-0.511
0.04,0.318,-0.505
0.025,0.291,-0.507
0.025,0.291,-0.507
0.008,0.258,-0.503
-0.011,0.228,-0.494
-0.032,0.203,-0.486
-0.047,0.182,-0.478
-0.047,0.182,-0.478
-0.063,0.163,-0.472
-0.067,0.154,-0.476
-0.067,0.155,-0.484
-0.062,0.158,-0.488
-0.062,0.158,-0.488
-0.06,0.16,-0.484
-0.057,0.162,-0.49
-0.048,0.164,-0.492
-0.042,0.164,-0.491
-0.042,0.164,-0.491
-0.031,0.161,-0.487
-0.017,0.162,-0.48
0.001,0.164,-0.476
0.001,0.164,-0.467
0.024,0.165,-0.467
0.04,0.17,-0.453
0.061,0.178,-0.432
0.073,0.18,-0.408
0.073,0.18,-0.408
0.087,0.182,-0.383
0.1,0.185,-0.36
0.112,0.196,-0.322
0.121,0.202,-0.287
0.121,0.202,-0.287
0.134,0.21,-0.258
0.15,0.225,-0.224
0.151,0.24,-0.192
0.153,0.247,-0.159
0.153,0.247,-0.159
0.15,0.261,-0.126
0.146,0.29,-0.098
0.146,0.319,-0.073
0.146,0.354,-0.052
0.151,0.354,-0.052
0.15,0.391,-0.026
0.151,0.414,-0.017
0.15,0.443,-0.005
0.15,0.443,-0.005
0.146,0.472,0.015
0.141,0.511,0.02
0.138,0.569,0.009
0.138,0.633,-0.008
0.138,0.633,-0.008
0.142,0.692,-0.032
0.144,0.745,-0.046
0.144,0.795,-0.071
0.144,0.838,-0.083
0.144,0.838,-0.083
0.137,0.85,-0.073
0.141,0.862,-0.063
0.144,0.858,-0.036
0.142,0.852,-0.005
0.142,0.852,-0.005
0.134,0.852,0.015
0.133,0.858,0.019
0.139,0.875,0.014
0.139,0.875,0.014
0.151,0.891,-0.004
0.179,0.903,-0.026
0.196,0.932,-0.044
0.198,0.935,-0.051
0.198,0.935,-0.051
0.205,0.942,-0.063
0.216,0.953,-0.089
0.231,0.966,-0.124
0.241,0.985,-0.171
0.241,0.985,-0.171
0.242,1.011,-0.224
0.232,1.039,-0.289
0.206,1.069,-0.328
0.196,1.075,-0.346
0.196,1.075,-0.346
0.208,1.058,-0.358
0.245,1.039,-0.354
0.29,1.007,-0.374
0.29,0.969,-0.406
0.323,0.969,-0.406
0.339,0.957,-0.429
0.336,0.95,-0.428
0.329,0.949,-0.432
0.329,0.949,-0.432
0.316,0.934,-0.447
0.318,0.914,-0.458
0.326,0.879,-0.458
0.338,0.833,-0.444
0.338,0.833,-0.444
0.35,0.776,-0.434
0.368,0.725,-0.417
0.383,0.666,-0.404
0.391,0.614,-0.396
0.391,0.614,-0.396
0.391,0.565,-0.395
0.381,0.52,-0.402
0.372,0.473,-0.395
0.362,0.442,-0.386
0.362,0.442,-0.386
0.353,0.407,-0.379
0.339,0.379,-0.376
0.334,0.349,-0.365
0.334,0.349,-0.365
0.321,0.327,-0.353
0.309,0.306,-0.343
0.297,0.291,-0.34
0.281,0.282,-0.328
0.281,0.282,-0.328
0.27,0.279,-0.315
0.262,0.272,-0.307
0.242,0.272,-0.297
0.232,0.274,-0.289
0.232,0.274,-0.289
0.223,0.266,-0.293
0.215,0.265,-0.284
0.209,0.266,-0.285
0.196,0.278,-0.28
0.196,0.278,-0.28
0.178,0.3,-0.266
0.156,0.324,-0.263
0.147,0.34,-0.254
0.147,0.34,-0.252
0.135,0.363,-0.252
0.139,0.383,-0.269
0.149,0.371,-0.282
0.151,0.373,-0.296
0.151,0.373,-0.296
0.153,0.368,-0.308
0.154,0.364,-0.323
0.151,0.368,-0.335
0.149,0.382,-0.348
0.149,0.382,-0.348
0.145,0.399,-0.355
0.145,0.422,-0.374
0.137,0.433,-0.385
0.135,0.449,-0.396
0.135,0.449,-0.396
0.131,0.458,-0.41
0.126,0.463,-0.413
0.121,0.463,-0.424
0.121,0.468,-0.445
0.118,0.468,-0.445
0.117,0.462,-0.46
0.123,0.448,-0.48
0.12,0.441,-0.506
0.12,0.441,-0.506
0.121,0.425,-0.519
0.117,0.408,-0.538
0.116,0.39,-0.554
0.11,0.371,-0.558
0.11,0.371,-0.558
0.1,0.358,-0.577
0.097,0.333,-0.587
0.09,0.321,-0.612
0.078,0.31,-0.623
0.078,0.31,-0.623
0.067,0.291,-0.635
0.056,0.268,-0.64
0.049,0.253,-0.658
0.033,0.242,-0.661
0.033,0.242,-0.661
0.025,0.225,-0.672
0.016,0.21,-0.678
-0.003,0.184,-0.68
-0.003,0.184,-0.672
-0.017,0.152,-0.672
-0.027,0.129,-0.66
-0.03,0.111,-0.665
-0.031,0.107,-0.669
-0.031,0.107,-0.669
-0.039,0.1,-0.661
-0.046,0.085,-0.657
-0.048,0.064,-0.647
-0.055,0.054,-0.634
-0.055,0.054,-0.634
-0.065,0.035,-0.615
-0.084,0.011,-0.59
-0.099,-0.017,-0.562
-0.116,-0.042,-0.531
-0.116,-0.042,-0.531
-0.145,-0.06,-0.5
-0.166,-0.072,-0.474
-0.189,-0.085,-0.445
-0.189,-0.094,-0.415
-0.211,-0.094,-0.415
-0.244,-0.096,-0.392
-0.276,-0.095,-0.359
-0.309,-0.09,-0.33
-0.309,-0.09,-0.33
-0.342,-0.088,-0.312
-0.362,-0.084,-0.297
-0.383,-0.073,-0.281
-0.398,-0.056,-0.245
-0.398,-0.056,-0.245
-0.408,-0.041,-0.223
-0.409,-0.016,-0.189
-0.415,0.017,-0.154
-0.41,0.039,-0.127
-0.41,0.039,-0.127
-0.412,0.055,-0.125
-0.405,0.057,-0.122
-0.403,0.052,-0.128
-0.389,0.037,-0.14
-0.389,0.037,-0.14
-0.37,0.022,-0.151
-0.347,0.003,-0.161
-0.328,-0.012,-0.161
-0.328,-0.012,-0.161
-0.312,-0.024,-0.167
-0.303,-0.031,-0.163
-0.294,-0.035,-0.164
-0.288,-0.04,-0.161
-0.288,-0.04,-0.161
-0.277,-0.046,-0.16
-0.267,-0.048,-0.164
-0.261,-0.055,-0.158
-0.263,-0.054,-0.15
-0.263,-0.054,-0.15
-0.274,-0.055,-0.152
-0.284,-0.055,-0.142
-0.301,-0.053,-0.132
-0.314,-0.051,-0.129
-0.314,-0.051,-0.129
-0.311,-0.054,-0.131
-0.301,-0.052,-0.123
-0.289,-0.045,-0.127
-0.289,-0.052,-0.127
-0.272,-0.052,-0.127
-0.258,-0.049,-0.127
-0.236,-0.05,-0.133
-0.216,-0.05,-0.131
-0.216,-0.05,-0.131
-0.199,-0.047,-0.128
-0.188,-0.051,-0.141
-0.178,-0.049,-0.13
-0.156,-0.043,-0.128
-0.156,-0.043,-0.128
-0.136,-0.033,-0.131
-0.124,-0.021,-0.125
-0.108,-0.009,-0.122
-0.099,0.005,-0.123
-0.099,0.005,-0.123
-0.085,0.026,-0.121
-0.066,0.039,-0.123
-0.052,0.051,-0.13
-0.046,0.067,-0.142
-0.046,0.067,-0.142
-0.042,0.081,-0.141
-0.036,0.094,-0.144
-0.035,0.104,-0.137
-0.035,0.104,-0.137
-0.024,0.121,-0.143
-0.028,0.139,-0.129
-0.02,0.155,-0.119
-0.018,0.19,-0.109
-0.018,0.19,-0.109
-0.017,0.226,-0.095
-0.013,0.259,-0.087
-0.012,0.295,-0.076
-0.014,0.335,-0.053
-0.014,0.335,-0.053
-0.025,0.371,-0.054
-0.038,0.41,-0.039
-0.054,0.447,-0.033
-0.076,0.485,-0.023
-0.076,0.485,-0.023
-0.105,0.516,-0.016
-0.141,0.538,-0.006
-0.175,0.541,0.004
-0.175,0.541,0.013
-0.214,0.535,0.013
-0.266,0.526,0.027
-0.327,0.505,0.031
-0.398,0.482,0.026
-0.398,0.482,0.026
-0.47,0.447,0.017
-0.542,0.409,-0.01
-0.597,0.365,-0.043
-0.648,0.317,-0.087
-0.648,0.317,-0.087
-0.681,0.272,-0.131
-0.703,0.23,-0.163
-0.718,0.188,-0.218
-0.726,0.15,-0.251
-0.726,0.15,-0.251
-0.726,0.123,-0.295
-0.724,0.101,-0.337
-0.711,0.074,-0.385
-0.694,0.06,-0.416
-0.694,0.06,-0.416
-0.683,0.047,-0.456
-0.668,0.039,-0.511
-0.639,0.029,-0.559
-0.639,0.029,-0.559
-0.6,0.03,-0.597
-0.562,0.032,-0.65
-0.515,0.033,-0.673
-0.474,0.027,-0.681
-0.474,0.027,-0.681
-0.44,0.02,-0.687
-0.399,0.01,-0.69
-0.366,0.004,-0.676
-0.336,-0.004,-0.671
-0.336,-0.004,-0.671
-0.298,-0.012,-0.657
-0.258,-0.021,-0.647
-0.216,-0.019,-0.627
-0.172,-0.023,-0.606
-0.172,-0.023,-0.606
-0.123,-0.015,-0.585
-0.082,-0.002,-0.554
-0.052,0.017,-0.519
-0.052,0.017,-0.491
-0.027,0.024,-0.491
-0.005,0.043,-0.457
0.008,0.054,-0.438
0.016,0.068,-0.407
0.016,0.068,-0.407
0.028,0.087,-0.387
0.046,0.101,-0.368
0.058,0.114,-0.35
0.074,0.139,-0.336
0.074,0.139,-0.336
0.089,0.162,-0.331
0.103,0.183,-0.329
0.123,0.207,-0.326
0.14,0.23,-0.319
0.14,0.23,-0.319
0.158,0.258,-0.309
0.171,0.289,-0.299
0.177,0.33,-0.284
0.177,0.367,-0.266
0.186,0.367,-0.266
0.19,0.398,-0.242
0.194,0.442,-0.232
0.196,0.483,-0.227
0.196,0.483,-0.227
0.197,0.527,-0.233
0.193,0.564,-0.227
0.193,0.588,-0.236
0.195,0.617,-0.242
0.195,0.617,-0.242
0.187,0.643,-0.24
0.185,0.663,-0.246
0.174,0.679,-0.247
0.168,0.69,-0.247
0.168,0.69,-0.247
0.159,0.706,-0.255
0.154,0.725,-0.266
0.138,0.744,-0.28
0.128,0.759,-0.283
0.128,0.759,-0.283
0.111,0.774,-0.297
0.098,0.785,-0.302
0.084,0.799,-0.31
0.084,0.799,-0.305
0.069,0.809,-0.305
0.049,0.817,-0.317
0.033,0.819,-0.324
0.017,0.818,-0.313
0.017,0.818,-0.313
0.01,0.814,-0.306
-0.001,0.815,-0.307
-0.007,0.809,-0.318
-0.017,0.808,-0.316
-0.017,0.808,-0.316
-0.034,0.811,-0.306
-0.052,0.825,-0.31
-0.081,0.838,-0.307
-0.108,0.849,-0.316
-0.108,0.849,-0.316
-0.123,0.852,-0.32
-0.127,0.853,-0.314
-0.134,0.848,-0.312
-0.134,0.851,-0.302
-0.139,0.851,-0.302
-0.146,0.849,-0.297
-0.155,0.843,-0.291
-0.147,0.826,-0.283
-0.147,0.826,-0.283
-0.135,0.812,-0.267
-0.131,0.794,-0.249
-0.124,0.773,-0.221
-0.116,0.747,-0.195
-0.116,0.747,-0.195
-0.113,0.71,-0.168
-0.104,0.665,-0.136
-0.095,0.611,-0.102
-0.091,0.558,-0.078
-0.091,0.558,-0.078
-0.092,0.5,-0.066
-0.096,0.437,-0.048
-0.092,0.377,-0.043
-0.103,0.329,-0.046
-0.103,0.329,-0.046
-0.116,0.291,-0.046
-0.116,0.277,-0.04
-0.12,0.267,-0.04
-0.12,0.267,-0.04
-0.12,0.26,-0.038
-0.121,0.263,-0.036
-0.134,0.242,-0.044
-0.148,0.209,-0.047
-0.148,0.209,-0.047
-0.161,0.165,-0.053
-0.175,0.133,-0.063
-0.193,0.087,-0.086
-0.211,0.051,-0.109
-0.211,0.051,-0.109
-0.232,0.021,-0.136
-0.25,-0.006,-0.148
-0.262,-0.028,-0.168
-0.278,-0.043,-0.175
-0.278,-0.043,-0.175
-0.282,-0.055,-0.198
-0.291,-0.07,-0.216
-0.299,-0.079,-0.234
-0.299,-0.092,-0.249
-0.31,-0.092,-0.249
-0.321,-0.107,-0.27
-0.337,-0.118,-0.296
-0.358,-0.127,-0.319
-0.358,-0.127,-0.319
-0.373,-0.129,-0.343
-0.392,-0.13,-0.364
-0.407,-0.134,-0.376
-0.417,-0.137,-0.388
-0.417,-0.137,-0.388
-0.415,-0.131,-0.393
-0.407,-0.133,-0.41
-0.41,-0.137,-0.426
-0.405,-0.137,-0.432
-0.405,-0.137,-0.432
-0.401,-0.131,-0.445
-0.405,-0.137,-0.454
-0.412,-0.133,-0.472
-0.419,-0.129,-0.482
-0.419,-0.129,-0.482
-0.424,-0.132,-0.487
-0.427,-0.131,-0.489
-0.439,-0.131,-0.487
-0.439,-0.131,-0.49
-0.444,-0.138,-0.49
-0.45,-0.136,-0.482
-0.463,-0.136,-0.48
-0.469,-0.134,-0.474
