timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-04 03:58:16.072,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.073,0x232,4,00,00,0A,07,,,,
2025-12-04 03:58:16.073,0xA0,3,00,0B,0D,,,,,
2025-12-04 03:58:16.074,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.074,0x242,3,00,0D,03,,,,,
2025-12-04 03:58:16.074,0x42,6,01,FF,02,02,06,09,,
2025-12-04 03:58:16.075,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.075,0x232,4,00,00,0B,06,,,,
2025-12-04 03:58:16.076,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.076,0xA0,3,00,0C,05,,,,,
2025-12-04 03:58:16.076,0x109,3,03,0F,0C,,,,,
2025-12-04 03:58:16.076,0x242,3,00,0E,02,,,,,
2025-12-04 03:58:16.077,0x15,7,00,02,0C,00,00,09,0B,
2025-12-04 03:58:16.077,0x42,6,01,FF,02,02,08,07,,
2025-12-04 03:58:16.078,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.078,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.078,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.079,0x242,3,00,0F,01,,,,,
2025-12-04 03:58:16.079,0x15,7,00,02,0C,00,00,0B,09,
2025-12-04 03:58:16.080,0x109,3,03,01,0A,,,,,
2025-12-04 03:58:16.080,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.080,0x232,4,00,00,0D,04,,,,
2025-12-04 03:58:16.081,0x42,6,01,FF,02,02,0B,04,,
2025-12-04 03:58:16.081,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.082,0x109,3,03,02,09,,,,,
2025-12-04 03:58:16.082,0x15,7,00,02,0C,00,00,0D,07,
2025-12-04 03:58:16.083,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.083,0x232,4,00,00,0E,03,,,,
2025-12-04 03:58:16.084,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.084,0xA0,3,00,0F,0B,,,,,
2025-12-04 03:58:16.084,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.085,0x242,3,00,01,0F,,,,,
2025-12-04 03:58:16.085,0x42,6,01,FF,02,02,0E,01,,
2025-12-04 03:58:16.086,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.086,0x25D,3,01,0B,08,,,,,
2025-12-04 03:58:16.087,0x15,7,00,02,0C,00,00,00,04,
2025-12-04 03:58:16.087,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.087,0x242,3,00,02,0E,,,,,
2025-12-04 03:58:16.088,0x15,7,00,02,0C,00,00,01,03,
2025-12-04 03:58:16.088,0x42,6,01,FF,02,02,00,0F,,
2025-12-04 03:58:16.089,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.089,0x109,3,03,06,05,,,,,
2025-12-04 03:58:16.089,0xA0,3,00,01,0A,,,,,
2025-12-04 03:58:16.090,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.090,0x242,3,00,03,0D,,,,,
2025-12-04 03:58:16.091,0x42,6,01,FF,02,02,02,0D,,
2025-12-04 03:58:16.091,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.092,0x232,4,00,00,01,00,,,,
2025-12-04 03:58:16.092,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.092,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.093,0x242,3,00,04,0C,,,,,
2025-12-04 03:58:16.093,0x109,3,03,08,03,,,,,
2025-12-04 03:58:16.094,0x15,7,00,02,0C,00,00,05,0F,
2025-12-04 03:58:16.094,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.094,0x232,4,00,00,02,0F,,,,
2025-12-04 03:58:16.095,0x15,7,00,02,0C,00,00,06,0E,
2025-12-04 03:58:16.095,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.096,0x242,3,00,05,0B,,,,,
2025-12-04 03:58:16.096,0x15,7,00,02,0C,00,00,07,0D,
2025-12-04 03:58:16.097,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.097,0x109,3,03,0A,01,,,,,
2025-12-04 03:58:16.097,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.098,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.098,0x242,3,00,06,0A,,,,,
2025-12-04 03:58:16.099,0x109,3,03,0B,00,,,,,
2025-12-04 03:58:16.099,0x42,6,01,FF,02,02,08,07,,
2025-12-04 03:58:16.099,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.100,0x25D,3,01,0E,05,,,,,
2025-12-04 03:58:16.100,0x15,7,00,02,0C,00,00,0A,0A,
2025-12-04 03:58:16.100,0xA0,3,00,05,08,,,,,
2025-12-04 03:58:16.101,0x242,3,00,07,09,,,,,
2025-12-04 03:58:16.101,0x15,7,00,02,0C,00,00,0B,09,
2025-12-04 03:58:16.101,0x42,6,01,FF,02,02,0A,05,,
2025-12-04 03:58:16.102,0x109,3,03,0D,0E,,,,,
2025-12-04 03:58:16.102,0x232,4,00,00,05,0C,,,,
2025-12-04 03:58:16.102,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.102,0xA0,3,00,06,00,,,,,
2025-12-04 03:58:16.103,0x242,3,00,08,08,,,,,
2025-12-04 03:58:16.103,0x109,3,03,0E,0D,,,,,
2025-12-04 03:58:16.103,0x15,7,00,02,0C,00,00,0D,07,
2025-12-04 03:58:16.104,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.104,0x232,4,00,00,06,0B,,,,
2025-12-04 03:58:16.104,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.105,0xA0,3,00,07,07,,,,,
2025-12-04 03:58:16.105,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.105,0x15,7,00,02,0C,00,00,0F,05,
2025-12-04 03:58:16.106,0x42,6,01,FF,02,02,0E,01,,
2025-12-04 03:58:16.106,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.106,0x109,3,03,00,0B,,,,,
2025-12-04 03:58:16.107,0xA0,3,00,08,0F,,,,,
2025-12-04 03:58:16.107,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.107,0x109,3,03,01,0A,,,,,
2025-12-04 03:58:16.108,0x15,7,00,02,0C,00,00,01,03,
2025-12-04 03:58:16.108,0x42,6,01,FF,02,02,00,0F,,
2025-12-04 03:58:16.108,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.109,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.109,0x109,3,03,02,09,,,,,
2025-12-04 03:58:16.109,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.110,0x15,7,00,02,0C,00,00,03,01,
2025-12-04 03:58:16.110,0x42,6,01,FF,02,03,02,0C,,
2025-12-04 03:58:16.110,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.111,0x109,3,03,03,08,,,,,
2025-12-04 03:58:16.111,0x42,6,01,FF,02,03,03,0B,,
2025-12-04 03:58:16.111,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.112,0x109,3,03,04,07,,,,,
2025-12-04 03:58:16.112,0x15,7,00,02,0C,00,00,05,0F,
2025-12-04 03:58:16.113,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.113,0x232,4,00,00,0A,07,,,,
2025-12-04 03:58:16.113,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.113,0x242,3,00,0D,03,,,,,
2025-12-04 03:58:16.114,0x109,3,03,05,06,,,,,
2025-12-04 03:58:16.114,0x25D,3,01,02,01,,,,,
2025-12-04 03:58:16.114,0x42,6,01,FF,02,02,06,09,,
2025-12-04 03:58:16.115,0x15,7,00,02,0C,00,00,07,0D,
2025-12-04 03:58:16.115,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.115,0x227,3,01,0A,09,,,,,
2025-12-04 03:58:16.116,0x242,3,00,0E,02,,,,,
2025-12-04 03:58:16.116,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.116,0x109,3,03,07,04,,,,,
2025-12-04 03:58:16.117,0x15,7,00,02,0C,00,00,09,0B,
2025-12-04 03:58:16.117,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.117,0x232,4,00,00,0C,05,,,,
2025-12-04 03:58:16.118,0x242,3,00,0F,01,,,,,
2025-12-04 03:58:16.118,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.118,0x109,3,03,08,03,,,,,
2025-12-04 03:58:16.119,0x42,6,01,FF,02,02,0A,05,,
2025-12-04 03:58:16.119,0x15,7,00,02,0C,00,00,0B,09,
2025-12-04 03:58:16.119,0xB4,8,1A,6F,1A,6F,1A,6F,1A,6F
2025-12-04 03:58:16.120,0x227,3,01,0A,09,,,,,
