timestamp,ax,ay,az,gx,gy,gz,mx,my,mz,altitude,relative_altitude
031225_15.05.48.377,-0.00200,-0.01800,0.99200,0.05300,-0.12300,-0.03500,0.06900,0.41600,-0.55500,173.60000,0.00000
031225_15.05.48.389,-0.00300,-0.01700,0.99000,0.08700,-0.10500,-0.03500,0.06600,0.41600,-0.54800,174.06000,0.46000
031225_15.05.48.401,-0.00200,-0.01800,0.99100,0.07000,-0.08700,-0.01800,0.06500,0.41200,-0.55300,173.81000,-0.25000
031225_15.05.48.413,-0.00400,-0.01900,0.98900,0.07000,-0.08700,-0.03500,0.06600,0.41200,-0.55700,173.42000,-0.39000
031225_15.05.48.425,-0.00300,-0.01800,0.99100,0.05300,-0.10500,-0.01800,0.06700,0.41200,-0.55200,173.28000,-0.14000
031225_15.05.48.436,-0.00200,-0.01800,0.99100,0.07000,-0.08700,-0.03500,0.06700,0.41200,-0.55200,173.71000,0.43000
031225_15.05.48.448,-0.00100,-0.01800,0.99200,0.07000,-0.08700,-0.03500,0.06600,0.41600,-0.55100,173.80000,0.09000
031225_15.05.48.459,-0.00400,-0.01900,0.99000,0.07000,-0.08700,-0.01800,0.06700,0.41300,-0.55100,173.37000,-0.43000
031225_15.05.48.471,-0.00200,-0.01900,0.99100,0.07000,-0.10500,-0.01800,0.06700,0.41200,-0.55000,174.07000,0.70000
031225_15.05.48.482,-0.00200,-0.01900,0.99100,0.07000,-0.08700,-0.05300,0.06700,0.41200,-0.55000,173.60000,-0.47000
031225_15.05.48.494,-0.00200,-0.01700,0.99100,0.07000,-0.10500,-0.03500,0.06900,0.41000,-0.55300,173.64000,0.04000
031225_15.05.48.505,-0.00100,-0.01700,0.99100,0.05300,-0.12300,-0.03500,0.06900,0.41000,-0.55400,173.75000,0.11000
031225_15.05.48.517,-0.00200,-0.01800,0.99200,0.05300,-0.08700,-0.03500,0.06800,0.41300,-0.55300,173.32000,-0.43000
031225_15.05.48.528,-0.00100,-0.01900,0.99100,0.07000,-0.10500,-0.01800,0.06900,0.41000,-0.54900,174.12000,0.80000
031225_15.05.48.540,-0.00300,-0.01900,0.99000,0.05300,-0.10500,-0.01800,0.06900,0.41000,-0.54900,173.87000,-0.25000
031225_15.05.48.552,-0.00200,-0.01900,0.99000,0.07000,-0.10500,-0.03500,0.06600,0.41300,-0.55200,173.00000,-0.87000
031225_15.05.48.563,-0.00200,-0.01900,0.99200,0.07000,-0.10500,-0.03500,0.07000,0.41100,-0.55000,174.61000,1.61000
031225_15.05.48.575,-0.00200,-0.01800,0.99200,0.08700,-0.08700,-0.01800,0.06900,0.41300,-0.54900,173.47000,-1.14000
031225_15.05.48.587,-0.00200,-0.02000,0.99000,0.08700,-0.08700,-0.03500,0.06900,0.41300,-0.54900,173.73000,0.26000
031225_15.05.48.598,-0.00200,-0.01900,0.99100,0.05300,-0.10500,-0.03500,0.06900,0.41600,-0.55400,173.50000,-0.23000
031225_15.05.48.610,-0.00300,-0.01900,0.99100,0.05300,-0.10500,-0.03500,0.06600,0.41800,-0.54500,173.06000,-0.44000
031225_15.05.48.622,-0.00200,-0.02000,0.99100,0.07000,-0.10500,-0.03500,0.07200,0.41800,-0.54900,173.29000,0.23000
031225_15.05.48.633,-0.00300,-0.01800,0.99000,0.07000,-0.10500,-0.03500,0.07000,0.42100,-0.55500,173.77000,0.48000
031225_15.05.48.645,-0.00200,-0.01900,0.99100,0.07000,-0.08700,-0.03500,0.07000,0.42100,-0.55500,173.21000,-0.56000
031225_15.05.48.657,-0.00200,-0.01900,0.99000,0.07000,-0.07000,-0.03500,0.07200,0.41500,-0.55300,173.74000,0.53000
031225_15.05.48.668,-0.00100,-0.01700,0.99100,0.05300,-0.08700,-0.03500,0.06700,0.41700,-0.55300,174.21000,0.47000
031225_15.05.48.680,-0.00300,-0.01800,0.99000,0.05300,-0.10500,-0.03500,0.06700,0.41500,-0.55000,173.32000,-0.89000
031225_15.05.48.692,-0.00300,-0.02000,0.99100,0.07000,-0.10500,-0.03500,0.06700,0.41500,-0.55100,173.33000,0.01000
031225_15.05.48.704,-0.00200,-0.01700,0.99000,0.07000,-0.12300,-0.01800,0.07100,0.41500,-0.55100,174.41000,1.08000
031225_15.05.48.715,-0.00300,-0.01800,0.99100,0.08700,-0.10500,-0.03500,0.06900,0.41600,-0.55200,173.46000,-0.95000
031225_15.05.48.727,-0.00300,-0.02000,0.99000,0.07000,-0.07000,-0.05300,0.07400,0.42000,-0.54800,173.31000,-0.15000
031225_15.05.48.739,-0.00300,-0.01900,0.99200,0.03500,-0.07000,-0.05300,0.07000,0.41400,-0.54800,173.70000,0.39000
031225_15.05.48.750,-0.00200,-0.01900,0.99200,0.07000,-0.08700,-0.03500,0.07000,0.41400,-0.54800,173.23000,-0.47000
031225_15.05.48.762,-0.00200,-0.01800,0.99000,0.05300,-0.10500,-0.01800,0.06700,0.41200,-0.55300,173.20000,-0.03000
031225_15.05.48.774,-0.00200,-0.01800,0.99100,0.05300,-0.08700,-0.05300,0.06700,0.41700,-0.56200,173.74000,0.54000
