ax,ay,az
-0.019,-0.018,0.992
-0.018,-0.017,0.992
-0.019,-0.018,0.992
-0.018,-0.019,0.99
-0.019,-0.018,0.995
-0.018,-0.018,0.993
-0.017,-0.019,0.984
-0.017,-0.018,0.984
-0.017,-0.018,0.987
-0.017,-0.019,0.991
-0.018,-0.019,0.986
-0.018,-0.019,0.984
-0.017,-0.018,0.989
-0.018,-0.019,0.994
-0.018,-0.018,0.99
-0.017,-0.019,0.987
-0.017,-0.019,0.992
-0.018,-0.019,0.992
-0.017,-0.018,0.988
-0.019,-0.019,0.986
-0.018,-0.019,0.99
-0.018,-0.017,0.992
-0.018,-0.018,0.988
-0.018,-0.018,0.986
-0.018,-0.018,0.991
-0.001,0.991,-0.0
0.005,0.975,0.009
0.007,0.979,0.009
0.003,0.997,0.007
0.002,0.996,0.002
0.002,0.982,0.004
0.004,0.98,0.009
0.003,0.988,0.007
0.002,0.992,0.005
0.003,0.983,0.006
0.002,0.987,0.007
0.003,0.993,0.005
0.001,0.99,0.005
0.001,0.986,0.006
0.003,0.988,0.006
0.002,0.992,0.005
0.002,0.991,0.005
0.003,0.986,0.007
0.002,0.986,0.007
0.003,0.985,0.005
0.003,0.988,0.005
0.004,0.986,0.007
0.004,0.99,0.008
0.005,0.988,0.005
0.003,0.985,0.006
0.032,0.004,-1.051
0.059,0.009,-1.003
0.039,0.009,-0.992
0.039,0.007,-0.995
0.035,0.008,-0.997
0.038,0.006,-0.995
0.037,0.008,-1.015
0.035,0.006,-1.013
0.036,0.008,-0.994
0.038,0.007,-0.996
0.036,0.008,-1.012
0.036,0.007,-1.015
0.037,0.007,-0.999
0.037,0.008,-0.994
0.035,0.008,-1.014
0.036,0.007,-1.004
0.038,0.008,-0.996
0.037,0.008,-1.004
0.037,0.008,-1.011
0.036,0.008,-1.007
0.036,0.008,-0.999
0.037,0.008,-1.001
0.036,0.008,-1.008
0.036,0.007,-1.007
0.036,0.008,-1.001
0.038,-1.003,-0.024
0.039,-0.994,-0.025
0.039,-0.986,-0.023
0.038,-1.011,-0.021
0.039,-1.006,-0.024
0.038,-1.001,-0.023
0.036,-0.991,-0.023
0.038,-1.03,-0.023
0.04,-1.002,-0.024
0.039,-0.997,-0.024
0.039,-0.998,-0.025
0.039,-1.008,-0.024
0.039,-1.004,-0.024
0.038,-0.997,-0.023
0.038,-0.999,-0.023
0.038,-1.003,-0.023
0.038,-1.006,-0.025
0.04,-0.998,-0.024
0.038,-0.997,-0.024
0.039,-1.002,-0.024
0.039,-1.001,-0.023
0.039,-0.999,-0.023
0.038,-1.001,-0.025
0.038,-1.001,-0.024
0.04,-1.002,-0.023
1.012,0.031,0.036
1.01,0.025,0.033
1.015,0.028,0.032
1.017,0.02,0.03
1.023,0.013,0.031
1.008,0.015,0.032
1.02,0.016,0.031
1.016,0.013,0.03
1.013,0.012,0.03
1.014,0.012,0.032
1.016,0.011,0.03
1.017,0.011,0.031
1.015,0.012,0.031
1.015,0.01,0.032
1.015,0.01,0.031
1.015,0.012,0.033
1.015,0.011,0.031
1.015,0.011,0.031
1.014,0.012,0.032
1.015,0.012,0.032
1.017,0.011,0.031
1.014,0.01,0.031
1.012,0.012,0.03
1.015,0.012,0.031
1.016,0.012,0.03
-0.975,0.001,-0.03
-0.979,0.002,-0.028
-0.98,0.002,-0.03
-0.977,0.002,-0.031
-0.986,0.001,-0.029
-0.984,0.003,-0.03
-0.98,0.001,-0.03
-0.976,0.002,-0.031
-0.979,0.001,-0.03
-0.983,0.002,-0.03
-0.979,0.002,-0.03
-0.974,0.002,-0.029
-0.979,0.001,-0.031
-0.98,0.002,-0.03
-0.976,0.002,-0.031
-0.978,0.003,-0.029
-0.979,0.002,-0.03
-0.98,0.002,-0.03
-0.978,0.001,-0.03
-0.979,0.002,-0.03
-0.979,0.001,-0.03
-0.98,0.002,-0.03
-0.979,0.001,-0.031
-0.978,0.002,-0.031
-0.98,0.003,-0.031
