mx,my,mz
-0.581,0.584,-0.547
-0.577,0.587,-0.549
-0.58,0.586,-0.546
-0.58,0.586,-0.555
-0.576,0.583,-0.555
-0.582,0.584,-0.552
-0.578,0.583,-0.552
-0.583,0.584,-0.546
-0.583,0.584,-0.546
-0.582,0.581,-0.549
-0.581,0.583,-0.547
-0.582,0.583,-0.538
-0.582,0.587,-0.545
-0.582,0.587,-0.545
-0.583,0.586,-0.537
-0.585,0.588,-0.541
-0.582,0.585,-0.532
-0.582,0.584,-0.532
-0.582,0.584,-0.532
-0.585,0.584,-0.536
-0.584,0.584,-0.54
-0.584,0.582,-0.541
-0.584,0.584,-0.542
-0.584,0.584,-0.542
-0.584,0.58,-0.538
-0.581,0.587,-0.543
-0.581,0.583,-0.541
-0.581,0.583,-0.541
-0.582,0.587,-0.539
-0.586,0.59,-0.541
-0.585,0.587,-0.543
-0.584,0.587,-0.541
-0.584,0.587,-0.541
-0.585,0.588,-0.543
-0.583,0.589,-0.543
-0.584,0.584,-0.539
-0.587,0.59,-0.542
-0.587,0.59,-0.542
-0.585,0.59,-0.535
-0.583,0.589,-0.537
-0.585,0.591,-0.539
-0.585,0.587,-0.531
-0.585,0.587,-0.531
-0.583,0.593,-0.533
-0.585,0.594,-0.539
-0.577,0.597,-0.542
-0.577,0.597,-0.542
-0.58,0.592,-0.54
-0.576,0.593,-0.537
-0.577,0.596,-0.54
-0.582,0.592,-0.539
-0.582,0.592,-0.539
-0.574,0.595,-0.546
-0.57,0.598,-0.546
-0.567,0.597,-0.546
-0.571,0.599,-0.545
-0.571,0.599,-0.545
-0.571,0.596,-0.549
-0.57,0.597,-0.552
-0.565,0.602,-0.551
-0.568,0.603,-0.548
-0.568,0.603,-0.548
-0.566,0.605,-0.548
-0.564,0.608,-0.545
-0.565,0.611,-0.553
-0.565,0.611,-0.553
-0.567,0.613,-0.549
-0.569,0.618,-0.546
-0.568,0.623,-0.541
-0.576,0.621,-0.524
-0.576,0.621,-0.524
-0.581,0.618,-0.528
-0.585,0.619,-0.517
-0.592,0.616,-0.518
-0.597,0.614,-0.502
-0.597,0.614,-0.502
-0.603,0.61,-0.501
-0.613,0.613,-0.487
-0.615,0.609,-0.491
-0.615,0.61,-0.485
-0.615,0.61,-0.485
-0.62,0.611,-0.494
-0.618,0.613,-0.493
-0.618,0.609,-0.486
-0.618,0.609,-0.486
-0.615,0.613,-0.486
-0.613,0.614,-0.487
-0.612,0.619,-0.488
-0.612,0.614,-0.48
-0.612,0.614,-0.48
-0.612,0.615,-0.479
-0.611,0.609,-0.473
-0.61,0.608,-0.463
-0.614,0.603,-0.456
-0.614,0.603,-0.456
-0.613,0.598,-0.458
-0.611,0.593,-0.457
-0.614,0.585,-0.451
-0.615,0.58,-0.446
-0.615,0.58,-0.446
-0.615,0.571,-0.453
-0.616,0.57,-0.451
-0.612,0.576,-0.451
-0.612,0.584,-0.452
-0.608,0.584,-0.452
-0.6,0.594,-0.46
-0.59,0.606,-0.461
-0.58,0.617,-0.461
