timestamp,can_id,dlc,data0,data1,data2,data3,data4,data5,data6,data7
2025-12-15 17:21:56.377,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:21:56.840,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:21:57.377,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:21:57.879,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:21:58.377,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:21:58.919,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:21:59.376,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:21:59.958,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:22:00.375,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:22:00.998,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:22:01.375,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:22:01.396,0x750,8,40,02,21,A5,00,00,00,00
2025-12-15 17:22:01.408,0x758,8,40,03,61,A5,C0,00,00,00
2025-12-15 17:22:01.409,0x9FFFFFFF,2,10,02,,,,,,
2025-12-15 17:22:01.568,0x750,8,5F,02,21,A1,00,00,00,00
2025-12-15 17:22:01.569,0x758,8,5F,04,61,A1,E0,00,00,00
2025-12-15 17:22:01.570,0x9FFFFFFF,3,11,03,02,,,,,
2025-12-15 17:22:01.678,0x7DF,8,02,09,02,00,00,00,00,00
2025-12-15 17:22:01.679,0x7E8,8,10,14,49,02,01,52,4B,4C
2025-12-15 17:22:01.688,0x7E8,8,21,41,42,42,41,41,34,50
2025-12-15 17:22:01.689,0x7E8,8,22,30,30,37,30,36,31,36
2025-12-15 17:22:01.690,0x7E0,8,30,00,00,00,00,00,00,00
2025-12-15 17:22:01.702,0x7B0,8,02,21,03,00,00,00,00,00
2025-12-15 17:22:01.703,0x750,8,2A,02,21,30,00,00,00,00
2025-12-15 17:22:01.712,0x7E0,8,02,21,28,00,00,00,00,00
2025-12-15 17:22:01.713,0x7E8,8,05,61,28,00,2F,41,00,00
2025-12-15 17:22:01.722,0x7C8,8,10,09,61,12,00,80,00,00
2025-12-15 17:22:01.723,0x7B0,8,02,21,47,00,00,00,00,00
2025-12-15 17:22:01.724,0x7B8,8,07,61,47,00,FF,80,7F,F1
2025-12-15 17:22:01.733,0x7E0,8,02,21,3C,00,00,00,00,00
2025-12-15 17:22:01.734,0x7E8,8,07,61,3C,0D,03,0B,36,80
2025-12-15 17:22:01.743,0x7B0,8,02,21,05,00,00,00,00,00
2025-12-15 17:22:01.744,0x7B8,8,10,09,61,05,7E,80,04,51
2025-12-15 17:22:01.745,0x7B0,8,30,00,04,00,00,00,00,00
2025-12-15 17:22:01.754,0x7C0,8,02,21,29,00,00,00,00,00
2025-12-15 17:22:01.755,0x7E0,8,02,21,01,00,00,00,00,00
2025-12-15 17:22:01.764,0x7C8,8,03,61,29,15,00,00,00,00
2025-12-15 17:22:01.765,0x7E8,8,22,26,00,00,04,00,2B,7C
2025-12-15 17:22:01.775,0x7E8,8,24,E4,34,42,64,00,00,00
2025-12-15 17:22:01.775,0x7B8,8,03,61,1C,08,00,00,00,00
2025-12-15 17:22:01.776,0x7C0,8,02,21,12,00,00,00,00,00
2025-12-15 17:22:01.779,0x7C0,8,02,21,13,00,00,00,00,00
2025-12-15 17:22:01.787,0x7B0,8,02,21,1F,00,00,00,00,00
2025-12-15 17:22:01.798,0x7C8,8,03,61,13,89,00,00,00,00
2025-12-15 17:22:01.799,0x7B8,8,04,61,1F,C0,20,00,00,00
2025-12-15 17:22:01.808,0x7B0,8,02,21,04,00,00,00,00,00
2025-12-15 17:22:01.809,0x7E0,8,02,21,28,00,00,00,00,00
2025-12-15 17:22:01.819,0x7E8,8,05,61,28,00,2F,41,00,00
2025-12-15 17:22:01.820,0x7B8,8,03,61,04,30,00,00,00,00
2025-12-15 17:22:01.821,0x7E0,8,02,21,3C,00,00,00,00,00
2025-12-15 17:22:01.829,0x7E8,8,07,61,3C,0D,03,0B,1C,80
2025-12-15 17:22:01.830,0x758,8,2A,10,07,61,30,00,00,00
2025-12-15 17:22:01.840,0x7C0,8,02,21,12,00,00,00,00,00
2025-12-15 17:22:01.841,0x7E0,8,02,21,01,00,00,00,00,00
2025-12-15 17:22:01.841,0x7E8,8,10,1F,61,01,53,00,30,01
2025-12-15 17:22:01.851,0x7E0,8,30,01,00,00,00,00,00,00
2025-12-15 17:22:01.851,0x7E0,8,30,01,00,00,00,00,00,00
2025-12-15 17:22:01.861,0x7E8,8,24,E4,34,42,64,00,00,00
2025-12-15 17:22:01.862,0x7C8,8,21,00,00,00,00,00,00,00
2025-12-15 17:22:01.871,0x7B8,8,06,61,03,00,00,00,00,00
2025-12-15 17:22:01.872,0x7C0,8,02,21,29,00,00,00,00,00
2025-12-15 17:22:01.873,0x750,8,2A,30,01,00,00,00,00,00
2025-12-15 17:22:01.875,0x7C8,8,03,61,29,15,00,00,00,00
2025-12-15 17:22:01.884,0x7B0,8,02,21,47,00,00,00,00,00
2025-12-15 17:22:01.889,0x7B8,8,07,61,47,00,FE,80,7F,F1
2025-12-15 17:22:01.894,0x7C0,8,02,21,13,00,00,00,00,00
2025-12-15 17:22:01.909,0x7C8,8,03,61,13,89,00,00,00,00
2025-12-15 17:22:01.910,0x7B0,8,02,21,05,00,00,00,00,00
2025-12-15 17:22:01.919,0x7E0,8,02,21,28,00,00,00,00,00
2025-12-15 17:22:01.920,0x7E8,8,05,61,28,00,2F,41,00,00
2025-12-15 17:22:01.924,0x7B8,8,21,00,01,C6,00,00,00,00
2025-12-15 17:22:01.925,0x7B8,8,10,09,61,05,7E,80,04,48
2025-12-15 17:22:01.934,0x7B0,8,02,21,1C,00,00,00,00,00
2025-12-15 17:22:01.950,0x7B8,8,03,61,1C,08,00,00,00,00
2025-12-15 17:22:01.950,0x7E0,8,02,21,3C,00,00,00,00,00
2025-12-15 17:22:01.960,0x758,8,2A,21,00,00,00,00,00,00
2025-12-15 17:22:01.961,0x7E8,8,07,61,3C,0D,03,0B,0D,80
2025-12-15 17:22:01.962,0x7B0,8,02,21,1F,00,00,00,00,00
2025-12-15 17:22:01.974,0x7B8,8,04,61,1F,C0,20,00,00,00
2025-12-15 17:22:01.975,0x750,8,5F,02,21,A1,00,00,00,00
2025-12-15 17:22:01.984,0x758,8,5F,04,61,A1,E0,00,00,00
2025-12-15 17:22:01.985,0x7E0,8,02,21,01,00,00,00,00,00
2025-12-15 17:22:01.994,0x7E8,8,21,73,1C,4E,4E,63,6C,11
2025-12-15 17:22:01.995,0x7C0,8,30,00,04,00,00,00,00,00
2025-12-15 17:22:01.996,0x7E8,8,24,E4,34,42,64,00,00,00
2025-12-15 17:22:02.005,0x7C8,8,21,00,00,00,00,00,00,00
2025-12-15 17:22:02.006,0x7B8,8,03,61,04,31,00,00,00,00
2025-12-15 17:22:02.007,0x7C0,8,02,21,12,00,00,00,00,00
2025-12-15 17:22:02.028,0x7C0,8,02,21,29,00,00,00,00,00
2025-12-15 17:22:02.029,0x7DF,8,02,01,00,00,00,00,00,00
2025-12-15 17:22:02.039,0x7E8,8,06,41,00,BE,3F,A8,13,00
2025-12-15 17:22:02.039,0x7C8,8,03,61,29,15,00,00,00,00
2025-12-15 17:22:02.049,0x4E0,8,24,00,44,01,00,00,00,00
2025-12-15 17:22:02.049,0x9FFFFFFF,1,22,,,,,,,
2025-12-15 17:22:02.050,0x7DF,8,02,01,00,00,00,00,00,00
2025-12-15 17:22:02.051,0x7E8,8,06,41,00,BE,3F,A8,13,00
2025-12-15 17:22:02.208,0x7DF,8,03,02,00,00,00,00,00,00
2025-12-15 17:22:02.209,0x7E8,8,07,42,00,00,7E,3F,88,03
2025-12-15 17:22:02.354,0x7DF,8,02,06,00,00,00,00,00,00
2025-12-15 17:22:02.359,0x7E8,8,06,46,00,C0,00,00,01,00
2025-12-15 17:22:02.374,0x45A,8,5A,04,00,44,01,00,00,00
2025-12-15 17:22:02.534,0x7DF,8,02,09,00,00,00,00,00,00
